=== ПОЛНЫЙ SWEEP (close_entry, TC=8, TRIZ, risk=2%) ===

=== IR ===
IR Si 1m:  n=152 WR=61.2% ROI=+614.1% PF=3.44 MDD=9.2%
IR Si 3m:  n=183 WR=58.5% ROI=+731.9% PF=3.11 MDD=9.8%
IR Si 5m:  n=191 WR=54.5% ROI=+408.2% PF=2.25 MDD=14.5%
IR Si 10m: n=220 WR=53.6% ROI=+395.7% PF=2.64 MDD=14.1%
IR Si 15m: n=248 WR=52.8% ROI=+111.7% PF=1.99 MDD=17.4%
IR Si 30m: n=254 WR=58.7% ROI=+62.1% PF=2.31 MDD=10.3%
IR Si 60m: n=257 WR=58.0% ROI=+33.1% PF=2.35 MDD=2.8%
IR BR 30m: n=484 WR=62.8% ROI=overflow PF=2.74 MDD=6.7%
IR RN 30m: n=277 WR=59.6% ROI=overflow PF=3.05 MDD=10.2%
IR GD 60m: n=438 WR=56.4% ROI=+180.5% PF=2.20 MDD=7.5%
IR GZ 60m: n=283 WR=53.7% ROI=+110.8% PF=2.55 MDD=3.6%
IR RN 60m: n=93 WR=60.2% ROI=+118.7% PF=4.16 MDD=3.7%

=== DRAGON ===
DRAGON MM 3m:  n=143 WR=48.3% ROI=+231.9% PF=1.94 MDD=20.1%
DRAGON MM 5m:  n=157 WR=56.1% ROI=+199.6% PF=2.14 MDD=15.8%
DRAGON MM 10m: n=169 WR=53.3% ROI=+342.0% PF=2.52 MDD=14.9%
DRAGON MM 15m: n=167 WR=47.9% ROI=+163.7% PF=1.76 MDD=19.6%
DRAGON GZ 5m:  n=266 WR=54.1% ROI=+177.2% PF=1.84 MDD=11.7%
DRAGON GZ 3m:  n=271 WR=48.7% ROI=+63.3% PF=1.40 MDD=11.1%
DRAGON GD 3m:  n=419 WR=57.3% ROI=+200.9% PF=1.69 MDD=15.0%
DRAGON GD 5m:  n=425 WR=54.1% ROI=+222.3% PF=1.47 MDD=15.8%
DRAGON BR 5m:  n=521 WR=56.2% ROI=overflow PF=1.90 MDD=14.8%
DRAGON BR 3m:  n=491 WR=54.8% ROI=overflow PF=1.72 MDD=13.6%

=== SH ===
SH GD 1m:  n=1795 WR=56.0% ROI=overflow PF=1.81 MDD=41.6%
SH RN 1m:  n=326 WR=58.9% ROI=+174.3% PF=2.06 MDD=8.9%
SH GZ 1m:  n=794 WR=56.2% ROI=+197.2% PF=1.77 MDD=11.3%
SH GD 3m:  n=734 WR=56.0% ROI=+80.8% PF=1.53 MDD=6.7%
SH RN 3m:  n=131 WR=54.2% ROI=+25.8% PF=1.52 MDD=9.1%
SH GZ 3m:  n=335 WR=57.3% ROI=+36.3% PF=1.43 MDD=9.3%
SH GD 5m:  n=533 WR=53.3% ROI=+41.4% PF=1.43 MDD=7.0%
SH RN 5m:  n=118 WR=55.1% ROI=+34.2% PF=1.92 MDD=4.7%
SH RN 10m: n=80 WR=52.5% ROI=+35.2% PF=2.28 MDD=7.2%
SH RN 15m: n=67 WR=50.7% ROI=+29.6% PF=2.65 MDD=3.6%
SH RN 30m: n=44 WR=65.9% ROI=+30.1% PF=3.46 MDD=2.9%
