Full scan: OI Divergence (M5) on 59 tickers (180 days)
Generated: 2026-06-08 13:07
Config: {}

Ticker   Sig    WR%     PF
-----------------------------------
GAZPF          1 100.0% 999.99
GZ            34  70.6% 4.11
FF            23  69.6% 2.25
Si            35  68.6% 2.75
CE            36  66.7% 2.96
PD           119  64.7% 1.83
AF            31  64.5% 3.86
GL           144  63.2% 1.74
W4            43  62.8% 1.52
AU            40  62.5% 5.56
SBERF         16  62.5% 4.13
NM            18  61.1% 5.86
SP            49  57.1% 2.75
CNYRUBF       25  56.0% 0.66
CC           437  55.6% 1.28
NA             9  55.6% 2.60
RI           239  55.6% 1.41
MG            92  55.4% 0.93
GD            80  55.0% 1.51
MX            11  54.5% 1.69
CH           100  54.0% 1.76
GLDRUBF       39  53.8% 0.98
ME           190  53.7% 1.99
SF            54  53.7% 2.84
NR           487  53.2% 1.31
YD            51  52.9% 1.40
KC           214  52.8% 1.19
SE           181  52.5% 1.79
ED            89  51.7% 2.60
VB            31  51.6% 4.08
BM           627  50.4% 0.94
GK            74  50.0% 1.56
PT           226  49.6% 0.94
DX           159  49.1% 0.85
SR            55  49.1% 1.01
TN            94  48.9% 1.62
TT           182  48.9% 1.40
BR           279  48.4% 1.21
SV           249  48.2% 1.51
OJ           529  47.8% 0.74
VI            67  47.8% 1.00
NG           600  47.5% 1.09
SN            85  47.1% 1.11
LK            77  45.5% 0.88
HY           139  45.3% 0.82
HS           120  45.0% 0.73
UC           423  44.7% 1.00
RM           335  43.0% 0.94
MC            35  42.9% 0.47
EURRUBF       52  42.3% 0.37
RN            48  41.7% 0.85
SS            88  37.5% 0.57
Eu            14  35.7% 0.55
AL            94  35.1% 1.14
IB            21  33.3% 0.34
MM            67  32.8% 0.39
IMOEXF         1   0.0% 0.00
