Full scan: Order Block (H1) on 59 tickers (180 days)
Generated: 2026-06-08 13:07
Config: {}

Ticker   Sig    WR%     PF
-----------------------------------
AL             2 100.0% 999.99
BM             1 100.0% 999.99
BR             2 100.0% 999.99
CE             2 100.0% 999.99
DX             1 100.0% 999.99
ED             3 100.0% 999.99
Eu             1 100.0% 999.99
GAZPF          1 100.0% 999.99
GZ             2 100.0% 999.99
HS             2 100.0% 999.99
HY             2 100.0% 999.99
IB             1 100.0% 999.99
IMOEXF         1 100.0% 999.99
ME             1 100.0% 999.99
MG             2 100.0% 999.99
RI             1 100.0% 999.99
SE             1 100.0% 999.99
SP             1 100.0% 999.99
SV             2 100.0% 999.99
YD             1 100.0% 999.99
CH             5  60.0% 2.32
LK             2  50.0% 38.75
TN             2  50.0% 67.56
TT             2  50.0% 67.56
SF             3  33.3% 0.81
CC             2   0.0% 0.00
PD             1   0.0% 0.00
UC             1   0.0% 0.00
