Full scan: Mean Reversion (H1) on 59 tickers (180 days)
Generated: 2026-06-08 13:07
Config: {}

Ticker   Sig    WR%     PF
-----------------------------------
GL             4 100.0% 999.99
UC             6 100.0% 999.99
W4             2 100.0% 999.99
SN             8  87.5% 23.24
MG            12  75.0% 3.68
CE            11  72.7% 3.80
HY            11  72.7% 1.51
SP             7  71.4% 5.02
AF            10  70.0% 4.70
IMOEXF        10  70.0% 3.28
YD            13  69.2% 4.77
ED             3  66.7% 4.07
GD             6  66.7% 0.77
SF             6  66.7% 1.14
EURRUBF        8  62.5% 1.80
GLDRUBF        8  62.5% 0.83
RI             8  62.5% 4.49
MM            15  60.0% 1.40
NR             5  60.0% 9.68
Si             5  60.0% 0.97
IB             7  57.1% 0.60
RN             7  57.1% 0.46
TN             7  57.1% 0.78
TT             7  57.1% 0.78
BM             9  55.6% 1.99
SV            11  54.5% 0.82
BR            12  50.0% 1.29
CNYRUBF        2  50.0% 1.87
HS             6  50.0% 1.48
MC            10  50.0% 3.18
RM             6  50.0% 1.43
SS             8  50.0% 2.77
ME            15  46.7% 0.95
KC            13  46.2% 3.09
GAZPF         11  45.5% 1.19
LK            18  44.4% 1.44
PD             9  44.4% 0.64
USDRUBF        9  44.4% 0.90
DX             7  42.9% 0.30
MX             7  42.9% 2.10
SE            12  41.7% 1.59
Eu             5  40.0% 1.26
VB            10  40.0% 0.54
OJ            18  38.9% 0.23
PT             8  37.5% 0.39
CC            27  37.0% 0.26
NA            20  35.0% 0.22
SBERF         12  33.3% 0.98
VI             3  33.3% 1.85
GK             7  28.6% 0.87
AL            12  25.0% 0.35
GZ            12  25.0% 0.36
NG            16  25.0% 0.83
NM             9  22.2% 0.21
