Full scan: Mean Reversion (M5) on 59 tickers (180 days)
Generated: 2026-06-08 13:07
Config: {}

Ticker   Sig    WR%     PF
-----------------------------------
DX             2 100.0% 999.99
SF            16  81.2% 3.39
HY             7  71.4% 3.37
NM            40  67.5% 1.87
NR            18  66.7% 13.14
X5             3  66.7% 7.99
SBERF         62  66.1% 2.34
SE            16  62.5% 2.77
MX           149  60.4% 1.51
MC           158  60.1% 1.58
SP            10  60.0% 0.33
BR           139  59.7% 1.92
RN            91  59.3% 1.48
CC           152  59.2% 1.15
SV           132  56.8% 0.81
Eu           106  56.6% 1.88
GZ           151  55.0% 1.30
CNYRUBF      119  54.6% 1.11
RI           110  54.5% 0.91
AF            68  54.4% 0.74
VB           136  54.4% 1.40
IMOEXF       107  54.2% 1.83
SN            37  54.1% 2.50
PT           120  52.5% 0.97
GL           107  52.3% 0.64
CE            92  52.2% 1.03
GK            46  52.2% 0.78
ME            23  52.2% 0.79
GD           146  52.1% 0.89
BM            98  52.0% 0.90
NG           101  51.5% 2.05
RM            35  51.4% 1.10
GAZPF         90  51.1% 0.78
PD           141  50.4% 0.70
ED            54  50.0% 1.11
NA           138  50.0% 1.02
OJ            46  50.0% 1.29
SR           146  50.0% 0.71
GLDRUBF      135  49.6% 0.80
AL            57  49.1% 0.75
EURRUBF       57  49.1% 1.14
YD            76  48.7% 0.73
MG            54  48.1% 0.95
Si           146  47.9% 1.08
USDRUBF      117  47.0% 0.94
MM            60  46.7% 0.49
SS            56  46.4% 0.54
LK           116  45.7% 1.22
IB            89  44.9% 0.89
KC            38  44.7% 0.64
UC            34  44.1% 1.65
TN            46  43.5% 0.85
TT            46  43.5% 0.85
HS             5  20.0% 0.07
W4             1   0.0% 0.00
