step,equity
0,100000.0
1,100745.0
2,100761.0
3,100771.0
4,100752.0
5,100639.0
6,100630.0
7,100586.0
8,100630.0
9,100486.0
10,100409.0
11,100405.0
12,100415.0
13,100320.0
14,100272.0
15,100277.0
16,100330.0
17,100320.0
18,100402.0
19,100437.0
20,100486.0
21,100603.0
22,100659.0
23,100640.0
24,100636.0
25,100588.0
26,100569.0
27,100478.0
28,100615.0
29,100585.0
30,100618.0
31,100598.0
32,100391.64
33,100551.64
34,100559.64
35,100349.96
36,114949.96
37,169349.96000000002
38,247349.96000000002
39,250149.96000000002
40,233649.96000000002
41,233658.96000000002
42,233676.96000000002
43,233763.96000000002
44,233718.96000000002
45,222518.96000000002
46,194118.96000000002
47,190851.96000000002
48,272451.95999999996
49,402451.95999999996
50,408051.95999999996
51,381651.95999999996
52,387451.95999999996
53,392671.95999999996
54,394081.95999999996
55,392581.95999999996
56,392811.95999999996
57,393031.95999999996
58,393031.95999999996
59,393751.95999999996
60,394451.95999999996
61,394481.95999999996
62,397361.95999999996
63,400071.95999999996
64,400082.31999999995
65,403252.31999999995
66,405642.31999999995
67,407272.31999999995
68,406992.31999999995
69,406652.31999999995
70,406292.31999999995
71,405792.31999999995
72,405512.31999999995
73,405516.75999999995
74,405406.75999999995
75,405496.75999999995
76,405006.75999999995
77,405016.75999999995
78,405026.75999999995
79,405026.75999999995
80,405116.75999999995
81,410616.75999999995
82,410196.75999999995
83,410186.75999999995
84,410426.75999999995
85,410846.75999999995
86,411066.75999999995
87,411126.75999999995
88,411316.75999999995
89,411286.75999999995
90,411306.75999999995
91,411246.75999999995
92,411336.75999999995
93,411366.75999999995
94,411196.75999999995
95,411346.75999999995
96,411366.75999999995
97,411456.75999999995
98,411606.75999999995
99,411666.75999999995
100,411736.75999999995
101,411586.75999999995
102,413646.75999999995
103,413676.75999999995
104,413006.75999999995
105,412676.75999999995
106,407956.75999999995
107,407556.75999999995
108,411586.75999999995
109,413956.75999999995
110,416276.75999999995
111,421086.75999999995
112,420946.75999999995
113,421036.75999999995
114,424996.75999999995
115,425526.75999999995
116,429106.75999999995
117,429112.67999999993
118,429104.5399999999
119,429100.0999999999
120,429390.0999999999
121,428840.0999999999
122,428650.0999999999
123,428450.0999999999
124,428210.0999999999
125,428120.0999999999
126,428030.0999999999
127,428000.0999999999
128,430600.0999999999
129,433190.0999999999
130,435730.0999999999
131,432760.0999999999
132,395437.0999999999
133,358195.6999999999
134,320962.6999999999
135,266912.0199999999
