step,equity
0,100000.0
1,99580.0
2,99160.0
3,98870.0
4,98280.0
5,98600.0
6,98940.0
7,98970.0
8,98560.0
9,98590.0
10,98560.0
11,98520.0
12,98530.0
13,98520.0
14,98000.0
15,97490.0
16,96960.0
17,97865.0
18,98055.0
19,97805.0
20,97495.0
21,97285.0
22,97304.98
23,97297.58
24,97107.58
25,97807.58
26,97914.88
27,97931.16
28,98211.16
29,99246.16
30,99756.16
31,99773.92
32,99740.62
33,99753.2
34,99758.38
35,99753.94
36,99738.40000000001
37,99739.88
38,99324.88
39,99348.56
40,99648.56
41,100293.56
42,100283.94
43,98997.14
44,98971.24
45,97572.44
46,97672.44
47,97684.28
48,97919.28
49,98070.98
50,98080.98
51,98190.98
52,98675.98
53,98910.98
54,98750.98
55,98695.98
56,98715.95999999999
57,98700.42
58,98270.42
59,98221.58
60,98214.18000000001
61,98659.18000000001
62,98379.18000000001
63,98386.58
64,98276.58
65,98320.98
66,98266.95999999999
67,98233.65999999999
68,98249.19999999998
69,98265.47999999998
70,99380.47999999998
71,99409.33999999998
72,99644.33999999998
73,99299.33999999998
74,99524.33999999998
75,99515.45999999998
76,98375.45999999998
77,99755.45999999998
78,101645.45999999998
79,104105.45999999998
80,104075.85999999997
81,104067.71999999997
82,103552.71999999997
83,104282.71999999997
84,104281.97999999997
85,103681.97999999997
86,104751.97999999997
87,104763.07999999997
88,105033.07999999997
89,104783.07999999997
90,108278.07999999997
91,110138.07999999997
92,110178.07999999997
93,109588.07999999997
94,109318.07999999997
95,109478.07999999997
96,108958.07999999997
97,116828.07999999997
98,124558.07999999997
99,131898.07999999996
100,147298.07999999996
101,147315.09999999998
102,146421.09999999998
103,147061.09999999998
104,146541.09999999998
105,145493.09999999998
106,143062.85999999996
107,143074.69999999995
108,143186.69999999995
109,144222.69999999995
110,145601.69999999995
111,144737.69999999995
112,144385.69999999995
113,144073.69999999995
114,144017.69999999995
115,144865.69999999995
116,145441.69999999995
117,145381.75999999995
118,145597.75999999995
119,161157.75999999995
120,161167.37999999995
121,160247.37999999995
122,160517.37999999995
123,160498.13999999996
124,159949.13999999996
125,159984.65999999995
126,160023.87999999995
127,159924.86999999994
128,159762.06999999995
129,159429.06999999995
130,161213.06999999995
131,160484.06999999995
132,161483.06999999995
133,161359.48999999996
134,158498.20999999996
135,158840.20999999996
136,158807.64999999997
137,159959.64999999997
138,157419.80999999997
139,157459.76999999996
140,157506.38999999996
141,157496.02999999997
142,156616.02999999997
143,156589.38999999996
144,156514.64999999997
145,155058.64999999997
146,155091.94999999995
147,154331.94999999995
148,154284.58999999997
149,154320.10999999996
150,154314.92999999996
151,154367.46999999997
152,155015.46999999997
153,152715.78999999998
154,157660.00999999998
