step,equity
0,100000.0
1,99435.1
2,99154.16
3,99697.16
4,99421.54000000001
5,99841.54000000001
6,100462.54000000001
7,100209.64000000001
8,99951.37000000001
9,99756.36000000002
10,99562.98000000001
11,99369.96
12,99160.14
13,98940.77
14,98718.11
15,98859.11
16,98865.11
17,98931.11
18,99222.11
19,99363.11
20,99267.11
21,99044.06
22,98824.64
23,99091.64
24,98892.38
25,98826.38
26,99495.38
27,99636.38
28,99450.35
29,99585.35
30,99403.95000000001
31,99218.76000000001
32,99034.26000000001
33,99676.26000000001
34,99492.18000000001
35,99307.76000000001
36,101404.76000000001
37,101226.22000000002
38,101466.22000000002
39,101254.51000000001
40,101043.28000000001
41,100815.45000000001
42,100857.45000000001
43,101301.45000000001
44,101892.45000000001
45,101661.38
46,101430.07
47,101197.75
48,101176.75
49,101494.75
50,101710.75
51,101791.75
52,101565.99
53,101655.99
54,101427.57
55,101215.12000000001
56,101884.12000000001
57,101645.34000000001
58,101978.34000000001
59,101739.90000000001
60,101853.90000000001
61,102285.90000000001
62,102047.79000000001
63,101811.90000000001
64,101572.1
65,101334.43000000001
66,101101.3
67,100885.71
68,100933.71
69,100746.46
70,100563.46
71,100376.89
72,100553.89
73,100778.89
74,100575.85
75,100713.85
76,100965.85
77,100768.86
78,100591.44
79,100555.44
80,102790.44
81,102838.44
82,102868.44
83,102811.44
84,102642.36
85,102615.36
86,102437.28
87,102569.28
88,102373.91
89,102177.79000000001
90,102165.79000000001
91,102195.79000000001
92,102009.04000000001
93,101865.04000000001
94,101880.04000000001
95,102039.04000000001
96,102009.04000000001
97,102255.04000000001
98,102360.04000000001
99,102507.04000000001
100,102858.04000000001
101,103026.04000000001
102,102873.1
103,102713.40000000001
104,102556.35
105,102400.65000000001
106,102249.90000000001
107,102660.90000000001
108,102570.90000000001
109,102669.90000000001
110,102609.90000000001
111,102455.13
112,102935.13
113,102777.96
114,102620.70000000001
115,102647.70000000001
116,102483.11000000002
117,102570.11000000002
118,102525.11000000002
119,102558.11000000002
120,102396.23000000001
121,102411.23000000001
122,102138.23000000001
123,102174.23000000001
124,102315.23000000001
125,102369.23000000001
126,102417.23000000001
127,102498.23000000001
128,102624.23000000001
129,102493.23000000001
130,102655.23000000001
131,102754.23000000001
132,102838.23000000001
133,102979.23000000001
