rank,final_capital,max_dd_pct,base_margin_usage,max_concurrent,base_total_margin_limit,max_dd_limit,stop_loss_pct,n_trades
1,157660.01,5.43,0.08,3,0.2,0.05,0.02,153
2,157660.01,5.43,0.08,5,0.2,0.05,0.02,153
3,157660.01,5.43,0.08,8,0.2,0.05,0.02,153
4,108963.79,6.66,0.1,2,0.15,0.1,0.005,175
5,108963.79,6.66,0.1,3,0.15,0.1,0.005,175
6,108963.79,6.66,0.1,5,0.15,0.1,0.005,175
7,108963.79,6.66,0.1,8,0.15,0.1,0.005,175
8,107521.22,7.04,0.1,2,0.15,0.1,0.02,174
9,107521.22,7.04,0.1,3,0.15,0.1,0.02,174
10,107521.22,7.04,0.1,5,0.15,0.1,0.02,174
