rank,final_capital,max_dd_pct,margin_usage,max_concurrent,total_margin_limit,max_dd_limit,stop_loss_pct,n_trades
1,102979.23,1.87,0.05,2,0.05,0.05,0.005,132
2,102979.23,1.87,0.05,2,0.05,0.08,0.005,132
3,102979.23,1.87,0.05,2,0.05,0.1,0.005,132
4,102979.23,1.87,0.05,2,0.08,0.05,0.005,132
5,102979.23,1.87,0.05,2,0.08,0.08,0.005,132
6,102979.23,1.87,0.05,2,0.08,0.1,0.005,132
7,102979.23,1.87,0.05,3,0.05,0.05,0.005,132
8,102979.23,1.87,0.05,3,0.05,0.08,0.005,132
9,102979.23,1.87,0.05,3,0.05,0.1,0.005,132
10,102979.23,1.87,0.05,3,0.08,0.05,0.005,132
