ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd
AF,H1,A,2,3231,81.49,8.9995,0.7583,5.2665
AL,H1,A,2,3304,80.84,8.7766,0.7123,6.8349
BM,H1,A,2,1424,79.21,8.8573,0.7602,4.9026
BR,H1,A,2,3561,82.11,9.5029,0.6243,8.9325
CC,15m,A,2,6693,80.68,9.2053,0.6551,35.9153
CE,H1,A,2,1772,76.75,5.8502,0.505,5.5097
CH,15m,A,6,55,67.27,2.8787,0.5579,5.8312
CNYRUBF,H1,A,2,3464,83.86,10.8043,0.3402,2.3085
CR,H1,A,2,1017,78.56,5.6028,0.2787,2.8621
DX,H1,A,2,3147,75.69,5.1634,0.3939,11.4147
ED,H1,A,2,3177,81.81,9.806,0.1552,1.2229
EURRUBF,H1,A,2,3342,83.93,10.9454,0.351,2.0775
Eu,H1,A,2,3368,85.57,12.2622,0.3924,1.6929
FF,H1,A,3,72,66.67,2.0001,0.6039,16.8912
GAZPF,H1,A,2,1780,83.48,10.0148,0.6543,3.5936
GD,H1,A,2,3657,82.31,9.3422,0.3166,2.8392
GK,H1,A,2,3103,81.92,8.6426,0.6895,6.7009
GL,H1,A,2,2874,81.87,7.7104,0.5287,10.0699
GLDRUBF,H1,A,2,3056,84.65,10.9856,0.4253,3.3346
GZ,H1,A,2,3432,82.98,10.0102,0.6155,4.9581
HS,H1,A,2,3397,77.27,5.0494,0.4426,15.0582
HY,H1,A,2,3567,78.44,8.1071,0.6739,5.6457
IB,30m,A,2,2166,80.19,6.9953,0.5501,4.4246
IMOEXF,H1,A,2,2654,82.37,9.413,0.4086,3.4654
KC,H1,A,2,410,76.83,7.8899,0.6697,2.1947
LK,H1,A,2,3434,83.78,10.0089,0.5302,7.3595
MC,H1,A,2,3583,83.0,9.4259,0.4242,3.5722
ME,H1,A,2,3436,81.69,9.1982,0.9319,8.2959
MG,H1,A,2,3527,80.15,7.9783,0.7024,7.8354
MM,H1,A,2,3318,81.95,9.4293,0.6926,7.0596
MN,H1,A,2,510,78.24,6.0393,0.4696,3.3767
MX,H1,A,2,3553,82.94,9.4045,0.4246,3.5722
MY,30m,A,2,241,64.73,1.9955,0.2166,8.7957
NA,H1,A,2,3389,81.82,9.6364,0.3914,3.0069
NG,H1,A,2,3553,81.82,8.9009,0.9913,8.255
NM,H1,A,2,3394,80.41,8.1689,0.7002,6.0876
NR,H1,A,2,1444,71.95,4.0633,0.4902,11.0437
OJ,H1,A,2,903,77.63,7.1573,1.1339,6.3211
PD,H1,A,2,3410,81.85,8.6831,0.8212,6.8751
PT,H1,A,2,3463,81.87,7.9227,0.6357,14.6262
RB,H1,A,2,804,80.1,8.2673,0.1357,1.2583
RI,H1,A,2,3576,83.03,9.8465,0.5285,3.8514
RL,H1,A,2,510,79.41,6.6794,0.5854,3.9614
RM,H1,A,2,3323,81.52,9.5545,0.5402,4.7145
RN,H1,A,2,3375,83.82,9.7213,0.5915,6.5746
SBERF,H1,A,2,1806,82.72,8.5643,0.4122,8.935
SE,H1,A,2,2794,79.78,9.1628,1.0276,10.0194
SF,H1,A,2,1711,77.15,8.6746,1.3039,12.3246
SN,H1,A,2,3370,81.57,9.0823,0.7264,7.1317
SP,15m,A,2,6094,74.71,4.2098,0.6922,85.9266
SR,H1,A,2,3604,83.41,9.5192,0.4661,4.425
SS,H1,A,2,3237,79.43,7.3094,0.9484,9.9595
SV,H1,A,2,3576,82.05,8.4954,0.6454,6.3606
Si,H1,A,2,3588,84.06,10.7404,0.3674,1.8051
TN,H1,A,2,1277,81.21,7.2022,0.5413,5.972
TT,H1,A,2,1277,81.21,7.2022,0.5413,5.972
UC,H1,A,2,3068,78.62,7.5268,0.1366,2.4883
USDRUBF,H1,A,2,3479,84.97,11.7612,0.3332,1.6817
VB,H1,A,2,3194,82.78,13.9188,0.9114,4.1151
VI,H1,A,2,702,68.66,3.0881,1.1129,27.7879
W4,H1,A,2,2252,69.01,4.911,0.6819,18.1797
X5,H1,A,2,67,77.61,6.1429,0.567,5.4033
YD,H1,A,2,1759,81.24,8.5374,0.6755,6.4388
