ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd,fill_rate
AF,H1,D,2,1594,73.21,3.63,0.5241,11.1757,49.3
AL,H1,D,2,1660,70.12,3.5935,0.4869,14.9853,50.2
BM,H1,D,2,759,66.4,3.4021,0.4986,8.1771,53.2
BR,H1,D,2,1660,68.49,3.341,0.4164,10.0501,46.6
CC,H1,D,2,783,68.58,2.4934,0.5449,34.0776,47.3
CE,H1,D,2,1090,64.31,2.2836,0.2713,13.4882,61.5
CR,H1,D,2,510,64.31,2.4018,0.1581,3.5351,50.1
DX,H1,D,2,1886,61.93,2.3807,0.2254,15.1861,59.9
ED,H1,D,2,1637,73.18,4.2048,0.119,2.5684,51.5
FF,H1,E,2,72,47.22,0.3603,-0.7784,48.9429,100.0
GAZPF,H1,D,2,801,73.53,3.2069,0.4269,13.1972,45.0
GD,H1,D,2,1714,71.7,3.252,0.193,4.8306,46.8
GK,H1,D,2,1561,72.9,4.4647,0.5543,6.1787,50.3
GL,H1,D,2,1425,72.42,3.7039,0.3824,13.1518,49.6
GZ,H1,D,2,1517,72.25,3.4188,0.4241,11.6013,44.2
HS,H1,D,2,1933,65.34,2.255,0.2654,15.2283,56.9
HY,H1,D,2,1940,67.89,3.3403,0.4711,11.216,54.4
IB,H1,D,2,558,68.82,3.5154,0.5464,5.4925,53.0
IMOEXF,H1,D,2,1275,70.9,3.4902,0.2742,8.8455,48.0
KC,H1,D,2,231,71.43,3.9895,0.5356,4.785,56.3
LK,H1,D,2,1571,73.39,3.4968,0.3656,7.1006,45.7
MC,H1,D,2,1636,71.09,3.5945,0.2937,6.8886,45.7
ME,H1,D,2,1734,68.97,2.9972,0.5572,13.8158,50.5
MG,H1,D,3,1781,68.33,2.7458,0.4388,17.8453,50.5
MM,H1,D,2,1626,70.17,3.5967,0.4672,10.9519,49.0
MN,H1,D,2,256,60.16,1.735,0.1596,10.4364,50.0
MX,H1,D,2,1622,71.09,3.5853,0.294,6.8886,45.7
NA,H1,D,2,1694,70.84,3.6822,0.2689,4.7964,50.0
NG,H1,D,2,1738,67.66,2.7939,0.5577,22.3485,48.9
NM,H1,D,2,1749,69.35,3.5781,0.4933,7.2714,51.5
NR,H1,D,4,922,55.86,1.547,0.1908,18.1945,63.9
OJ,H1,D,2,480,65.83,2.6529,0.6545,13.0715,53.2
PD,H1,D,2,1729,72.01,3.563,0.5649,19.4651,50.7
PT,H1,D,2,1703,71.17,2.736,0.3759,26.0754,49.2
RB,H1,D,4,424,67.69,3.3416,0.1166,1.6678,52.7
RI,H1,D,2,1707,72.93,3.6784,0.359,6.2345,47.7
RL,H1,D,2,246,67.89,2.9515,0.3963,6.8105,48.2
RM,H1,D,2,1732,74.08,4.4522,0.4015,4.0077,52.1
RN,H1,D,2,1579,70.99,3.4805,0.3889,7.6547,46.8
SBERF,H1,D,2,863,72.89,2.9431,0.2493,7.7477,47.8
SE,H1,D,2,1497,69.41,4.3369,0.7682,8.7327,53.6
SF,H1,D,2,1003,65.1,3.4124,0.9419,17.2752,58.6
SN,H1,D,2,1710,68.65,3.5449,0.4943,13.6703,50.7
SP,H1,D,2,1355,63.03,1.6432,0.4982,125.6522,58.5
SR,H1,D,2,1631,72.23,3.1266,0.2967,10.9545,45.2
SS,H1,D,2,1764,70.29,3.8705,0.7219,13.6325,54.5
SV,H1,D,2,1747,72.3,3.079,0.3938,17.926,48.8
Si,H1,D,2,1616,73.82,3.7562,0.2526,3.3227,45.0
TN,H1,D,2,625,71.2,3.3263,0.3963,10.3726,48.9
TT,H1,D,2,625,71.2,3.3263,0.3963,10.3726,48.9
UC,H1,D,2,1805,73.46,4.7655,0.1148,2.534,58.8
VB,H1,D,2,1483,73.03,1.6064,0.2759,429.8958,46.4
VI,H1,D,3,472,56.99,1.3899,0.3828,68.6977,67.2
W4,H1,D,4,1704,62.27,2.3812,0.4184,20.3745,75.7
X5,H1,E,4,67,37.31,0.3036,-0.6634,44.8533,100.0
YD,H1,D,2,864,70.83,3.5883,0.4894,9.7495,49.1
