ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd
Eu,H1,A,2,3368,85.57,12.2622,0.3924,1.6929
USDRUBF,H1,A,2,3479,84.97,11.7612,0.3332,1.6817
GLDRUBF,H1,A,2,3056,84.65,10.9856,0.4253,3.3346
Si,H1,A,2,3588,84.06,10.7404,0.3674,1.8051
EURRUBF,H1,A,2,3342,83.93,10.9454,0.351,2.0775
CNYRUBF,H1,A,2,3464,83.86,10.8043,0.3402,2.3085
RN,H1,A,2,3375,83.82,9.7213,0.5915,6.5746
LK,H1,A,2,3434,83.78,10.0089,0.5302,7.3595
GAZPF,H1,A,2,1780,83.48,10.0148,0.6543,3.5936
SR,H1,A,2,3604,83.41,9.5192,0.4661,4.425
RI,H1,A,2,3576,83.03,9.8465,0.5285,3.8514
MC,H1,A,2,3583,83.0,9.4259,0.4242,3.5722
GZ,H1,A,2,3432,82.98,10.0102,0.6155,4.9581
GLDRUBF,30m,A,2,6006,82.98,10.3065,0.2937,2.9758
MX,H1,A,2,3553,82.94,9.4045,0.4246,3.5722
VB,H1,A,2,3194,82.78,13.9188,0.9114,4.1151
SBERF,H1,A,2,1806,82.72,8.5643,0.4122,8.935
MX,30m,A,2,7244,82.55,9.2248,0.2992,4.3243
MC,30m,A,2,7302,82.54,9.2093,0.2984,4.3243
GZ,15m,A,2,13249,82.42,9.6058,0.3448,5.8373
