ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd
VI,5m,B,8,492,63.62,2.2856,0.9425,62.4702
X5,30m,B,3,156,62.82,2.1644,0.3889,12.3949
VI,15m,B,4,634,62.62,2.0627,0.809,57.0207
CH,15m,B,4,53,62.26,4.6268,0.8286,4.6098
VI,15m,B,6,633,62.09,2.1233,0.8855,56.3797
W4,5m,B,6,1272,61.56,3.1884,0.4887,12.4779
W4,5m,B,3,1272,61.4,3.4323,0.4975,16.8853
VI,5m,B,3,493,61.26,3.1631,0.9773,12.0078
W4,5m,B,8,1272,61.01,3.0216,0.5063,19.6434
VI,5m,B,6,492,60.98,2.1179,0.8048,65.6466
W4,5m,B,4,1272,60.93,3.5451,0.5118,8.6135
FF,H1,B,2,69,60.87,3.842,1.0621,5.8659
CH,H1,B,4,232,60.78,2.5513,0.8482,12.8902
CH,15m,B,6,53,60.38,5.2091,0.8303,4.84
X5,30m,B,4,156,60.26,2.0372,0.2897,12.7959
X5,30m,B,2,156,60.26,2.4447,0.4196,12.6039
VI,15m,B,3,634,59.62,2.4947,0.9051,71.336
SF,5m,B,6,6998,59.33,4.5083,3.0882,368.3982
VI,15m,B,2,634,59.31,2.7178,0.8854,18.9823
VI,5m,B,4,493,59.23,2.7105,0.9006,15.5283
