ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd
Eu,H1,C,2,1261,79.38,6.3595,0.3156,4.596
USDRUBF,H1,C,2,1337,78.46,7.0137,0.274,2.0535
Si,H1,C,2,1374,77.73,5.6475,0.2953,2.5934
GLDRUBF,H1,C,2,1213,77.33,6.3832,0.3346,2.5241
LK,H1,C,2,1328,77.33,4.9337,0.4097,7.5415
CNYRUBF,H1,C,2,1402,76.96,6.4079,0.2857,1.9279
GAZPF,H1,C,2,689,76.78,5.7566,0.5373,3.844
RM,H1,C,2,1513,76.67,6.2325,0.4363,4.182
CNYRUBF,30m,C,2,2775,76.65,5.9091,0.1885,2.0095
VB,H1,C,2,1246,76.65,1.6336,0.2856,430.2501
RI,H1,C,2,1460,76.44,5.9186,0.4223,4.4246
ED,H1,C,2,1393,76.31,6.1458,0.1344,1.7981
CNYRUBF,15m,C,2,5122,76.14,5.867,0.1284,2.4408
VB,30m,C,2,2673,76.06,2.1093,0.308,434.4662
GK,H1,C,2,1339,76.03,5.3034,0.5889,5.9398
SR,H1,C,2,1387,75.92,4.769,0.3568,4.6308
GZ,30m,C,2,2724,75.88,4.4646,0.3241,10.6226
NA,H1,C,2,1406,75.53,6.0703,0.317,2.4652
SBERF,H1,C,2,727,75.52,4.3828,0.3079,8.7829
SV,H1,C,2,1511,75.38,4.3898,0.4574,5.7619
