ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd,fill_rate
RM,H1,D,2,1732,74.08,4.4522,0.4015,4.0077,52.1
Si,H1,D,2,1616,73.82,3.7562,0.2526,3.3227,45.0
GAZPF,H1,D,2,801,73.53,3.2069,0.4269,13.1972,45.0
UC,H1,D,2,1805,73.46,4.7655,0.1148,2.534,58.8
LK,H1,D,2,1571,73.39,3.4968,0.3656,7.1006,45.7
AF,H1,D,2,1594,73.21,3.63,0.5241,11.1757,49.3
ED,H1,D,2,1637,73.18,4.2048,0.119,2.5684,51.5
VB,H1,D,2,1483,73.03,1.6064,0.2759,429.8958,46.4
RI,H1,D,2,1707,72.93,3.6784,0.359,6.2345,47.7
GK,H1,D,2,1561,72.9,4.4647,0.5543,6.1787,50.3
SBERF,H1,D,2,863,72.89,2.9431,0.2493,7.7477,47.8
GL,H1,D,2,1425,72.42,3.7039,0.3824,13.1518,49.6
SV,H1,D,2,1747,72.3,3.079,0.3938,17.926,48.8
GZ,H1,D,2,1517,72.25,3.4188,0.4241,11.6013,44.2
SR,H1,D,2,1631,72.23,3.1266,0.2967,10.9545,45.2
RM,H1,D,3,1732,72.17,3.7835,0.4045,6.9526,52.1
PD,H1,D,2,1729,72.01,3.563,0.5649,19.4651,50.7
VB,H1,D,3,1483,71.75,1.5892,0.2923,430.1119,46.4
GD,H1,D,2,1714,71.7,3.252,0.193,4.8306,46.8
KC,H1,D,2,231,71.43,3.9895,0.5356,4.785,56.3
