ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd,fill_rate
Si,H1,E,4,3586,50.78,1.0391,0.0072,18.974,99.9
Si,H1,E,2,3588,49.8,1.0213,0.003,25.0836,100.0
MN,H1,E,4,510,49.8,0.9351,-0.0216,28.6796,99.6
RI,H1,E,4,3576,49.78,0.9764,-0.0067,68.6131,100.0
Si,H1,E,3,3587,49.76,1.0274,0.0045,23.5101,100.0
MX,H1,E,4,3553,49.42,0.9344,-0.0156,74.0561,100.0
MC,H1,E,4,3583,49.37,0.9336,-0.0158,75.364,100.0
BR,H1,E,4,3559,49.34,0.9323,-0.0245,159.4006,99.9
BR,H1,E,2,3561,49.28,0.9187,-0.0223,138.9667,99.9
MC,H1,E,3,3583,49.12,0.9031,-0.0204,84.0651,100.0
MX,H1,E,3,3553,49.11,0.9024,-0.0206,83.7612,100.0
BR,H1,E,3,3560,48.88,0.9412,-0.0187,135.77,99.9
IMOEXF,H1,E,4,2653,48.85,0.9833,-0.0038,41.5825,99.9
GD,H1,E,4,3655,48.81,1.0446,0.008,29.8426,99.9
CR,H1,E,4,1017,48.67,0.9537,-0.0088,18.8952,99.9
GD,H1,E,3,3656,48.55,1.0076,0.0012,31.265,99.9
RI,H1,E,2,3576,48.49,0.9543,-0.0095,60.1685,100.0
NG,H1,E,3,3553,48.47,0.906,-0.0522,226.5119,100.0
RI,H1,E,3,3576,48.32,0.9662,-0.0084,64.6705,100.0
NG,H1,E,4,3552,48.31,0.9658,-0.0215,230.731,99.9
