ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd
Eu,H1,A,2,3368,85.57,12.2622,0.3924,1.6929
USDRUBF,H1,A,2,3479,84.97,11.7612,0.3332,1.6817
GLDRUBF,H1,A,2,3056,84.65,10.9856,0.4253,3.3346
Si,H1,A,2,3588,84.06,10.7404,0.3674,1.8051
EURRUBF,H1,A,2,3342,83.93,10.9454,0.351,2.0775
CNYRUBF,H1,A,2,3464,83.86,10.8043,0.3402,2.3085
RN,H1,A,2,3375,83.82,9.7213,0.5915,6.5746
LK,H1,A,2,3434,83.78,10.0089,0.5302,7.3595
GAZPF,H1,A,2,1780,83.48,10.0148,0.6543,3.5936
SR,H1,A,2,3604,83.41,9.5192,0.4661,4.425
RI,H1,A,2,3576,83.03,9.8465,0.5285,3.8514
MC,H1,A,2,3583,83.0,9.4259,0.4242,3.5722
GZ,H1,A,2,3432,82.98,10.0102,0.6155,4.9581
GLDRUBF,30m,A,2,6006,82.98,10.3065,0.2937,2.9758
MX,H1,A,2,3553,82.94,9.4045,0.4246,3.5722
VB,H1,A,2,3194,82.78,13.9188,0.9114,4.1151
SBERF,H1,A,2,1806,82.72,8.5643,0.4122,8.935
MX,30m,A,2,7244,82.55,9.2248,0.2992,4.3243
MC,30m,A,2,7302,82.54,9.2093,0.2984,4.3243
GZ,15m,A,2,13249,82.42,9.6058,0.3448,5.8373
IMOEXF,H1,A,2,2654,82.37,9.413,0.4086,3.4654
MX,15m,A,2,13331,82.35,9.1095,0.2327,6.4494
GD,H1,A,2,3657,82.31,9.3422,0.3166,2.8392
GD,30m,A,2,6949,82.31,9.026,0.2277,5.3713
SR,15m,A,2,13379,82.29,8.8995,0.2679,7.3836
MC,15m,A,2,13439,82.28,9.068,0.2319,6.4494
Si,15m,A,2,13278,82.2,8.6149,0.183,4.6298
Eu,15m,A,2,13268,82.17,9.1982,0.1955,3.9642
VB,30m,A,2,6530,82.16,9.3293,0.5866,44.6055
SR,30m,A,2,7160,82.15,9.3231,0.3464,5.0476
BR,H1,A,2,3561,82.11,9.5029,0.6243,8.9325
GLDRUBF,15m,A,2,11786,82.11,9.4137,0.2045,3.3834
SV,H1,A,2,3576,82.05,8.4954,0.6454,6.3606
LK,30m,A,2,7047,82.03,9.3416,0.3816,5.4312
Eu,30m,A,2,7166,82.01,9.5257,0.2724,2.3855
GZ,30m,A,2,7039,81.97,9.6231,0.4479,8.4968
GD,15m,A,2,13621,81.95,9.4945,0.1622,3.3463
MM,H1,A,2,3318,81.95,9.4293,0.6926,7.0596
GK,H1,A,2,3103,81.92,8.6426,0.6895,6.7009
PT,H1,A,2,3463,81.87,7.9227,0.6357,14.6262
GL,H1,A,2,2874,81.87,7.7104,0.5287,10.0699
PD,H1,A,2,3410,81.85,8.6831,0.8212,6.8751
NA,H1,A,2,3389,81.82,9.6364,0.3914,3.0069
NG,H1,A,2,3553,81.82,8.9009,0.9913,8.255
ED,H1,A,2,3177,81.81,9.806,0.1552,1.2229
Eu,H1,A,3,3368,81.8,8.5837,0.3929,2.0125
CNYRUBF,30m,A,2,6970,81.76,9.4722,0.2312,2.596
RN,30m,A,2,7264,81.73,9.2844,0.4342,4.9589
USDRUBF,30m,A,2,7401,81.72,9.3934,0.2215,2.3802
ME,H1,A,2,3436,81.69,9.1982,0.9319,8.2959
GAZPF,30m,A,2,3642,81.6,9.0256,0.4476,4.6661
RI,15m,A,2,13399,81.57,9.1526,0.2654,3.1546
SN,H1,A,2,3370,81.57,9.0823,0.7264,7.1317
RM,H1,A,2,3323,81.52,9.5545,0.5402,4.7145
BR,15m,A,2,13478,81.5,9.7688,0.3287,8.7506
AF,H1,A,2,3231,81.49,8.9995,0.7583,5.2665
BR,30m,A,2,6795,81.44,8.8974,0.4508,11.5385
Si,30m,A,2,7633,81.44,8.858,0.2485,2.8097
IMOEXF,30m,A,2,5341,81.3,8.6079,0.2815,4.2887
Si,H1,A,3,3587,81.27,7.3666,0.3691,3.2638
IMOEXF,15m,A,2,9718,81.25,9.2267,0.204,2.7679
YD,H1,A,2,1759,81.24,8.5374,0.6755,6.4388
TN,H1,A,2,1277,81.21,7.2022,0.5413,5.972
TT,H1,A,2,1277,81.21,7.2022,0.5413,5.972
CNYRUBF,15m,A,2,11837,81.18,9.1908,0.1659,3.1222
ED,30m,A,2,6530,81.1,8.6964,0.112,1.3519
NA,30m,A,2,6920,81.0,8.6395,0.2915,3.2084
USDRUBF,H1,A,3,3479,81.0,8.2865,0.3376,2.1222
USDRUBF,15m,A,2,13137,80.98,9.0144,0.1555,2.2082
GLDRUBF,H1,A,3,3055,80.92,8.594,0.4411,2.8589
EURRUBF,H1,A,3,3342,80.91,7.5949,0.3455,2.245
AL,H1,A,2,3304,80.84,8.7766,0.7123,6.8349
GAZPF,H1,A,3,1780,80.84,7.4306,0.6693,7.4747
SV,30m,A,2,7017,80.83,8.4626,0.4572,7.9782
YD,30m,A,2,3746,80.81,10.0769,0.5523,6.0074
RI,30m,A,2,7519,80.81,9.0021,0.3628,4.3449
EURRUBF,30m,A,2,7331,80.7,8.6218,0.2271,2.3782
GAZPF,15m,A,2,6994,80.7,8.2668,0.3045,3.3971
CC,15m,A,2,6693,80.68,9.2053,0.6551,35.9153
CC,H1,A,2,1655,80.66,7.8586,1.0712,11.5333
LK,15m,A,2,14052,80.49,8.0205,0.2719,7.9581
VB,15m,A,2,12402,80.48,9.641,0.4668,37.1951
NA,15m,A,2,13599,80.46,8.6385,0.2172,6.9012
NM,H1,A,2,3394,80.41,8.1689,0.7002,6.0876
AF,30m,A,2,7109,80.41,8.6634,0.5964,8.3598
GK,30m,A,2,6270,80.35,9.053,0.5201,6.4921
GZ,H1,A,3,3431,80.33,7.465,0.6262,7.0049
GL,30m,A,2,6102,80.32,8.3316,0.4239,7.3492
PD,30m,A,2,7178,80.29,8.2437,0.616,13.7844
MM,30m,A,2,7192,80.27,8.1337,0.5165,8.0316
IB,30m,A,2,2166,80.19,6.9953,0.5501,4.4246
MG,H1,A,2,3527,80.15,7.9783,0.7024,7.8354
CC,30m,A,2,3472,80.13,8.2344,0.7836,8.1652
AL,30m,A,2,7057,80.12,8.3619,0.5423,9.2525
SBERF,30m,A,2,3747,80.12,7.7307,0.2834,9.0859
RB,H1,A,2,804,80.1,8.2673,0.1357,1.2583
TN,30m,A,2,2510,80.08,8.3981,0.4552,6.2626
TT,30m,A,2,2510,80.08,8.3981,0.4552,6.2626
CNYRUBF,H1,A,3,3464,80.08,7.8662,0.342,3.1671
SBERF,H1,A,3,1806,80.07,6.4941,0.4119,7.9136
GL,H1,A,3,2873,80.06,7.769,0.562,7.4428
GL,15m,A,2,12487,79.99,8.4603,0.3473,8.965
NG,30m,A,2,7247,79.98,8.0471,0.7126,9.4786
NM,30m,A,2,7337,79.96,8.0573,0.5435,8.0318
RM,30m,A,2,6757,79.93,9.7708,0.3904,4.4046
IB,H1,A,2,1051,79.92,7.9241,0.7367,4.3124
SBERF,15m,A,2,7227,79.92,7.5123,0.1951,9.3527
SV,15m,A,2,13699,79.9,8.6666,0.3218,9.4329
RN,H1,A,3,3375,79.88,7.0555,0.6043,7.6137
MX,H1,A,3,3553,79.88,6.7639,0.427,4.0373
LK,H1,A,3,3434,79.82,6.7335,0.5249,7.9051
MC,H1,A,3,3583,79.82,6.7654,0.4262,4.0373
RI,H1,A,3,3576,79.81,6.9367,0.5297,5.4489
IB,15m,A,2,4496,79.8,8.9487,0.4869,14.0988
SE,H1,A,2,2794,79.78,9.1628,1.0276,10.0194
RM,15m,A,2,12018,79.74,9.908,0.2973,3.1927
GD,H1,A,3,3656,79.62,6.9674,0.3264,3.9745
SR,H1,A,3,3603,79.57,6.9506,0.4705,5.7991
ME,30m,A,2,7234,79.53,7.3079,0.6469,7.4275
PT,30m,A,2,7234,79.44,8.2984,0.4849,6.6068
ED,15m,A,2,12971,79.44,8.5106,0.0818,1.9411
SS,H1,A,2,3237,79.43,7.3094,0.9484,9.9595
IMOEXF,H1,A,3,2654,79.43,6.6572,0.4145,4.8217
RL,H1,A,2,510,79.41,6.6794,0.5854,3.9614
Eu,H1,C,2,1261,79.38,6.3595,0.3156,4.596
VB,H1,A,3,3194,79.34,9.4347,0.907,22.3612
Si,H1,A,4,3586,79.25,6.1661,0.3719,4.4583
NG,15m,A,2,13818,79.25,8.5049,0.5584,44.7478
BM,H1,A,2,1424,79.21,8.8573,0.7602,4.9026
RN,15m,A,2,14639,79.21,7.3387,0.307,10.4984
MM,H1,A,3,3318,79.2,7.2633,0.6885,14.9189
Si,5m,A,3,37125,79.16,6.3365,0.0984,7.0766
GLDRUBF,30m,A,3,6005,79.05,7.0441,0.2922,3.5022
SV,H1,A,3,3576,79.03,6.2448,0.649,9.2072
EURRUBF,15m,A,2,14010,79.03,7.6484,0.1539,1.9772
SN,H1,A,3,3370,79.02,6.9495,0.7164,8.9681
Eu,H1,A,4,3368,79.01,6.4215,0.3838,3.7303
TN,H1,A,3,1277,79.01,6.6952,0.5772,6.5604
TT,H1,A,3,1277,79.01,6.6952,0.5772,6.5604
PD,H1,A,3,3410,79.0,6.4649,0.8209,10.2559
YD,15m,A,2,7498,78.99,7.9054,0.4286,10.8113
ME,H1,A,3,3436,78.99,6.9393,0.9375,8.2295
RB,30m,A,2,1361,78.91,6.9147,0.0886,0.8654
GK,15m,A,2,12553,78.84,7.7074,0.3993,89.2148
LK,30m,A,3,7047,78.83,6.8834,0.3819,5.4517
AF,H1,A,3,3231,78.83,6.5669,0.7567,13.2901
YD,H1,A,3,1759,78.79,6.5081,0.6837,6.8647
USDRUBF,H1,A,4,3478,78.75,6.6603,0.3387,3.7455
SN,30m,A,2,7285,78.71,7.4553,0.5275,8.1503
GZ,30m,A,3,7039,78.68,6.8376,0.4417,9.6149
GAZPF,H1,A,4,1780,78.65,5.7033,0.6646,7.1482
PD,15m,A,2,14531,78.63,7.331,0.4615,15.6443
TT,15m,A,2,5069,78.62,10.4868,0.4276,4.875
UC,H1,A,2,3068,78.62,7.5268,0.1366,2.4883
TN,15m,A,2,5069,78.62,10.4868,0.4276,4.875
NA,H1,A,3,3388,78.6,6.7447,0.3879,5.0785
CR,H1,A,2,1017,78.56,5.6028,0.2787,2.8621
CNYRUBF,H1,A,4,3463,78.46,6.0647,0.3401,5.9616
USDRUBF,H1,C,2,1337,78.46,7.0137,0.274,2.0535
HY,H1,A,2,3567,78.44,8.1071,0.6739,5.6457
AF,15m,A,2,14458,78.43,7.8206,0.4623,19.3474
