step,equity
0,100000.0
1,101170.29
2,102297.93999999999
3,103446.90999999999
4,104344.26
5,105910.87999999999
6,107485.43999999999
7,109059.84999999999
8,110700.43999999999
9,112044.84999999999
10,113376.76
11,114282.2
12,112878.95999999999
13,112525.71999999999
14,113515.28999999998
15,113353.81999999998
16,113012.34999999998
17,113059.61999999998
18,112915.70999999998
19,112379.09999999998
20,112407.26999999997
21,112130.88999999997
22,111726.84999999998
23,111088.06999999998
24,112010.56999999998
25,111722.61999999998
26,111580.82999999999
27,110682.61999999998
28,111315.82999999999
29,111175.18999999999
30,112755.69999999998
31,114426.07999999999
32,116022.74999999999
33,117647.23999999999
34,118915.06
35,119943.78
36,120379.55
37,119033.40000000001
38,118477.37000000001
39,117976.34000000001
40,119574.37000000001
41,122173.71
42,124819.68000000001
43,128630.54000000001
44,136739.54
45,145083.54
46,151846.54
47,158428.54
48,152931.88
49,145987.88
50,152962.22
