rank,final_capital,max_dd_pct,base_margin_usage,max_concurrent,base_total_margin_limit,max_dd_limit,stop_loss_pct,n_trades
1,152962.22,7.85,0.08,2,0.08,0.05,0.01,49
2,152962.22,7.85,0.08,2,0.08,0.05,0.015,49
3,152962.22,7.85,0.08,2,0.08,0.05,0.02,49
4,152962.22,7.85,0.08,3,0.08,0.05,0.01,49
5,152962.22,7.85,0.08,3,0.08,0.05,0.015,49
6,152962.22,7.85,0.08,3,0.08,0.05,0.02,49
7,152962.22,7.85,0.08,5,0.08,0.05,0.01,49
8,152962.22,7.85,0.08,5,0.08,0.05,0.015,49
9,152962.22,7.85,0.08,5,0.08,0.05,0.02,49
10,152962.22,7.85,0.08,8,0.08,0.05,0.01,49
