step,equity
0,100000.0
1,99549.2
2,100209.0
3,100819.2
4,101000.0
5,111797.3
6,114857.72
7,117465.8
8,116306.36
9,117166.04000000001
10,116552.96
11,115415.96
12,125243.48000000001
13,124006.27000000002
14,132942.21000000002
15,137304.61000000002
16,141169.45
17,144966.25
18,147773.5
19,149666.5
20,149821.75
21,149512.15
22,148993.9
23,147589.15
24,146189.19999999998
25,144998.49999999997
26,153873.39999999997
27,163242.09999999998
28,161657.86999999997
29,164219.08999999997
30,162578.75999999995
31,164612.63999999996
32,174069.05999999994
33,172379.93999999994
34,170632.49999999994
35,180921.65999999995
36,179233.79999999993
37,188266.39999999994
38,186482.48999999993
39,184637.58999999994
40,194467.23999999993
41,205294.23999999993
42,212504.79999999993
43,210446.47999999992
44,226560.15999999992
45,230570.8999999999
46,232446.97999999992
47,235357.45999999993
48,235501.20999999993
49,234721.95999999993
50,238845.45999999993
51,242244.20999999993
52,253606.95999999993
53,257369.13999999993
54,262022.5899999999
55,259483.5099999999
56,256942.5399999999
57,254827.6299999999
58,264593.22999999986
59,275168.0499999999
60,272390.4299999999
61,287750.85999999987
62,284874.45999999985
63,281999.25999999983
64,279219.31999999983
65,276439.37999999983
66,273750.5399999998
67,272719.5799999998
68,272157.43999999977
