strategy,ticker,tf,horizon,n,wr,pf,avg_return,max_dd
VWAP,GZ,5m,6,11266,55.65,1.4697,0.0675,81.5095
VWAP,GZ,5m,12,11266,55.73,1.3123,0.0617,128.1073
VWAP,GZ,5m,24,11265,53.54,1.1786,0.0479,196.6146
VWAP,GZ,15m,6,3538,53.31,1.1378,0.0352,42.134
VWAP,GZ,15m,12,3538,50.68,1.0052,0.0018,142.0963
VWAP,GZ,15m,24,3538,47.48,0.8601,-0.0712,411.9402
VWAP,GZ,30m,6,2022,51.68,1.0097,0.0034,133.2036
VWAP,GZ,30m,12,2022,48.37,0.816,-0.0983,356.0819
VWAP,GZ,30m,24,2020,49.75,0.8144,-0.1466,580.1598
VWAP,GZ,H1,6,1292,48.76,0.8103,-0.1149,239.0033
VWAP,GZ,H1,12,1291,50.27,0.7958,-0.1739,385.5487
VWAP,GZ,H1,24,1291,47.64,0.7746,-0.2687,520.3189
VWAP,SR,5m,6,14919,54.39,1.628,0.0594,62.3414
VWAP,SR,5m,12,14914,54.46,1.5246,0.0675,152.4454
VWAP,SR,5m,24,14911,53.85,1.3568,0.0636,200.5381
VWAP,SR,15m,6,4514,54.01,1.1422,0.0254,74.2835
VWAP,SR,15m,12,4513,52.16,1.0161,0.0041,149.4158
VWAP,SR,15m,24,4510,49.65,0.8706,-0.0483,373.95
VWAP,SR,30m,6,2483,50.7,0.8783,-0.0346,146.9029
VWAP,SR,30m,12,2483,46.11,0.7611,-0.1004,305.1667
VWAP,SR,30m,24,2480,48.59,0.7971,-0.1121,389.2127
VWAP,SR,H1,6,1402,50.0,0.9001,-0.0361,95.0894
VWAP,SR,H1,12,1402,53.42,0.9834,-0.0082,104.0233
VWAP,SR,H1,24,1402,52.57,1.0076,0.0052,199.3419
VWAP,Si,5m,6,14373,53.33,1.0349,0.0027,71.1618
VWAP,Si,5m,12,14373,53.04,1.038,0.0039,90.2059
VWAP,Si,5m,24,14372,51.92,0.9879,-0.0018,172.7
VWAP,Si,15m,6,4938,53.62,1.0176,0.0022,48.5842
VWAP,Si,15m,12,4938,51.74,0.987,-0.0024,83.7693
VWAP,Si,15m,24,4934,48.78,0.9535,-0.0123,135.0499
VWAP,Si,30m,6,2773,51.68,1.0017,0.0003,52.0167
VWAP,Si,30m,12,2771,50.23,1.0455,0.0123,70.5681
VWAP,Si,30m,24,2769,49.37,0.9922,-0.0031,135.2366
VWAP,Si,H1,6,1578,47.08,0.938,-0.017,51.3916
VWAP,Si,H1,12,1578,48.61,0.9596,-0.0161,93.2253
VWAP,Si,H1,24,1575,50.79,0.9673,-0.018,180.8448
VWAP,MC,5m,6,12597,55.35,1.6668,0.063,49.6267
VWAP,MC,5m,12,12595,53.27,1.3895,0.0515,123.0531
VWAP,MC,5m,24,12595,51.85,1.2259,0.0423,203.1784
VWAP,MC,15m,6,4562,51.51,1.1393,0.0231,63.6247
VWAP,MC,15m,12,4562,48.22,0.9777,-0.0053,146.7502
VWAP,MC,15m,24,4562,45.77,0.8546,-0.0518,306.4329
VWAP,MC,30m,6,2840,50.28,0.9301,-0.0163,105.2463
VWAP,MC,30m,12,2840,45.67,0.7805,-0.081,276.8721
VWAP,MC,30m,24,2840,44.96,0.7608,-0.1328,445.5585
VWAP,MC,H1,6,1737,47.09,0.8514,-0.0538,136.2292
VWAP,MC,H1,12,1737,47.96,0.8684,-0.0695,199.9981
VWAP,MC,H1,24,1737,51.99,0.9901,-0.0067,196.0328
Reversion,NM,5m,6,132,57.58,1.2402,0.0496,5.002
Reversion,NM,5m,12,132,56.06,1.5593,0.1399,5.8308
Reversion,NM,15m,6,81,55.56,1.4884,0.1255,6.2791
Reversion,NM,15m,12,81,54.32,1.2716,0.1046,6.7508
Reversion,NM,30m,6,50,46.0,1.0549,0.0199,5.8954
Reversion,NM,30m,12,50,50.0,1.0425,0.023,10.8737
Reversion,AF,5m,6,149,55.03,0.7033,-0.0832,18.6265
Reversion,AF,5m,12,149,52.35,0.9978,-0.0006,10.4914
Reversion,AF,15m,6,87,55.17,1.2701,0.0666,6.2971
Reversion,AF,15m,12,87,62.07,2.1131,0.2571,4.9059
Reversion,AF,30m,6,47,51.06,1.1336,0.0543,11.5335
Reversion,AF,30m,12,47,55.32,2.1968,0.4216,7.3486
OI_Div,RI,5m,3,570,54.56,1.3371,0.0231,6.8901
OI_Div,RI,5m,6,570,55.79,1.4314,0.0392,13.7641
OI_Div,RI,5m,12,570,55.96,1.5434,0.0792,27.3628
OI_Div,RI,15m,3,570,54.56,1.3371,0.0231,6.8901
OI_Div,RI,15m,6,570,55.79,1.4314,0.0392,13.7641
OI_Div,RI,15m,12,570,55.96,1.5434,0.0792,27.3628
