symbol,category,signal,horizon,n_signals,wr,avg_ret
AF,baseline,VYB,5,748,0.4732620320855615,0.00021867879740189593
AF,baseline,VYB,20,748,0.5053475935828877,0.0017418549708191162
AF,baseline,VYB,40,748,0.5187165775401069,0.0013143239278205023
AF,baseline,VYB,80,748,0.5227272727272727,0.0029301163125840736
AF,baseline,VYE,5,923,0.48212351029252437,0.00015653460608646208
AF,baseline,VYE,20,923,0.49729144095341277,0.0004008076771027289
AF,baseline,VYE,40,923,0.4962080173347779,0.0007509614518211552
AF,baseline,VYE,80,922,0.4848156182212581,0.001108222653585654
AF,baseline,YNE,5,28569,0.4735202492211838,-2.4702180064572714e-05
AF,baseline,YNE,20,28554,0.4668697905722491,-0.00018825458520432036
AF,baseline,YNE,40,28534,0.4575243569075489,-0.00040520140058148465
AF,baseline,YNE,80,28494,0.4454972976767039,-0.0007818331871526031
AF,pct,PCT_v50_yb50,5,19187,0.4887163183405431,0.00029159209327763564
AF,pct,PCT_v50_yb50,20,19187,0.4897586907802158,0.00043220409912916326
AF,pct,PCT_v50_yb50,40,19186,0.4876993641196706,0.0005947654752090325
AF,pct,PCT_v50_yb50,80,19176,0.4925427617855653,0.0013908500395302045
AF,pct,PCT_v50_yb70,5,14115,0.4860077931278781,0.000272405413652363
AF,pct,PCT_v50_yb70,20,14115,0.48905419766206165,0.00041771534391673123
AF,pct,PCT_v50_yb70,40,14114,0.4890888479523877,0.0005814372761299933
AF,pct,PCT_v50_yb70,80,14106,0.49283992627250817,0.0015095383345688303
AF,pct,PCT_v50_yb80,5,11060,0.4851717902350814,0.00032228674891147106
AF,pct,PCT_v50_yb80,20,11060,0.48978300180831824,0.000434372164045489
AF,pct,PCT_v50_yb80,40,11060,0.48670886075949366,0.0006388378140900811
AF,pct,PCT_v50_yb80,80,11055,0.4929895974672094,0.0015897964101351256
AF,pct,PCT_v50_yb90,5,7269,0.48754986930802036,0.000304495239619013
AF,pct,PCT_v50_yb90,20,7269,0.493327830513138,0.0004616997750486621
AF,pct,PCT_v50_yb90,40,7269,0.4894758563763929,0.0007166274059888528
AF,pct,PCT_v50_yb90,80,7265,0.49511355815554026,0.0017022782066116553
AF,pct,PCT_v50_yb95,5,4701,0.4862795149968092,0.00019849939937863562
AF,pct,PCT_v50_yb95,20,4701,0.49457562220804085,0.0003378847642755583
AF,pct,PCT_v50_yb95,40,4701,0.4843650287172942,0.0005260385079915874
AF,pct,PCT_v50_yb95,80,4698,0.4876543209876543,0.0015978942021527133
AF,pct,PCT_v70_yb50,5,11838,0.48851157290082786,0.00030921504982268986
AF,pct,PCT_v70_yb50,20,11838,0.4902855212029059,0.0004789231224555157
AF,pct,PCT_v70_yb50,40,11837,0.48432879952690716,0.0004936841114587529
AF,pct,PCT_v70_yb50,80,11829,0.4923493110153014,0.0013894704616598708
AF,pct,PCT_v70_yb70,5,8681,0.48657988710977995,0.0002957484579883498
AF,pct,PCT_v70_yb70,20,8681,0.4891141573551434,0.0004695122671810854
AF,pct,PCT_v70_yb70,40,8680,0.48663594470046084,0.0004563977783153119
AF,pct,PCT_v70_yb70,80,8673,0.4922172258734002,0.0015591813139731814
AF,pct,PCT_v70_yb80,5,6796,0.48116539140670983,0.00026561797931227846
AF,pct,PCT_v70_yb80,20,6796,0.4874926427310182,0.00040761116519083583
AF,pct,PCT_v70_yb80,40,6796,0.487051206592113,0.0004843082497001027
AF,pct,PCT_v70_yb80,80,6792,0.4919022379269729,0.001613816027882587
AF,pct,PCT_v70_yb90,5,4474,0.4801072865444792,0.0003295638497529764
AF,pct,PCT_v70_yb90,20,4474,0.489047831917747,0.0004262250156535472
AF,pct,PCT_v70_yb90,40,4474,0.48882431828341527,0.0005526215132463867
AF,pct,PCT_v70_yb90,80,4471,0.49496756877656006,0.001809217740085571
AF,pct,PCT_v70_yb95,5,2898,0.4758454106280193,0.00017092729261185472
AF,pct,PCT_v70_yb95,20,2898,0.48792270531400966,0.0003302436539153332
AF,pct,PCT_v70_yb95,40,2898,0.47653554175293306,0.00030638209595397015
AF,pct,PCT_v70_yb95,80,2896,0.481353591160221,0.0014723588916482134
AF,pct,PCT_v80_yb50,5,8015,0.4822208359326263,0.00031750847157527816
AF,pct,PCT_v80_yb50,20,8015,0.48995633187772925,0.0005140147992266273
AF,pct,PCT_v80_yb50,40,8014,0.48365360618916897,0.0004122358232278213
AF,pct,PCT_v80_yb50,80,8008,0.4937562437562438,0.0013712473967259471
AF,pct,PCT_v80_yb70,5,5897,0.4826182804816008,0.00033423176985363477
AF,pct,PCT_v80_yb70,20,5897,0.48923181278616246,0.0005007046391530273
AF,pct,PCT_v80_yb70,40,5896,0.4843962008141113,0.000395090704129938
AF,pct,PCT_v80_yb70,80,5891,0.49125785095909014,0.0014707432770524902
AF,pct,PCT_v80_yb80,5,4604,0.4767593397046047,0.00035533233047461163
AF,pct,PCT_v80_yb80,20,4604,0.4897914856646394,0.0005232717585257075
AF,pct,PCT_v80_yb80,40,4604,0.4891398783666377,0.0005259557316604303
AF,pct,PCT_v80_yb80,80,4601,0.4933710063029776,0.0015713900319880363
AF,pct,PCT_v80_yb90,5,3016,0.47579575596816975,0.00044149211884377324
AF,pct,PCT_v80_yb90,20,3016,0.49038461538461536,0.0006580436842370434
AF,pct,PCT_v80_yb90,40,3016,0.4930371352785146,0.0006782782750301406
AF,pct,PCT_v80_yb90,80,3013,0.49983405243942913,0.0019264990663271334
AF,pct,PCT_v80_yb95,5,1959,0.4650331801939765,0.00023793247685533514
AF,pct,PCT_v80_yb95,20,1959,0.4920877998979071,0.0007000005869692521
AF,pct,PCT_v80_yb95,40,1959,0.48187850944359367,0.0005238844535196727
AF,pct,PCT_v80_yb95,80,1957,0.4874808380173735,0.0017744897287105897
AF,pct,PCT_v90_yb50,5,4190,0.481145584725537,0.00032692961744825697
AF,pct,PCT_v90_yb50,20,4190,0.48591885441527444,0.0007615218456064885
AF,pct,PCT_v90_yb50,40,4190,0.4880668257756563,0.0005755027484002391
AF,pct,PCT_v90_yb50,80,4190,0.49618138424821,0.001674822343116563
