symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
AF,1.5,0.5,LONG,fiz_short_yur_long,3,15m,3756,46.7,0.99,-0.001,54.598,591.56,2001,1755,2001
AF,1.5,0.5,LONG,fiz_short_yur_long,6,30m,3756,47.0,1.12,0.024,53.006,855.03,1990,1766,1990
AF,1.5,0.5,LONG,fiz_short_yur_long,12,60m,3756,48.3,1.1,0.026,63.71,1116.9,1940,1816,1940
AF,1.5,0.5,LONG,fiz_short_yur_long,24,120m,3756,49.5,1.21,0.076,67.907,1646.11,1896,1860,1896
AF,1.5,0.5,LONG,fiz_short_yur_long,48,240m,3756,48.9,1.12,0.061,197.46,2159.36,1918,1838,1918
AF,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,3825,46.8,0.97,-0.005,55.799,607.38,2033,1792,2033
AF,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,3825,49.4,1.11,0.022,55.261,871.27,1937,1888,1937
AF,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,3825,49.0,1.14,0.038,35.141,1212.03,1949,1876,1949
AF,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,3825,48.9,1.12,0.044,115.08,1590.33,1953,1872,1953
AF,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,3825,49.9,1.14,0.07,144.384,2177.12,1918,1907,1918
AF,1.5,0.75,LONG,fiz_short_yur_long,3,15m,3294,47.2,0.98,-0.003,44.994,502.65,1739,1555,1739
AF,1.5,0.75,LONG,fiz_short_yur_long,6,30m,3294,47.3,1.15,0.03,38.068,751.77,1736,1558,1736
AF,1.5,0.75,LONG,fiz_short_yur_long,12,60m,3294,48.3,1.12,0.031,61.316,984.49,1703,1591,1703
AF,1.5,0.75,LONG,fiz_short_yur_long,24,120m,3294,49.6,1.22,0.081,70.12,1460.18,1660,1634,1660
AF,1.5,0.75,LONG,fiz_short_yur_long,48,240m,3294,49.0,1.14,0.07,193.466,1908.24,1680,1614,1680
AF,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,3339,46.7,0.97,-0.005,50.69,543.81,1780,1559,1780
AF,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,3339,49.6,1.11,0.023,57.062,774.43,1683,1656,1683
AF,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,3339,49.3,1.13,0.038,39.641,1062.67,1692,1647,1692
AF,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,3339,49.8,1.13,0.048,110.005,1404.3,1677,1662,1677
AF,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,3339,50.2,1.15,0.075,132.144,1909.06,1662,1677,1662
AF,1.5,1.0,LONG,fiz_short_yur_long,3,15m,2728,47.3,0.94,-0.01,42.649,399.13,1438,1290,1438
AF,1.5,1.0,LONG,fiz_short_yur_long,6,30m,2728,46.8,1.1,0.021,38.036,606.7,1452,1276,1452
AF,1.5,1.0,LONG,fiz_short_yur_long,12,60m,2728,48.1,1.09,0.024,55.224,784.67,1416,1312,1416
AF,1.5,1.0,LONG,fiz_short_yur_long,24,120m,2728,49.9,1.24,0.085,54.11,1213.12,1368,1360,1368
AF,1.5,1.0,LONG,fiz_short_yur_long,48,240m,2728,49.3,1.11,0.058,167.132,1550.26,1382,1346,1382
AF,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,2771,46.7,0.98,-0.004,51.782,441.84,1477,1294,1477
AF,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,2771,50.1,1.14,0.028,51.757,651.29,1382,1389,1382
AF,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,2771,49.5,1.16,0.045,32.933,899.37,1400,1371,1400
AF,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,2771,50.3,1.16,0.057,96.926,1177.44,1377,1394,1377
AF,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,2771,50.8,1.17,0.083,123.925,1588.68,1362,1409,1362
AF,1.5,1.25,LONG,fiz_short_yur_long,3,15m,2151,46.3,0.88,-0.019,58.768,308.33,1155,996,1155
AF,1.5,1.25,LONG,fiz_short_yur_long,6,30m,2151,46.1,1.03,0.007,34.238,467.98,1160,991,1160
AF,1.5,1.25,LONG,fiz_short_yur_long,12,60m,2151,47.8,1.05,0.013,48.29,609.46,1122,1029,1122
AF,1.5,1.25,LONG,fiz_short_yur_long,24,120m,2151,49.7,1.21,0.076,31.018,942.09,1083,1068,1083
AF,1.5,1.25,LONG,fiz_short_yur_long,48,240m,2151,49.2,1.09,0.045,130.69,1216.07,1092,1059,1092
AF,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,2206,46.8,1.01,0.001,34.33,355.5,1174,1032,1174
AF,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,2206,50.0,1.17,0.034,50.75,527.0,1103,1103,1103
AF,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,2206,49.5,1.17,0.049,41.04,723.76,1113,1093,1113
AF,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,2206,50.4,1.15,0.056,75.513,936.3,1094,1112,1094
AF,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,2206,50.2,1.14,0.071,96.469,1249.15,1098,1108,1098
AF,1.5,1.5,LONG,fiz_short_yur_long,3,15m,1641,45.8,0.88,-0.02,53.228,239.05,890,751,890
AF,1.5,1.5,LONG,fiz_short_yur_long,6,30m,1641,45.6,1.02,0.005,36.98,355.85,893,748,893
