symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
AL,1.5,0.5,LONG,fiz_short_yur_long,3,15m,3596,48.6,0.96,-0.006,41.942,497.57,1850,1746,1850
AL,1.5,0.5,LONG,fiz_short_yur_long,6,30m,3596,47.7,0.96,-0.008,54.273,660.79,1882,1714,1882
AL,1.5,0.5,LONG,fiz_short_yur_long,12,60m,3596,48.1,0.98,-0.005,50.492,876.79,1868,1728,1868
AL,1.5,0.5,LONG,fiz_short_yur_long,24,120m,3596,47.9,0.93,-0.022,143.55,1090.97,1875,1721,1875
AL,1.5,0.5,LONG,fiz_short_yur_long,48,240m,3596,47.3,0.99,-0.003,156.429,1614.3,1895,1701,1895
AL,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,3983,48.9,1.17,0.023,17.266,629.26,2034,1949,2034
AL,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,3983,47.5,1.07,0.012,29.803,735.05,2090,1893,2090
AL,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,3983,48.4,1.03,0.006,55.908,955.14,2054,1929,2054
AL,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,3983,48.4,1.0,0.001,79.819,1279.64,2057,1926,2057
AL,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,3983,48.1,0.99,-0.005,151.462,1757.11,2068,1915,2068
AL,1.5,0.75,LONG,fiz_short_yur_long,3,15m,3114,49.1,0.98,-0.003,42.84,442.29,1586,1528,1586
AL,1.5,0.75,LONG,fiz_short_yur_long,6,30m,3114,48.0,0.96,-0.007,54.551,572.86,1618,1496,1618
AL,1.5,0.75,LONG,fiz_short_yur_long,12,60m,3114,48.3,0.97,-0.009,57.784,753.84,1610,1504,1610
AL,1.5,0.75,LONG,fiz_short_yur_long,24,120m,3114,48.1,0.92,-0.027,116.079,934.18,1617,1497,1617
AL,1.5,0.75,LONG,fiz_short_yur_long,48,240m,3114,47.7,1.01,0.005,120.943,1422.61,1628,1486,1628
AL,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,3470,48.6,1.18,0.025,25.581,554.59,1783,1687,1783
AL,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,3470,46.9,1.08,0.014,30.042,646.63,1841,1629,1841
AL,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,3470,47.9,1.0,0.001,55.454,808.09,1808,1662,1808
AL,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,3470,48.2,0.99,-0.004,86.206,1093.03,1798,1672,1798
AL,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,3470,47.9,1.0,-0.002,137.585,1525.84,1809,1661,1809
AL,1.5,1.0,LONG,fiz_short_yur_long,3,15m,2532,49.8,1.02,0.003,28.509,366.1,1271,1261,1271
AL,1.5,1.0,LONG,fiz_short_yur_long,6,30m,2532,48.7,0.94,-0.012,64.442,469.84,1300,1232,1300
AL,1.5,1.0,LONG,fiz_short_yur_long,12,60m,2532,48.3,0.97,-0.007,64.023,616.05,1310,1222,1310
AL,1.5,1.0,LONG,fiz_short_yur_long,24,120m,2532,47.9,0.88,-0.038,107.333,735.93,1318,1214,1318
AL,1.5,1.0,LONG,fiz_short_yur_long,48,240m,2532,47.9,1.0,0.001,97.778,1140.48,1320,1212,1320
AL,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,2920,48.0,1.12,0.016,27.857,465.42,1517,1403,1517
AL,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,2920,46.4,1.06,0.01,36.079,546.79,1564,1356,1564
AL,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,2920,48.0,0.99,-0.001,55.377,681.89,1518,1402,1518
