symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
BM,1.5,0.5,LONG,fiz_short_yur_long,3,15m,952,48.4,0.95,-0.008,21.698,154.4,491,461,491
BM,1.5,0.5,LONG,fiz_short_yur_long,6,30m,952,48.4,0.86,-0.033,39.597,193.53,491,461,491
BM,1.5,0.5,LONG,fiz_short_yur_long,12,60m,952,51.9,1.17,0.044,26.543,284.35,458,494,458
BM,1.5,0.5,LONG,fiz_short_yur_long,24,120m,952,53.6,1.27,0.089,20.646,401.48,442,510,442
BM,1.5,0.5,LONG,fiz_short_yur_long,48,240m,952,55.9,1.44,0.189,40.198,586.86,420,532,420
BM,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,876,45.7,0.85,-0.029,36.878,149.09,476,400,476
BM,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,876,47.3,0.91,-0.022,65.66,207.15,462,414,462
BM,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,876,46.2,0.92,-0.028,74.711,268.87,471,405,471
BM,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,876,48.2,1.1,0.042,72.037,410.93,454,422,454
BM,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,876,47.9,0.83,-0.114,181.281,496.2,456,420,456
BM,1.5,0.75,LONG,fiz_short_yur_long,3,15m,859,49.0,0.91,-0.015,21.761,131.84,438,421,438
BM,1.5,0.75,LONG,fiz_short_yur_long,6,30m,859,49.1,0.87,-0.03,36.373,171.29,437,422,437
BM,1.5,0.75,LONG,fiz_short_yur_long,12,60m,859,52.6,1.14,0.035,30.758,251.74,407,452,407
BM,1.5,0.75,LONG,fiz_short_yur_long,24,120m,859,53.3,1.25,0.083,22.695,357.36,401,458,401
BM,1.5,0.75,LONG,fiz_short_yur_long,48,240m,859,55.9,1.48,0.199,30.641,527.59,379,480,379
BM,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,772,45.1,0.79,-0.043,42.113,125.51,424,348,424
BM,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,772,46.8,0.87,-0.035,64.203,173.88,411,361,411
