symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
CC,1.5,0.5,LONG,fiz_short_yur_long,3,15m,1996,49.5,1.23,0.067,70.221,711.9,1008,988,1008
CC,1.5,0.5,LONG,fiz_short_yur_long,6,30m,1996,47.6,1.07,0.024,88.427,766.18,1045,951,1045
CC,1.5,0.5,LONG,fiz_short_yur_long,12,60m,1996,47.3,0.96,-0.018,92.945,873.09,1051,945,1051
CC,1.5,0.5,LONG,fiz_short_yur_long,24,120m,1996,46.3,0.94,-0.039,210.769,1217.18,1072,924,1072
CC,1.5,0.5,LONG,fiz_short_yur_long,48,240m,1996,44.9,0.84,-0.136,361.278,1469.92,1099,897,1099
CC,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,2282,47.9,0.87,-0.032,115.533,490.43,1188,1094,1188
CC,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,2282,47.1,0.74,-0.088,215.689,574.94,1208,1074,1208
CC,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,2282,45.3,0.73,-0.123,315.423,764.31,1248,1034,1248
CC,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,2282,45.4,0.73,-0.163,457.178,1020.23,1246,1036,1246
CC,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,2282,45.7,0.78,-0.184,594.329,1506.81,1239,1043,1239
CC,1.5,0.75,LONG,fiz_short_yur_long,3,15m,1717,49.2,1.26,0.078,70.912,650.39,872,845,872
CC,1.5,0.75,LONG,fiz_short_yur_long,6,30m,1717,47.0,1.04,0.014,98.788,659.89,910,807,910
CC,1.5,0.75,LONG,fiz_short_yur_long,12,60m,1717,46.6,0.97,-0.012,74.888,784.01,917,800,917
CC,1.5,0.75,LONG,fiz_short_yur_long,24,120m,1717,46.2,0.92,-0.055,185.504,1050.64,924,793,924
CC,1.5,0.75,LONG,fiz_short_yur_long,48,240m,1717,45.4,0.85,-0.136,297.506,1293.01,938,779,938
CC,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,1985,48.4,0.91,-0.023,86.954,435.31,1024,961,1024
CC,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,1985,47.6,0.74,-0.087,187.523,497.44,1041,944,1041
CC,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,1985,45.6,0.75,-0.114,254.651,672.14,1079,906,1079
CC,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,1985,45.0,0.7,-0.184,434.203,861.51,1092,893,1092
CC,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,1985,45.0,0.76,-0.203,548.324,1286.71,1092,893,1092
CC,1.5,1.0,LONG,fiz_short_yur_long,3,15m,1406,49.6,1.3,0.093,70.458,563.89,708,698,708
