symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
CE,1.5,0.5,LONG,fiz_short_yur_long,3,15m,822,48.8,0.85,-0.019,25.557,90.29,421,401,421
CE,1.5,0.5,LONG,fiz_short_yur_long,6,30m,822,49.5,0.89,-0.019,34.552,123.55,415,407,415
CE,1.5,0.5,LONG,fiz_short_yur_long,12,60m,822,49.0,0.91,-0.021,62.332,174.2,419,403,419
CE,1.5,0.5,LONG,fiz_short_yur_long,24,120m,822,52.3,1.09,0.025,50.916,241.8,392,430,392
CE,1.5,0.5,LONG,fiz_short_yur_long,48,240m,822,55.0,1.24,0.081,52.174,345.69,370,452,370
CE,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,1013,46.4,0.77,-0.037,42.563,122.84,543,470,543
CE,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,1013,44.3,0.77,-0.047,59.908,158.3,564,449,564
CE,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,1013,43.6,0.76,-0.065,88.251,201.98,571,442,571
CE,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,1013,42.6,0.68,-0.116,123.304,253.85,581,432,581
CE,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,1013,45.2,0.75,-0.113,135.343,343.94,555,458,555
CE,1.5,0.75,LONG,fiz_short_yur_long,3,15m,698,48.7,0.87,-0.016,21.085,75.87,358,340,358
CE,1.5,0.75,LONG,fiz_short_yur_long,6,30m,698,49.0,0.96,-0.006,26.609,108.82,356,342,356
CE,1.5,0.75,LONG,fiz_short_yur_long,12,60m,698,49.0,0.94,-0.014,53.172,148.1,356,342,356
CE,1.5,0.75,LONG,fiz_short_yur_long,24,120m,698,52.6,1.15,0.038,43.792,203.32,331,367,331
CE,1.5,0.75,LONG,fiz_short_yur_long,48,240m,698,54.6,1.24,0.082,46.013,290.42,317,381,317
CE,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,868,46.7,0.78,-0.035,39.968,106.96,463,405,463
CE,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,868,44.1,0.79,-0.042,50.389,137.69,485,383,485
CE,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,868,43.9,0.76,-0.063,74.828,171.75,487,381,487
CE,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,868,42.2,0.67,-0.122,113.734,214.87,502,366,502
CE,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,868,45.7,0.76,-0.11,120.369,297.75,471,397,471
CE,1.5,1.0,LONG,fiz_short_yur_long,3,15m,568,49.5,1.09,0.009,10.963,65.73,287,281,287
CE,1.5,1.0,LONG,fiz_short_yur_long,6,30m,568,48.4,1.04,0.006,24.766,89.17,293,275,293
CE,1.5,1.0,LONG,fiz_short_yur_long,12,60m,568,47.4,0.93,-0.015,49.918,116.81,299,269,299
CE,1.5,1.0,LONG,fiz_short_yur_long,24,120m,568,52.8,1.12,0.03,41.471,162.7,268,300,268
CE,1.5,1.0,LONG,fiz_short_yur_long,48,240m,568,54.8,1.23,0.074,45.985,228.48,257,311,257
CE,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,729,46.4,0.75,-0.042,38.5,89.26,391,338,391
CE,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,729,42.7,0.72,-0.057,52.927,108.39,418,311,418
CE,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,729,43.2,0.73,-0.069,72.067,139.8,414,315,414
CE,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,729,40.7,0.67,-0.125,106.416,182.02,432,297,432
CE,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,729,45.3,0.72,-0.129,114.797,239.43,399,330,399
CE,1.5,1.25,LONG,fiz_short_yur_long,3,15m,432,50.5,0.79,-0.023,12.914,36.36,214,218,214
CE,1.5,1.25,LONG,fiz_short_yur_long,6,30m,432,48.4,0.95,-0.007,22.777,64.22,223,209,223
CE,1.5,1.25,LONG,fiz_short_yur_long,12,60m,432,47.9,0.84,-0.036,40.462,80.91,225,207,225
CE,1.5,1.25,LONG,fiz_short_yur_long,24,120m,432,52.8,1.08,0.019,30.671,116.18,204,228,204
CE,1.5,1.25,LONG,fiz_short_yur_long,48,240m,432,54.9,1.25,0.076,34.071,167.04,195,237,195
CE,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,581,46.5,0.72,-0.046,31.279,68.84,311,270,311
CE,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,581,41.7,0.7,-0.063,53.825,86.58,339,242,339
CE,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,581,43.0,0.76,-0.064,65.077,118.43,331,250,331
CE,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,581,40.4,0.69,-0.117,87.537,148.91,346,235,346
CE,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,581,47.5,0.76,-0.105,87.486,193.35,305,276,305
CE,1.5,1.5,LONG,fiz_short_yur_long,3,15m,327,50.5,0.81,-0.018,8.992,24.84,162,165,162
CE,1.5,1.5,LONG,fiz_short_yur_long,6,30m,327,48.9,0.87,-0.021,21.843,45.1,167,160,167
CE,1.5,1.5,LONG,fiz_short_yur_long,12,60m,327,48.9,0.97,-0.007,22.77,60.48,167,160,167
CE,1.5,1.5,LONG,fiz_short_yur_long,24,120m,327,53.5,1.1,0.024,21.633,84.84,152,175,152
CE,1.5,1.5,LONG,fiz_short_yur_long,48,240m,327,54.7,1.26,0.081,23.598,127.06,148,179,148
CE,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,448,45.5,0.82,-0.026,21.11,54.87,244,204,244
CE,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,448,42.9,0.75,-0.053,36.779,69.93,256,192,256
CE,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,448,42.9,0.73,-0.074,53.902,89.86,256,192,256
CE,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,448,39.5,0.66,-0.129,73.653,110.4,271,177,271
CE,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,448,47.1,0.77,-0.103,66.379,154.45,237,211,237
CE,1.75,0.5,LONG,fiz_short_yur_long,3,15m,739,50.1,0.93,-0.008,17.594,86.12,369,370,369
CE,1.75,0.5,LONG,fiz_short_yur_long,6,30m,739,49.9,0.9,-0.018,31.621,115.14,370,369,370
CE,1.75,0.5,LONG,fiz_short_yur_long,12,60m,739,49.1,0.95,-0.012,52.099,162.73,376,363,376
CE,1.75,0.5,LONG,fiz_short_yur_long,24,120m,739,52.5,1.15,0.038,47.608,223.68,351,388,351
CE,1.75,0.5,LONG,fiz_short_yur_long,48,240m,739,55.2,1.24,0.082,48.311,313.73,331,408,331
CE,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,905,47.0,0.77,-0.037,42.144,110.34,480,425,480
CE,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,905,44.4,0.8,-0.041,45.566,144.29,503,402,503
CE,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,905,43.2,0.78,-0.059,70.158,183.85,514,391,514
CE,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,905,42.9,0.7,-0.111,105.494,233.77,517,388,517
CE,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,905,46.1,0.75,-0.116,118.096,310.44,488,417,488
CE,1.75,0.75,LONG,fiz_short_yur_long,3,15m,627,49.8,0.96,-0.005,13.8,71.94,315,312,315
CE,1.75,0.75,LONG,fiz_short_yur_long,6,30m,627,49.1,0.97,-0.005,22.929,101.54,319,308,319
CE,1.75,0.75,LONG,fiz_short_yur_long,12,60m,627,49.0,0.97,-0.006,43.772,138.7,320,307,320
CE,1.75,0.75,LONG,fiz_short_yur_long,24,120m,627,52.6,1.18,0.045,42.446,186.86,297,330,297
CE,1.75,0.75,LONG,fiz_short_yur_long,48,240m,627,54.7,1.22,0.075,43.195,261.76,284,343,284
CE,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,778,47.0,0.78,-0.035,39.335,96.09,412,366,412
CE,1.75,0.75,SHORT,fiz_long_yur_short,6,30m,778,44.3,0.83,-0.033,37.514,128.18,433,345,433
CE,1.75,0.75,SHORT,fiz_long_yur_short,12,60m,778,43.4,0.78,-0.055,59.737,156.54,440,338,440
CE,1.75,0.75,SHORT,fiz_long_yur_short,24,120m,778,42.5,0.7,-0.11,96.022,201.09,447,331,447
CE,1.75,0.75,SHORT,fiz_long_yur_short,48,240m,778,46.7,0.77,-0.106,103.277,273.81,415,363,415
CE,1.75,1.0,LONG,fiz_short_yur_long,3,15m,510,50.6,1.18,0.019,10.12,62.23,252,258,252
CE,1.75,1.0,LONG,fiz_short_yur_long,6,30m,510,48.8,1.07,0.011,23.95,83.35,261,249,261
CE,1.75,1.0,LONG,fiz_short_yur_long,12,60m,510,47.8,0.99,-0.002,41.277,110.31,266,244,266
CE,1.75,1.0,LONG,fiz_short_yur_long,24,120m,510,53.1,1.18,0.046,41.276,151.81,239,271,239
CE,1.75,1.0,LONG,fiz_short_yur_long,48,240m,510,54.9,1.21,0.071,44.478,206.43,230,280,230
CE,1.75,1.0,SHORT,fiz_long_yur_short,3,15m,653,47.2,0.74,-0.042,38.293,79.58,345,308,345
CE,1.75,1.0,SHORT,fiz_long_yur_short,6,30m,653,43.0,0.76,-0.048,39.84,100.95,372,281,372
CE,1.75,1.0,SHORT,fiz_long_yur_short,12,60m,653,42.7,0.76,-0.063,56.092,127.38,374,279,374
CE,1.75,1.0,SHORT,fiz_long_yur_short,24,120m,653,41.2,0.69,-0.115,89.881,170.88,384,269,384
CE,1.75,1.0,SHORT,fiz_long_yur_short,48,240m,653,46.2,0.73,-0.123,99.022,220.86,351,302,351
CE,1.75,1.25,LONG,fiz_short_yur_long,3,15m,380,52.4,0.82,-0.019,10.364,33.15,181,199,181
CE,1.75,1.25,LONG,fiz_short_yur_long,6,30m,380,48.4,0.94,-0.01,22.565,58.4,196,184,196
CE,1.75,1.25,LONG,fiz_short_yur_long,12,60m,380,47.9,0.89,-0.025,33.278,74.42,198,182,198
CE,1.75,1.25,LONG,fiz_short_yur_long,24,120m,380,52.6,1.12,0.031,30.616,105.76,180,200,180
