symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
DX,1.5,0.5,LONG,fiz_short_yur_long,3,15m,324,51.5,1.24,0.028,4.69,46.53,157,167,157
DX,1.5,0.5,LONG,fiz_short_yur_long,6,30m,324,51.5,1.3,0.045,5.666,63.71,157,167,157
DX,1.5,0.5,LONG,fiz_short_yur_long,12,60m,324,50.9,1.19,0.042,7.095,85.6,159,165,159
DX,1.5,0.5,LONG,fiz_short_yur_long,24,120m,324,54.9,1.16,0.047,16.627,110.98,146,178,146
DX,1.5,0.5,LONG,fiz_short_yur_long,48,240m,324,53.1,1.15,0.068,34.27,168.9,152,172,152
DX,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,287,50.9,1.21,0.03,5.778,50.57,141,146,141
DX,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,287,49.5,1.03,0.006,9.083,55.19,145,142,145
DX,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,287,47.0,0.84,-0.044,18.332,67.64,152,135,152
DX,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,287,49.1,0.84,-0.066,29.382,97.69,146,141,146
DX,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,287,47.4,0.93,-0.036,32.535,141.52,151,136,151
DX,1.5,0.75,LONG,fiz_short_yur_long,3,15m,258,50.0,1.2,0.024,4.579,37.07,129,129,129
DX,1.5,0.75,LONG,fiz_short_yur_long,6,30m,258,52.7,1.27,0.039,5.973,47.33,122,136,122
DX,1.5,0.75,LONG,fiz_short_yur_long,12,60m,258,51.6,1.11,0.024,10.406,64.66,125,133,125
DX,1.5,0.75,LONG,fiz_short_yur_long,24,120m,258,53.9,1.16,0.047,12.753,89.81,119,139,119
DX,1.5,0.75,LONG,fiz_short_yur_long,48,240m,258,52.7,1.2,0.094,32.618,144.24,122,136,122
DX,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,235,50.2,1.06,0.009,6.016,38.79,117,118,117
DX,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,235,46.8,0.95,-0.009,8.531,43.56,125,110,125
DX,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,235,45.5,0.87,-0.039,13.292,58.06,128,107,128
DX,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,235,48.1,0.83,-0.071,26.935,79.27,122,113,122
DX,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,235,49.4,1.06,0.03,27.656,124.57,119,116,119
DX,1.5,1.0,LONG,fiz_short_yur_long,3,15m,205,48.8,1.37,0.041,3.45,30.99,105,100,105
DX,1.5,1.0,LONG,fiz_short_yur_long,6,30m,205,52.2,1.35,0.049,5.027,38.85,98,107,98
DX,1.5,1.0,LONG,fiz_short_yur_long,12,60m,205,51.2,1.12,0.029,9.987,54.47,100,105,100
DX,1.5,1.0,LONG,fiz_short_yur_long,24,120m,205,51.7,1.09,0.029,12.705,69.41,99,106,99
DX,1.5,1.0,LONG,fiz_short_yur_long,48,240m,205,54.1,1.3,0.139,25.693,123.24,94,111,94
DX,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,179,48.0,0.94,-0.011,6.299,28.08,93,86,93
DX,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,179,45.3,0.95,-0.009,7.608,33.5,98,81,98
DX,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,179,44.7,0.86,-0.039,12.439,42.07,99,80,99
DX,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,179,47.5,0.76,-0.094,23.951,54.83,94,85,94
DX,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,179,50.3,1.09,0.046,17.783,98.61,89,90,89
DX,1.5,1.25,LONG,fiz_short_yur_long,3,15m,163,49.1,1.53,0.053,2.232,24.86,83,80,83
DX,1.5,1.25,LONG,fiz_short_yur_long,6,30m,163,52.1,1.24,0.034,5.576,28.88,78,85,78
DX,1.5,1.25,LONG,fiz_short_yur_long,12,60m,163,49.7,1.05,0.013,9.422,41.89,82,81,82
DX,1.5,1.25,LONG,fiz_short_yur_long,24,120m,163,51.5,1.13,0.04,11.648,56.25,79,84,79
DX,1.5,1.25,LONG,fiz_short_yur_long,48,240m,163,54.6,1.51,0.205,17.661,99.37,74,89,74
DX,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,146,50.0,1.04,0.006,4.86,25.27,73,73,73
DX,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,146,47.3,1.04,0.007,5.544,28.47,77,69,77
DX,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,146,43.8,0.95,-0.013,8.059,35.9,82,64,82
DX,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,146,48.6,0.79,-0.085,18.97,47.26,75,71,75
DX,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,146,54.8,1.3,0.143,13.565,89.94,66,80,66
DX,1.5,1.5,LONG,fiz_short_yur_long,3,15m,121,49.6,1.65,0.06,1.744,18.52,61,60,61
DX,1.5,1.5,LONG,fiz_short_yur_long,6,30m,121,52.9,1.36,0.05,5.215,22.9,57,64,57
DX,1.5,1.5,LONG,fiz_short_yur_long,12,60m,121,50.4,1.02,0.005,7.746,31.73,60,61,60
DX,1.5,1.5,LONG,fiz_short_yur_long,24,120m,121,52.1,1.04,0.012,12.35,40.76,58,63,58
DX,1.5,1.5,LONG,fiz_short_yur_long,48,240m,121,56.2,1.57,0.238,15.852,79.13,53,68,53
DX,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,119,53.8,1.28,0.04,5.507,21.61,55,64,55
DX,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,119,49.6,1.26,0.042,4.21,23.99,60,59,60
DX,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,119,44.5,1.07,0.015,7.245,28.96,66,53,66
DX,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,119,47.9,0.87,-0.049,16.533,38.36,62,57,62
DX,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,119,54.6,1.42,0.184,11.163,73.5,54,65,54
DX,1.75,0.5,LONG,fiz_short_yur_long,3,15m,295,51.9,1.18,0.021,5.108,42.11,142,153,142
DX,1.75,0.5,LONG,fiz_short_yur_long,6,30m,295,50.2,1.2,0.031,7.467,55.03,147,148,147
DX,1.75,0.5,LONG,fiz_short_yur_long,12,60m,295,48.8,1.01,0.002,12.013,68.28,151,144,151
DX,1.75,0.5,LONG,fiz_short_yur_long,24,120m,295,54.9,1.18,0.051,18.658,99.26,133,162,133
DX,1.75,0.5,LONG,fiz_short_yur_long,48,240m,295,53.6,1.1,0.047,30.742,150.15,137,158,137
DX,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,261,50.6,1.16,0.025,5.518,46.35,129,132,129
DX,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,261,48.7,0.91,-0.017,10.34,46.78,134,127,134
DX,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,261,46.0,0.82,-0.051,17.045,61.64,141,120,141
DX,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,261,48.3,0.85,-0.06,23.25,89.67,135,126,135
DX,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,261,46.0,0.88,-0.062,36.363,124.46,141,120,141
DX,1.75,0.75,LONG,fiz_short_yur_long,3,15m,235,50.6,1.13,0.016,4.438,33.08,116,119,116
DX,1.75,0.75,LONG,fiz_short_yur_long,6,30m,235,51.5,1.16,0.024,7.305,39.97,114,121,114
DX,1.75,0.75,LONG,fiz_short_yur_long,12,60m,235,48.9,0.95,-0.012,14.591,52.05,120,115,120
DX,1.75,0.75,LONG,fiz_short_yur_long,24,120m,235,54.0,1.21,0.058,14.449,80.4,108,127,108
DX,1.75,0.75,LONG,fiz_short_yur_long,48,240m,235,53.6,1.17,0.082,28.263,129.35,109,126,109
DX,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,214,50.5,1.03,0.006,6.109,35.89,106,108,106
DX,1.75,0.75,SHORT,fiz_long_yur_short,6,30m,214,46.7,0.86,-0.028,10.544,37.28,114,100,114
DX,1.75,0.75,SHORT,fiz_long_yur_short,12,60m,214,44.4,0.85,-0.044,11.732,52.83,119,95,119
DX,1.75,0.75,SHORT,fiz_long_yur_short,24,120m,214,47.2,0.81,-0.08,24.545,71.64,113,101,113
DX,1.75,0.75,SHORT,fiz_long_yur_short,48,240m,214,47.7,0.99,-0.004,31.4,110.45,112,102,112
DX,1.75,1.0,LONG,fiz_short_yur_long,3,15m,186,49.5,1.27,0.031,3.347,27.14,94,92,94
DX,1.75,1.0,LONG,fiz_short_yur_long,6,30m,186,50.5,1.12,0.018,6.391,31.6,92,94,92
DX,1.75,1.0,LONG,fiz_short_yur_long,12,60m,186,48.4,0.93,-0.018,13.198,42.57,96,90,96
DX,1.75,1.0,LONG,fiz_short_yur_long,24,120m,186,51.1,1.08,0.024,12.348,60.81,91,95,91
DX,1.75,1.0,LONG,fiz_short_yur_long,48,240m,186,54.8,1.25,0.116,24.607,108.67,84,102,84
DX,1.75,1.0,SHORT,fiz_long_yur_short,3,15m,164,47.6,0.88,-0.021,6.653,25.64,86,78,86
DX,1.75,1.0,SHORT,fiz_long_yur_short,6,30m,164,43.9,0.81,-0.04,9.649,27.91,92,72,92
DX,1.75,1.0,SHORT,fiz_long_yur_short,12,60m,164,42.1,0.79,-0.062,12.803,37.66,95,69,95
DX,1.75,1.0,SHORT,fiz_long_yur_short,24,120m,164,45.7,0.7,-0.126,24.918,48.29,89,75,89
DX,1.75,1.0,SHORT,fiz_long_yur_short,48,240m,164,48.2,0.98,-0.013,24.163,85.94,85,79,85
DX,1.75,1.25,LONG,fiz_short_yur_long,3,15m,147,50.3,1.43,0.045,2.232,22.02,73,74,73
DX,1.75,1.25,LONG,fiz_short_yur_long,6,30m,147,50.3,1.03,0.004,5.576,23.62,73,74,73
DX,1.75,1.25,LONG,fiz_short_yur_long,12,60m,147,46.9,0.89,-0.028,9.791,32.91,78,69,78
DX,1.75,1.25,LONG,fiz_short_yur_long,24,120m,147,51.0,1.18,0.053,8.3,50.3,72,75,72
DX,1.75,1.25,LONG,fiz_short_yur_long,48,240m,147,55.1,1.43,0.176,15.073,86.0,66,81,66
DX,1.75,1.25,SHORT,fiz_long_yur_short,3,15m,136,47.8,0.95,-0.009,5.214,22.83,71,65,71
DX,1.75,1.25,SHORT,fiz_long_yur_short,6,30m,136,45.6,0.9,-0.019,5.927,24.57,74,62,74
DX,1.75,1.25,SHORT,fiz_long_yur_short,12,60m,136,41.2,0.86,-0.038,8.423,32.2,80,56,80
DX,1.75,1.25,SHORT,fiz_long_yur_short,24,120m,136,47.1,0.74,-0.11,18.739,42.02,72,64,72
DX,1.75,1.25,SHORT,fiz_long_yur_short,48,240m,136,52.9,1.2,0.099,14.328,80.6,64,72,64
DX,1.75,1.5,LONG,fiz_short_yur_long,3,15m,108,52.8,1.53,0.051,1.76,15.95,51,57,51
DX,1.75,1.5,LONG,fiz_short_yur_long,6,30m,108,51.9,1.08,0.013,5.46,17.89,52,56,52
DX,1.75,1.5,LONG,fiz_short_yur_long,12,60m,108,48.1,0.83,-0.045,8.281,23.49,56,52,56
DX,1.75,1.5,LONG,fiz_short_yur_long,24,120m,108,52.8,1.14,0.041,8.034,36.52,51,57,51
DX,1.75,1.5,LONG,fiz_short_yur_long,48,240m,108,57.4,1.54,0.223,12.03,68.78,46,62,46
DX,1.75,1.5,SHORT,fiz_long_yur_short,3,15m,110,51.8,1.17,0.026,5.507,19.39,53,57,53
DX,1.75,1.5,SHORT,fiz_long_yur_short,6,30m,110,48.2,1.09,0.015,5.199,20.28,57,53,57
DX,1.75,1.5,SHORT,fiz_long_yur_short,12,60m,110,41.8,0.97,-0.007,7.31,25.87,64,46,64
DX,1.75,1.5,SHORT,fiz_long_yur_short,24,120m,110,46.4,0.81,-0.072,15.785,33.63,59,51,59
DX,1.75,1.5,SHORT,fiz_long_yur_short,48,240m,110,52.7,1.32,0.146,11.799,65.85,52,58,52
DX,2.0,0.5,LONG,fiz_short_yur_long,3,15m,255,52.5,1.18,0.021,4.987,35.57,121,134,121
DX,2.0,0.5,LONG,fiz_short_yur_long,6,30m,255,49.4,1.29,0.044,5.822,50.16,129,126,129
DX,2.0,0.5,LONG,fiz_short_yur_long,12,60m,255,48.6,1.03,0.008,11.298,59.79,131,124,131
DX,2.0,0.5,LONG,fiz_short_yur_long,24,120m,255,54.1,1.24,0.067,16.676,87.59,117,138,117
DX,2.0,0.5,LONG,fiz_short_yur_long,48,240m,255,52.2,1.04,0.018,29.289,126.28,122,133,122
DX,2.0,0.5,SHORT,fiz_long_yur_short,3,15m,228,50.0,1.14,0.022,6.441,40.91,114,114,114
DX,2.0,0.5,SHORT,fiz_long_yur_short,6,30m,228,49.6,0.93,-0.013,9.702,41.29,115,113,115
DX,2.0,0.5,SHORT,fiz_long_yur_short,12,60m,228,46.9,0.85,-0.043,16.609,54.75,121,107,121
DX,2.0,0.5,SHORT,fiz_long_yur_short,24,120m,228,50.0,0.91,-0.036,16.82,79.48,114,114,114
DX,2.0,0.5,SHORT,fiz_long_yur_short,48,240m,228,46.9,0.95,-0.024,29.147,109.96,121,107,121
DX,2.0,0.75,LONG,fiz_short_yur_long,3,15m,202,51.5,1.21,0.026,4.086,29.67,98,104,98
DX,2.0,0.75,LONG,fiz_short_yur_long,6,30m,202,51.5,1.29,0.041,7.065,36.44,98,104,98
DX,2.0,0.75,LONG,fiz_short_yur_long,12,60m,202,49.5,0.98,-0.005,13.794,45.28,102,100,102
DX,2.0,0.75,LONG,fiz_short_yur_long,24,120m,202,53.5,1.28,0.077,12.89,70.57,94,108,94
DX,2.0,0.75,LONG,fiz_short_yur_long,48,240m,202,52.5,1.12,0.055,27.21,108.24,96,106,96
DX,2.0,0.75,SHORT,fiz_long_yur_short,3,15m,183,49.7,1.0,-0.0,6.778,30.67,92,91,92
DX,2.0,0.75,SHORT,fiz_long_yur_short,6,30m,183,47.5,0.88,-0.025,9.635,32.1,96,87,96
DX,2.0,0.75,SHORT,fiz_long_yur_short,12,60m,183,45.4,0.88,-0.035,11.162,46.03,100,83,100
DX,2.0,0.75,SHORT,fiz_long_yur_short,24,120m,183,49.2,0.86,-0.055,18.483,62.03,93,90,93
DX,2.0,0.75,SHORT,fiz_long_yur_short,48,240m,183,48.6,1.11,0.052,23.796,95.95,94,89,94
DX,2.0,1.0,LONG,fiz_short_yur_long,3,15m,165,50.9,1.35,0.041,3.064,26.09,81,84,81
DX,2.0,1.0,LONG,fiz_short_yur_long,6,30m,165,50.9,1.24,0.034,6.152,29.81,81,84,81
DX,2.0,1.0,LONG,fiz_short_yur_long,12,60m,165,49.1,0.99,-0.003,12.49,39.01,84,81,84
DX,2.0,1.0,LONG,fiz_short_yur_long,24,120m,165,50.9,1.14,0.042,10.514,55.61,81,84,81
DX,2.0,1.0,LONG,fiz_short_yur_long,48,240m,165,53.9,1.17,0.082,22.101,92.41,76,89,76
DX,2.0,1.0,SHORT,fiz_long_yur_short,3,15m,140,47.1,0.86,-0.026,7.595,21.94,74,66,74
DX,2.0,1.0,SHORT,fiz_long_yur_short,6,30m,140,47.1,0.91,-0.017,7.27,25.4,74,66,74
DX,2.0,1.0,SHORT,fiz_long_yur_short,12,60m,140,44.3,0.86,-0.039,10.704,33.3,78,62,78
DX,2.0,1.0,SHORT,fiz_long_yur_short,24,120m,140,48.6,0.78,-0.088,17.631,42.5,72,68,72
DX,2.0,1.0,SHORT,fiz_long_yur_short,48,240m,140,49.3,1.1,0.048,18.031,75.05,71,69,71
DX,2.0,1.25,LONG,fiz_short_yur_long,3,15m,130,53.1,1.6,0.062,2.22,21.48,61,69,61
DX,2.0,1.25,LONG,fiz_short_yur_long,6,30m,130,51.5,1.16,0.024,5.336,22.2,63,67,63
DX,2.0,1.25,LONG,fiz_short_yur_long,12,60m,130,48.5,0.95,-0.013,9.215,29.99,67,63,67
DX,2.0,1.25,LONG,fiz_short_yur_long,24,120m,130,52.3,1.35,0.093,8.215,47.08,62,68,62
DX,2.0,1.25,LONG,fiz_short_yur_long,48,240m,130,55.4,1.45,0.179,9.795,75.15,58,72,58
DX,2.0,1.25,SHORT,fiz_long_yur_short,3,15m,114,47.4,0.93,-0.012,6.156,19.25,60,54,60
DX,2.0,1.25,SHORT,fiz_long_yur_short,6,30m,114,49.1,1.05,0.009,4.775,22.07,58,56,58
DX,2.0,1.25,SHORT,fiz_long_yur_short,12,60m,114,43.0,0.96,-0.011,6.937,27.84,65,49,65
DX,2.0,1.25,SHORT,fiz_long_yur_short,24,120m,114,50.0,0.82,-0.07,12.714,36.23,57,57,57
DX,2.0,1.25,SHORT,fiz_long_yur_short,48,240m,114,54.4,1.37,0.165,9.684,69.72,52,62,52
