symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
GK,1.5,0.5,LONG,fiz_short_yur_long,3,15m,4434,45.2,0.94,-0.008,42.585,559.04,2431,2003,2431
GK,1.5,0.5,LONG,fiz_short_yur_long,6,30m,4434,46.1,1.01,0.001,39.283,769.69,2389,2045,2389
GK,1.5,0.5,LONG,fiz_short_yur_long,12,60m,4434,46.9,0.98,-0.004,59.357,973.11,2354,2080,2354
GK,1.5,0.5,LONG,fiz_short_yur_long,24,120m,4434,47.0,0.84,-0.054,291.868,1299.72,2348,2086,2348
GK,1.5,0.5,LONG,fiz_short_yur_long,48,240m,4434,46.2,0.79,-0.111,594.51,1807.51,2387,2047,2387
GK,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,4750,44.0,0.97,-0.003,35.874,571.76,2662,2088,2662
GK,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,4750,45.6,1.01,0.001,53.907,772.68,2582,2168,2582
GK,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,4750,46.6,0.97,-0.006,103.982,1011.9,2535,2215,2535
GK,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,4750,46.6,0.96,-0.012,173.216,1411.47,2538,2212,2538
GK,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,4750,48.3,1.02,0.006,203.916,2000.23,2454,2296,2454
GK,1.5,0.75,LONG,fiz_short_yur_long,3,15m,3928,44.6,0.95,-0.007,36.215,495.68,2175,1753,2175
GK,1.5,0.75,LONG,fiz_short_yur_long,6,30m,3928,45.7,1.01,0.001,29.1,684.42,2132,1796,2132
GK,1.5,0.75,LONG,fiz_short_yur_long,12,60m,3928,46.4,0.96,-0.01,58.873,843.29,2107,1821,2107
GK,1.5,0.75,LONG,fiz_short_yur_long,24,120m,3928,46.7,0.81,-0.067,302.893,1131.29,2095,1833,2095
GK,1.5,0.75,LONG,fiz_short_yur_long,48,240m,3928,45.7,0.76,-0.131,620.707,1584.21,2131,1797,2131
GK,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,4272,44.0,0.97,-0.004,33.779,518.71,2393,1879,2393
GK,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,4272,45.8,1.01,0.002,39.28,703.37,2315,1957,2315
GK,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,4272,46.9,0.98,-0.005,75.654,916.28,2267,2005,2267
GK,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,4272,46.6,0.96,-0.013,161.159,1275.76,2283,1989,2283
GK,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,4272,48.5,1.02,0.008,165.78,1811.67,2202,2070,2202
GK,1.5,1.0,LONG,fiz_short_yur_long,3,15m,3327,44.7,0.95,-0.006,42.422,419.46,1840,1487,1840
GK,1.5,1.0,LONG,fiz_short_yur_long,6,30m,3327,45.2,0.94,-0.011,44.065,550.76,1822,1505,1822
GK,1.5,1.0,LONG,fiz_short_yur_long,12,60m,3327,46.0,0.92,-0.017,68.533,696.79,1797,1530,1797
GK,1.5,1.0,LONG,fiz_short_yur_long,24,120m,3327,45.9,0.78,-0.081,293.473,950.69,1800,1527,1800
GK,1.5,1.0,LONG,fiz_short_yur_long,48,240m,3327,45.0,0.71,-0.161,600.244,1338.25,1829,1498,1829
GK,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,3630,43.4,0.95,-0.007,37.789,441.89,2056,1574,2056
GK,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,3630,45.7,1.01,0.001,33.094,596.2,1971,1659,1971
GK,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,3630,46.8,0.97,-0.008,61.47,775.4,1930,1700,1930
GK,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,3630,46.1,0.92,-0.025,155.671,1065.23,1958,1672,1958
