symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
GL,1.5,0.5,LONG,fiz_short_yur_long,3,15m,3904,51.4,1.08,0.008,26.896,418.36,1897,2007,1897
GL,1.5,0.5,LONG,fiz_short_yur_long,6,30m,3904,51.9,1.01,0.001,57.659,469.15,1876,2028,1876
GL,1.5,0.5,LONG,fiz_short_yur_long,12,60m,3904,52.5,1.2,0.031,31.74,710.35,1855,2049,1855
GL,1.5,0.5,LONG,fiz_short_yur_long,24,120m,3904,50.9,1.12,0.027,63.959,968.49,1916,1988,1916
GL,1.5,0.5,LONG,fiz_short_yur_long,48,240m,3904,52.1,1.17,0.048,72.738,1316.4,1871,2033,1871
GL,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,4205,51.2,1.03,0.004,24.856,459.75,2054,2151,2054
GL,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,4205,50.9,1.06,0.008,39.867,598.05,2065,2140,2065
GL,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,4205,51.5,1.03,0.005,43.287,739.08,2039,2166,2039
GL,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,4205,51.7,1.13,0.029,48.186,1058.78,2030,2175,2030
GL,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,4205,52.5,1.11,0.034,69.422,1414.51,1996,2209,1996
GL,1.5,0.75,LONG,fiz_short_yur_long,3,15m,3374,51.0,1.06,0.006,23.167,364.67,1654,1720,1654
GL,1.5,0.75,LONG,fiz_short_yur_long,6,30m,3374,51.7,1.04,0.004,53.295,414.78,1631,1743,1631
GL,1.5,0.75,LONG,fiz_short_yur_long,12,60m,3374,52.2,1.2,0.03,28.85,609.44,1614,1760,1614
GL,1.5,0.75,LONG,fiz_short_yur_long,24,120m,3374,50.9,1.15,0.033,47.936,838.65,1658,1716,1658
GL,1.5,0.75,LONG,fiz_short_yur_long,48,240m,3374,51.8,1.18,0.052,61.544,1133.76,1626,1748,1626
GL,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,3704,51.3,1.01,0.002,34.931,404.6,1805,1899,1805
GL,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,3704,50.4,1.04,0.005,35.673,524.29,1838,1866,1838
GL,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,3704,51.5,0.99,-0.002,43.914,642.6,1797,1907,1797
GL,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,3704,51.7,1.13,0.029,50.875,943.59,1788,1916,1788
GL,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,3704,52.3,1.08,0.025,71.201,1220.37,1767,1937,1767
GL,1.5,1.0,LONG,fiz_short_yur_long,3,15m,2850,50.9,1.01,0.001,28.764,294.62,1398,1452,1398
GL,1.5,1.0,LONG,fiz_short_yur_long,6,30m,2850,51.4,1.02,0.002,60.659,340.7,1386,1464,1386
GL,1.5,1.0,LONG,fiz_short_yur_long,12,60m,2850,52.4,1.17,0.025,29.226,488.23,1356,1494,1356
GL,1.5,1.0,LONG,fiz_short_yur_long,24,120m,2850,50.9,1.16,0.033,50.017,696.16,1400,1450,1400
GL,1.5,1.0,LONG,fiz_short_yur_long,48,240m,2850,51.1,1.16,0.046,50.351,942.64,1395,1455,1395
GL,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,3119,51.6,1.06,0.007,29.908,355.4,1511,1608,1511
GL,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,3119,50.4,1.02,0.003,36.125,431.51,1548,1571,1548
