symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
HS,1.5,0.5,LONG,fiz_short_yur_long,3,15m,506,49.8,0.78,-0.023,15.485,43.09,254,252,254
HS,1.5,0.5,LONG,fiz_short_yur_long,6,30m,506,55.1,1.16,0.019,8.217,72.4,227,279,227
HS,1.5,0.5,LONG,fiz_short_yur_long,12,60m,506,54.3,1.13,0.025,14.031,105.77,231,275,231
HS,1.5,0.5,LONG,fiz_short_yur_long,24,120m,506,52.6,1.07,0.019,31.733,150.0,240,266,240
HS,1.5,0.5,LONG,fiz_short_yur_long,48,240m,506,53.8,1.25,0.091,33.035,229.68,234,272,234
HS,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,543,51.0,1.28,0.024,4.938,60.21,266,277,266
HS,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,543,48.8,1.07,0.009,9.627,75.72,278,265,278
HS,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,543,49.2,1.05,0.009,16.796,107.6,276,267,276
HS,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,543,46.0,0.86,-0.043,33.525,145.75,293,250,293
HS,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,543,45.9,0.9,-0.042,43.705,197.91,294,249,294
HS,1.5,0.75,LONG,fiz_short_yur_long,3,15m,426,50.2,0.9,-0.01,9.735,37.21,212,214,212
HS,1.5,0.75,LONG,fiz_short_yur_long,6,30m,426,56.1,1.33,0.038,4.983,63.98,187,239,187
HS,1.5,0.75,LONG,fiz_short_yur_long,12,60m,426,55.9,1.3,0.049,10.139,89.63,188,238,188
HS,1.5,0.75,LONG,fiz_short_yur_long,24,120m,426,53.5,1.17,0.044,21.982,128.84,198,228,198
HS,1.5,0.75,LONG,fiz_short_yur_long,48,240m,426,55.6,1.3,0.106,21.661,194.43,189,237,189
HS,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,454,52.0,1.25,0.022,4.057,48.91,218,236,218
HS,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,454,48.2,1.0,-0.0,7.378,58.47,235,219,235
HS,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,454,50.2,1.04,0.007,15.183,86.06,226,228,226
HS,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,454,47.4,0.86,-0.043,30.157,119.52,239,215,239
HS,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,454,47.1,0.9,-0.039,34.84,161.81,240,214,240
HS,1.5,1.0,LONG,fiz_short_yur_long,3,15m,341,49.3,0.96,-0.003,7.257,30.0,173,168,173
HS,1.5,1.0,LONG,fiz_short_yur_long,6,30m,341,57.5,1.38,0.04,6.127,49.44,145,196,145
HS,1.5,1.0,LONG,fiz_short_yur_long,12,60m,341,57.5,1.55,0.075,5.713,72.48,145,196,145
HS,1.5,1.0,LONG,fiz_short_yur_long,24,120m,341,55.1,1.34,0.077,10.399,102.72,153,188,153
HS,1.5,1.0,LONG,fiz_short_yur_long,48,240m,341,56.6,1.51,0.159,12.273,160.5,148,193,148
HS,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,370,54.1,1.32,0.027,3.797,41.66,170,200,170
HS,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,370,49.5,1.06,0.008,5.705,48.12,187,183,187
HS,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,370,52.2,1.19,0.032,11.659,74.47,177,193,177
HS,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,370,50.8,1.04,0.012,22.357,105.43,182,188,182
HS,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,370,48.1,0.96,-0.016,29.552,133.56,192,178,192
HS,1.5,1.25,LONG,fiz_short_yur_long,3,15m,263,47.9,0.73,-0.027,10.48,19.05,137,126,137
HS,1.5,1.25,LONG,fiz_short_yur_long,6,30m,263,57.0,1.18,0.02,6.503,34.79,113,150,113
HS,1.5,1.25,LONG,fiz_short_yur_long,12,60m,263,58.9,1.65,0.085,4.982,56.75,108,155,108
