symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
HY,1.5,0.5,LONG,fiz_short_yur_long,3,15m,2035,48.6,1.09,0.016,41.248,406.8,1047,988,1047
HY,1.5,0.5,LONG,fiz_short_yur_long,6,30m,2035,48.7,0.98,-0.004,61.92,523.24,1044,991,1044
HY,1.5,0.5,LONG,fiz_short_yur_long,12,60m,2035,48.1,1.07,0.023,48.413,728.36,1056,979,1056
HY,1.5,0.5,LONG,fiz_short_yur_long,24,120m,2035,49.8,1.12,0.051,79.405,976.59,1021,1014,1021
HY,1.5,0.5,LONG,fiz_short_yur_long,48,240m,2035,48.1,1.03,0.019,156.44,1278.99,1057,978,1057
HY,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,2136,47.6,1.04,0.008,53.345,418.03,1120,1016,1120
HY,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,2136,48.8,1.0,-0.0,51.329,515.12,1093,1043,1093
HY,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,2136,46.2,0.96,-0.013,108.922,679.24,1150,986,1150
HY,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,2136,45.1,0.94,-0.026,160.021,940.35,1172,964,1172
HY,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,2136,44.9,0.85,-0.104,340.479,1282.2,1177,959,1177
HY,1.5,0.75,LONG,fiz_short_yur_long,3,15m,1738,48.3,1.06,0.012,42.752,344.8,898,840,898
HY,1.5,0.75,LONG,fiz_short_yur_long,6,30m,1738,48.2,0.97,-0.009,56.637,443.66,901,837,901
HY,1.5,0.75,LONG,fiz_short_yur_long,12,60m,1738,47.7,1.06,0.021,43.666,622.87,909,829,909
HY,1.5,0.75,LONG,fiz_short_yur_long,24,120m,1738,49.6,1.12,0.051,67.333,822.07,876,862,876
HY,1.5,0.75,LONG,fiz_short_yur_long,48,240m,1738,48.0,1.05,0.028,140.184,1097.31,904,834,904
HY,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,1865,48.2,1.09,0.016,43.89,373.61,966,899,966
HY,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,1865,49.2,1.0,-0.001,49.981,445.59,947,918,947
HY,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,1865,45.7,0.93,-0.023,109.642,585.83,1012,853,1012
HY,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,1865,45.0,0.93,-0.031,148.179,824.9,1025,840,1025
HY,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,1865,44.7,0.86,-0.101,302.533,1126.72,1031,834,1031
HY,1.5,1.0,LONG,fiz_short_yur_long,3,15m,1427,47.5,1.0,-0.0,41.815,273.79,749,678,749
HY,1.5,1.0,LONG,fiz_short_yur_long,6,30m,1427,47.6,0.97,-0.009,53.709,362.76,748,679,748
HY,1.5,1.0,LONG,fiz_short_yur_long,12,60m,1427,47.6,1.07,0.023,38.615,520.58,748,679,748
HY,1.5,1.0,LONG,fiz_short_yur_long,24,120m,1427,50.1,1.19,0.078,55.431,699.85,712,715,712
HY,1.5,1.0,LONG,fiz_short_yur_long,48,240m,1427,48.3,1.06,0.034,117.751,892.77,738,689,738
HY,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,1485,47.9,1.04,0.007,41.404,290.96,774,711,774
HY,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,1485,48.8,0.92,-0.02,54.621,331.16,760,725,760
HY,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,1485,44.2,0.85,-0.053,111.518,436.08,829,656,829
HY,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,1485,45.0,0.91,-0.046,126.53,651.09,817,668,817
HY,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,1485,43.8,0.82,-0.13,243.266,863.81,834,651,834
HY,1.5,1.25,LONG,fiz_short_yur_long,3,15m,1114,46.9,1.02,0.004,41.47,220.78,592,522,592
HY,1.5,1.25,LONG,fiz_short_yur_long,6,30m,1114,46.9,0.89,-0.03,62.512,269.15,592,522,592
HY,1.5,1.25,LONG,fiz_short_yur_long,12,60m,1114,48.3,1.02,0.007,38.305,387.68,576,538,576
HY,1.5,1.25,LONG,fiz_short_yur_long,24,120m,1114,50.3,1.21,0.085,43.159,543.69,554,560,554
HY,1.5,1.25,LONG,fiz_short_yur_long,48,240m,1114,48.5,1.01,0.008,114.951,646.5,574,540,574
HY,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,1156,48.2,1.03,0.005,42.504,239.13,599,557,599
HY,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,1156,49.6,0.96,-0.009,37.333,274.34,583,573,583
HY,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,1156,46.0,0.91,-0.031,81.073,363.52,624,532,624
HY,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,1156,46.1,0.92,-0.041,104.499,519.92,623,533,623
HY,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,1156,44.4,0.83,-0.118,201.969,684.46,643,513,643
HY,1.5,1.5,LONG,fiz_short_yur_long,3,15m,862,47.1,0.98,-0.003,34.45,161.75,456,406,456
HY,1.5,1.5,LONG,fiz_short_yur_long,6,30m,862,48.1,0.98,-0.005,37.431,214.69,447,415,447
HY,1.5,1.5,LONG,fiz_short_yur_long,12,60m,862,48.1,1.08,0.026,29.251,312.81,447,415,447
HY,1.5,1.5,LONG,fiz_short_yur_long,24,120m,862,50.6,1.16,0.068,34.804,415.66,426,436,426
HY,1.5,1.5,LONG,fiz_short_yur_long,48,240m,862,49.0,1.02,0.012,98.636,495.62,440,422,440
HY,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,892,48.5,1.17,0.031,18.937,189.56,459,433,459
HY,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,892,49.9,1.05,0.011,29.731,218.5,447,445,447
HY,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,892,45.4,0.97,-0.01,50.327,291.57,487,405,487
HY,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,892,44.8,0.91,-0.046,74.311,397.44,492,400,492
HY,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,892,43.9,0.82,-0.124,152.003,520.09,500,392,500
HY,1.75,0.5,LONG,fiz_short_yur_long,3,15m,1803,48.6,1.11,0.02,35.148,379.76,926,877,926
HY,1.75,0.5,LONG,fiz_short_yur_long,6,30m,1803,48.4,0.98,-0.006,53.763,477.6,931,872,931
HY,1.75,0.5,LONG,fiz_short_yur_long,12,60m,1803,47.9,1.05,0.019,39.654,650.33,940,863,940
HY,1.75,0.5,LONG,fiz_short_yur_long,24,120m,1803,49.0,1.09,0.04,63.81,861.63,919,884,919
HY,1.75,0.5,LONG,fiz_short_yur_long,48,240m,1803,47.8,1.01,0.007,159.541,1134.92,942,861,942
HY,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,1854,48.0,1.09,0.016,53.041,373.61,964,890,964
HY,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,1854,49.1,1.02,0.006,45.827,457.75,943,911,943
HY,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,1854,45.7,0.97,-0.011,97.023,595.49,1006,848,1006
HY,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,1854,44.8,0.97,-0.016,153.028,836.33,1023,831,1023
HY,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,1854,44.5,0.85,-0.107,337.255,1105.38,1029,825,1029
HY,1.75,0.75,LONG,fiz_short_yur_long,3,15m,1549,48.3,1.08,0.015,35.895,322.67,801,748,801
HY,1.75,0.75,LONG,fiz_short_yur_long,6,30m,1549,48.0,0.96,-0.012,50.917,406.25,805,744,805
HY,1.75,0.75,LONG,fiz_short_yur_long,12,60m,1549,47.4,1.04,0.013,38.764,552.7,814,735,814
HY,1.75,0.75,LONG,fiz_short_yur_long,24,120m,1549,48.9,1.09,0.04,49.857,727.06,792,757,792
HY,1.75,0.75,LONG,fiz_short_yur_long,48,240m,1549,47.8,1.03,0.015,145.211,976.91,808,741,808
HY,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,1623,48.5,1.13,0.024,42.961,334.16,836,787,836
HY,1.75,0.75,SHORT,fiz_long_yur_short,6,30m,1623,49.8,1.03,0.008,41.625,400.66,815,808,815
HY,1.75,0.75,SHORT,fiz_long_yur_short,12,60m,1623,45.3,0.95,-0.016,95.244,519.73,887,736,887
HY,1.75,0.75,SHORT,fiz_long_yur_short,24,120m,1623,44.9,0.97,-0.014,135.509,741.79,894,729,894
HY,1.75,0.75,SHORT,fiz_long_yur_short,48,240m,1623,44.5,0.86,-0.096,286.407,980.74,900,723,900
HY,1.75,1.0,LONG,fiz_short_yur_long,3,15m,1265,47.5,1.01,0.001,34.307,254.0,664,601,664
HY,1.75,1.0,LONG,fiz_short_yur_long,6,30m,1265,47.6,0.96,-0.012,49.126,329.49,663,602,663
HY,1.75,1.0,LONG,fiz_short_yur_long,12,60m,1265,47.4,1.05,0.017,35.841,459.22,666,599,666
HY,1.75,1.0,LONG,fiz_short_yur_long,24,120m,1265,49.3,1.16,0.066,42.259,613.31,641,624,641
HY,1.75,1.0,LONG,fiz_short_yur_long,48,240m,1265,48.1,1.03,0.016,120.079,782.51,657,608,657
HY,1.75,1.0,SHORT,fiz_long_yur_short,3,15m,1292,48.1,1.11,0.02,37.248,262.19,671,621,671
HY,1.75,1.0,SHORT,fiz_long_yur_short,6,30m,1292,49.6,0.96,-0.01,46.637,300.13,651,641,651
HY,1.75,1.0,SHORT,fiz_long_yur_short,12,60m,1292,43.9,0.87,-0.045,98.681,390.55,725,567,725
HY,1.75,1.0,SHORT,fiz_long_yur_short,24,120m,1292,44.7,0.93,-0.034,120.711,584.76,715,577,715
HY,1.75,1.0,SHORT,fiz_long_yur_short,48,240m,1292,43.4,0.81,-0.136,242.726,747.6,731,561,731
HY,1.75,1.25,LONG,fiz_short_yur_long,3,15m,994,46.4,1.02,0.005,33.611,203.51,533,461,533
HY,1.75,1.25,LONG,fiz_short_yur_long,6,30m,994,46.8,0.89,-0.031,54.61,246.83,529,465,529
