symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
IB,1.5,0.5,LONG,fiz_short_yur_long,3,15m,1143,48.1,1.09,0.013,16.771,193.02,593,550,593
IB,1.5,0.5,LONG,fiz_short_yur_long,6,30m,1143,48.7,1.15,0.029,21.655,244.97,586,557,586
IB,1.5,0.5,LONG,fiz_short_yur_long,12,60m,1143,46.0,0.95,-0.014,48.4,295.14,617,526,617
IB,1.5,0.5,LONG,fiz_short_yur_long,24,120m,1143,46.4,0.92,-0.032,109.183,435.31,613,530,613
IB,1.5,0.5,LONG,fiz_short_yur_long,48,240m,1143,46.5,0.84,-0.101,170.074,622.87,611,532,611
IB,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,1408,45.7,0.9,-0.016,50.035,204.82,764,644,764
IB,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,1408,46.4,0.87,-0.029,70.237,286.49,755,653,755
IB,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,1408,47.9,0.91,-0.028,77.891,386.82,734,674,734
IB,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,1408,47.9,0.91,-0.039,117.541,536.49,734,674,734
IB,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,1408,47.9,0.88,-0.073,143.737,728.1,733,675,733
IB,1.5,0.75,LONG,fiz_short_yur_long,3,15m,996,47.9,1.15,0.022,16.613,172.04,519,477,519
IB,1.5,0.75,LONG,fiz_short_yur_long,6,30m,996,48.3,1.16,0.029,16.695,217.4,515,481,515
IB,1.5,0.75,LONG,fiz_short_yur_long,12,60m,996,46.4,0.97,-0.008,44.125,263.06,534,462,534
IB,1.5,0.75,LONG,fiz_short_yur_long,24,120m,996,47.0,0.91,-0.037,96.542,382.41,528,468,528
IB,1.5,0.75,LONG,fiz_short_yur_long,48,240m,996,47.1,0.85,-0.098,142.841,551.42,527,469,527
IB,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,1250,44.8,0.89,-0.018,43.156,181.29,690,560,690
IB,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,1250,45.8,0.83,-0.039,66.965,239.15,678,572,678
IB,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,1250,47.2,0.86,-0.044,72.161,332.84,660,590,660
IB,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,1250,47.4,0.9,-0.041,106.736,467.03,657,593,657
IB,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,1250,47.8,0.87,-0.08,138.211,646.2,653,597,653
IB,1.5,1.0,LONG,fiz_short_yur_long,3,15m,826,47.8,1.2,0.03,14.111,150.51,431,395,431
IB,1.5,1.0,LONG,fiz_short_yur_long,6,30m,826,49.8,1.22,0.04,11.817,186.52,415,411,415
IB,1.5,1.0,LONG,fiz_short_yur_long,12,60m,826,47.7,1.04,0.012,26.949,232.5,432,394,432
IB,1.5,1.0,LONG,fiz_short_yur_long,24,120m,826,47.6,0.92,-0.032,72.09,316.06,433,393,433
IB,1.5,1.0,LONG,fiz_short_yur_long,48,240m,826,48.2,0.9,-0.061,99.825,470.99,428,398,428
IB,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,1058,44.9,0.9,-0.016,38.751,154.47,583,475,583
IB,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,1058,46.1,0.82,-0.041,63.721,203.06,570,488,570
IB,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,1058,48.2,0.85,-0.048,67.417,282.4,548,510,548
IB,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,1058,47.4,0.9,-0.043,96.541,403.2,557,501,557
IB,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,1058,46.9,0.84,-0.1,136.918,535.75,562,496,562
IB,1.5,1.25,LONG,fiz_short_yur_long,3,15m,650,47.7,1.14,0.021,18.788,112.18,340,310,340
IB,1.5,1.25,LONG,fiz_short_yur_long,6,30m,650,50.8,1.27,0.047,12.089,143.48,320,330,320
IB,1.5,1.25,LONG,fiz_short_yur_long,12,60m,650,48.3,1.02,0.006,25.966,179.18,336,314,336
IB,1.5,1.25,LONG,fiz_short_yur_long,24,120m,650,48.3,0.93,-0.027,40.391,237.3,336,314,336
IB,1.5,1.25,LONG,fiz_short_yur_long,48,240m,650,47.8,0.94,-0.035,69.332,377.22,339,311,339
IB,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,905,44.1,0.87,-0.022,35.064,126.25,506,399,506
IB,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,905,45.5,0.81,-0.044,56.182,165.55,493,412,493
IB,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,905,47.7,0.82,-0.056,64.726,236.57,473,432,473
IB,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,905,47.1,0.85,-0.064,94.925,333.0,479,426,479
IB,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,905,47.1,0.8,-0.119,138.962,432.55,479,426,479
IB,1.5,1.5,LONG,fiz_short_yur_long,3,15m,471,47.6,1.09,0.015,18.462,85.98,247,224,247
IB,1.5,1.5,LONG,fiz_short_yur_long,6,30m,471,50.3,1.18,0.033,19.258,99.0,234,237,234
IB,1.5,1.5,LONG,fiz_short_yur_long,12,60m,471,49.0,1.0,-0.0,31.894,128.85,240,231,240
IB,1.5,1.5,LONG,fiz_short_yur_long,24,120m,471,47.3,0.85,-0.058,35.55,159.59,248,223,248
IB,1.5,1.5,LONG,fiz_short_yur_long,48,240m,471,47.3,0.86,-0.086,50.625,253.01,248,223,248
IB,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,705,43.1,0.87,-0.022,30.489,102.28,401,304,401
IB,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,705,45.1,0.74,-0.062,59.434,127.12,387,318,387
IB,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,705,47.2,0.76,-0.08,61.833,177.77,372,333,372
IB,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,705,45.1,0.77,-0.106,90.622,245.3,387,318,387
IB,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,705,45.4,0.72,-0.178,149.879,318.86,385,320,385
IB,1.75,0.5,LONG,fiz_short_yur_long,3,15m,994,48.0,1.11,0.016,16.793,167.43,517,477,517
IB,1.75,0.5,LONG,fiz_short_yur_long,6,30m,994,48.5,1.19,0.034,21.927,212.93,512,482,512
IB,1.75,0.5,LONG,fiz_short_yur_long,12,60m,994,45.9,0.97,-0.008,42.113,250.79,538,456,538
IB,1.75,0.5,LONG,fiz_short_yur_long,24,120m,994,46.1,0.88,-0.051,117.251,366.65,536,458,536
IB,1.75,0.5,LONG,fiz_short_yur_long,48,240m,994,46.3,0.81,-0.123,177.222,527.24,534,460,534
IB,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,1233,46.1,0.93,-0.012,43.176,186.33,664,569,664
IB,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,1233,46.2,0.91,-0.021,56.839,262.1,663,570,663
