symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
KC,1.5,0.5,LONG,fiz_short_yur_long,3,15m,230,47.4,0.87,-0.017,6.728,26.82,121,109,121
KC,1.5,0.5,LONG,fiz_short_yur_long,6,30m,230,43.9,0.84,-0.03,11.671,37.35,129,101,129
KC,1.5,0.5,LONG,fiz_short_yur_long,12,60m,230,47.4,0.9,-0.023,17.896,47.96,121,109,121
KC,1.5,0.5,LONG,fiz_short_yur_long,24,120m,230,43.9,0.98,-0.007,22.472,63.29,129,101,129
KC,1.5,0.5,LONG,fiz_short_yur_long,48,240m,230,43.5,0.94,-0.029,41.797,100.33,130,100,130
KC,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,288,45.1,0.88,-0.015,8.084,31.74,158,130,158
KC,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,288,45.5,0.78,-0.039,17.314,40.49,157,131,157
KC,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,288,47.2,0.95,-0.012,13.556,66.83,152,136,152
KC,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,288,50.7,1.0,-0.001,20.317,90.82,142,146,142
KC,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,288,52.8,1.18,0.073,29.765,139.91,136,152,136
KC,1.5,0.75,LONG,fiz_short_yur_long,3,15m,197,48.7,0.9,-0.013,5.245,22.77,101,96,101
KC,1.5,0.75,LONG,fiz_short_yur_long,6,30m,197,43.7,0.84,-0.031,8.511,32.06,111,86,111
KC,1.5,0.75,LONG,fiz_short_yur_long,12,60m,197,47.2,0.91,-0.021,14.353,42.76,104,93,104
KC,1.5,0.75,LONG,fiz_short_yur_long,24,120m,197,43.7,1.04,0.012,17.347,57.14,111,86,111
KC,1.5,0.75,LONG,fiz_short_yur_long,48,240m,197,43.1,0.96,-0.017,35.862,87.13,112,85,112
KC,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,240,47.1,0.95,-0.006,5.517,28.2,127,113,127
KC,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,240,48.8,0.91,-0.015,8.679,36.04,123,117,123
KC,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,240,49.6,1.1,0.023,7.647,59.41,121,119,121
