symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
MC,1.5,0.5,LONG,fiz_short_yur_long,3,15m,961,50.4,1.09,0.008,20.81,98.63,477,484,477
MC,1.5,0.5,LONG,fiz_short_yur_long,6,30m,961,47.1,1.04,0.005,22.904,115.51,508,453,508
MC,1.5,0.5,LONG,fiz_short_yur_long,12,60m,961,48.6,1.18,0.025,30.138,158.71,494,467,494
MC,1.5,0.5,LONG,fiz_short_yur_long,24,120m,961,44.8,0.9,-0.02,34.217,175.42,530,431,530
MC,1.5,0.5,LONG,fiz_short_yur_long,48,240m,961,46.4,0.95,-0.013,43.604,255.04,515,446,515
MC,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,974,49.0,1.06,0.006,16.294,96.31,497,477,497
MC,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,974,51.1,1.15,0.018,20.399,135.22,476,498,476
MC,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,974,50.0,1.11,0.017,23.373,161.42,487,487,487
MC,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,974,51.1,1.12,0.023,35.896,207.29,476,498,476
MC,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,974,50.3,1.06,0.016,42.48,282.43,484,490,484
MC,1.5,0.75,LONG,fiz_short_yur_long,3,15m,843,49.9,1.01,0.001,17.441,77.6,422,421,422
MC,1.5,0.75,LONG,fiz_short_yur_long,6,30m,843,47.2,0.99,-0.001,18.004,96.9,445,398,445
MC,1.5,0.75,LONG,fiz_short_yur_long,12,60m,843,49.3,1.2,0.027,23.907,138.8,427,416,427
MC,1.5,0.75,LONG,fiz_short_yur_long,24,120m,843,45.4,0.93,-0.013,27.052,155.51,460,383,460
MC,1.5,0.75,LONG,fiz_short_yur_long,48,240m,843,47.1,0.99,-0.003,34.365,237.32,446,397,446
MC,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,886,49.4,1.07,0.006,13.451,86.79,448,438,448
MC,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,886,51.1,1.11,0.014,21.538,119.44,433,453,433
MC,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,886,49.9,1.08,0.011,24.294,143.9,444,442,444
MC,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,886,50.9,1.09,0.016,33.209,182.16,435,451,435
MC,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,886,49.9,1.07,0.018,41.128,252.88,444,442,444
MC,1.5,1.0,LONG,fiz_short_yur_long,3,15m,723,50.6,1.02,0.002,15.25,67.14,357,366,357
MC,1.5,1.0,LONG,fiz_short_yur_long,6,30m,723,47.4,1.05,0.005,14.504,85.19,380,343,380
MC,1.5,1.0,LONG,fiz_short_yur_long,12,60m,723,49.7,1.21,0.03,23.649,122.11,364,359,364
MC,1.5,1.0,LONG,fiz_short_yur_long,24,120m,723,46.3,1.01,0.001,21.486,142.89,388,335,388
MC,1.5,1.0,LONG,fiz_short_yur_long,48,240m,723,46.9,1.0,-0.0,33.128,203.28,384,339,384
MC,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,728,50.3,1.16,0.012,9.746,65.1,362,366,362
MC,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,728,51.9,1.1,0.01,16.597,84.6,350,378,350
MC,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,728,49.7,0.95,-0.007,22.201,101.93,366,362,366
MC,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,728,50.3,1.03,0.006,29.739,139.11,362,366,362
MC,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,728,49.5,1.04,0.01,32.125,200.8,368,360,368
MC,1.5,1.25,LONG,fiz_short_yur_long,3,15m,591,50.8,1.12,0.01,15.119,54.99,291,300,291
MC,1.5,1.25,LONG,fiz_short_yur_long,6,30m,591,48.1,1.18,0.017,10.903,68.02,307,284,307
MC,1.5,1.25,LONG,fiz_short_yur_long,12,60m,591,49.1,1.3,0.04,18.282,101.29,301,290,301
MC,1.5,1.25,LONG,fiz_short_yur_long,24,120m,591,47.4,1.14,0.024,15.493,118.22,311,280,311
MC,1.5,1.25,LONG,fiz_short_yur_long,48,240m,591,47.4,1.05,0.013,29.852,168.61,311,280,311
MC,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,605,51.1,1.36,0.025,7.459,57.43,296,309,296
MC,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,605,53.1,1.31,0.029,12.153,74.33,284,321,284
MC,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,605,50.4,1.03,0.004,15.426,83.5,300,305,300
MC,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,605,51.2,1.04,0.007,25.844,116.79,295,310,295
MC,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,605,51.2,1.09,0.024,28.359,172.66,295,310,295
MC,1.5,1.5,LONG,fiz_short_yur_long,3,15m,475,49.3,1.17,0.014,12.753,46.68,241,234,241
MC,1.5,1.5,LONG,fiz_short_yur_long,6,30m,475,47.6,1.27,0.026,8.96,57.89,249,226,249
MC,1.5,1.5,LONG,fiz_short_yur_long,12,60m,475,49.3,1.42,0.054,14.394,86.41,241,234,241
MC,1.5,1.5,LONG,fiz_short_yur_long,24,120m,475,48.6,1.3,0.051,10.153,105.98,244,231,244
MC,1.5,1.5,LONG,fiz_short_yur_long,48,240m,475,48.2,1.11,0.029,27.677,140.03,246,229,246
MC,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,479,49.1,1.13,0.01,9.817,41.59,244,235,244
MC,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,479,52.6,1.2,0.02,11.862,57.9,227,252,227
MC,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,479,50.5,1.03,0.005,15.452,66.62,237,242,237
MC,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,479,49.7,1.01,0.001,26.027,93.35,241,238,241
MC,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,479,50.1,1.07,0.017,23.429,133.62,239,240,239
MC,1.75,0.5,LONG,fiz_short_yur_long,3,15m,841,50.1,1.11,0.01,14.393,85.17,420,421,420
MC,1.75,0.5,LONG,fiz_short_yur_long,6,30m,841,46.8,1.06,0.006,19.131,100.2,447,394,447
MC,1.75,0.5,LONG,fiz_short_yur_long,12,60m,841,49.3,1.25,0.034,22.536,141.35,426,415,426
MC,1.75,0.5,LONG,fiz_short_yur_long,24,120m,841,46.5,0.97,-0.007,26.533,158.38,450,391,450
MC,1.75,0.5,LONG,fiz_short_yur_long,48,240m,841,46.8,0.99,-0.002,38.819,226.73,447,394,447
MC,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,846,48.5,1.02,0.002,13.362,82.68,436,410,436
MC,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,846,51.4,1.14,0.017,18.799,119.44,411,435,411
MC,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,846,50.5,1.15,0.022,20.455,141.83,419,427,419
MC,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,846,51.4,1.08,0.016,31.908,178.36,411,435,411
MC,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,846,49.5,1.04,0.01,43.802,243.22,427,419,427
MC,1.75,0.75,LONG,fiz_short_yur_long,3,15m,736,49.6,1.12,0.01,10.878,70.73,371,365,371
MC,1.75,0.75,LONG,fiz_short_yur_long,6,30m,736,46.9,1.07,0.008,14.705,88.04,391,345,391
MC,1.75,0.75,LONG,fiz_short_yur_long,12,60m,736,49.9,1.32,0.042,17.18,127.58,369,367,369
MC,1.75,0.75,LONG,fiz_short_yur_long,24,120m,736,47.0,1.02,0.004,19.366,141.73,390,346,390
MC,1.75,0.75,LONG,fiz_short_yur_long,48,240m,736,47.4,1.04,0.012,30.338,212.38,387,349,387
MC,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,768,49.0,1.06,0.006,12.704,76.55,392,376,392
MC,1.75,0.75,SHORT,fiz_long_yur_short,6,30m,768,51.4,1.12,0.016,19.782,109.85,373,395,373
MC,1.75,0.75,SHORT,fiz_long_yur_short,12,60m,768,50.1,1.14,0.02,21.211,128.02,383,385,383
MC,1.75,0.75,SHORT,fiz_long_yur_short,24,120m,768,51.3,1.08,0.016,29.221,160.72,374,394,374
MC,1.75,0.75,SHORT,fiz_long_yur_short,48,240m,768,49.2,1.08,0.021,34.081,222.98,390,378,390
MC,1.75,1.0,LONG,fiz_short_yur_long,3,15m,638,50.3,1.14,0.012,9.495,60.84,317,321,317
MC,1.75,1.0,LONG,fiz_short_yur_long,6,30m,638,47.2,1.1,0.011,13.925,77.33,337,301,337
MC,1.75,1.0,LONG,fiz_short_yur_long,12,60m,638,50.6,1.34,0.045,17.112,112.41,315,323,315
MC,1.75,1.0,LONG,fiz_short_yur_long,24,120m,638,47.8,1.11,0.02,14.236,130.57,333,305,333
MC,1.75,1.0,LONG,fiz_short_yur_long,48,240m,638,47.2,1.06,0.016,28.8,182.68,337,301,337
MC,1.75,1.0,SHORT,fiz_long_yur_short,3,15m,626,49.8,1.15,0.012,9.811,55.55,314,312,314
MC,1.75,1.0,SHORT,fiz_long_yur_short,6,30m,626,52.6,1.1,0.011,15.65,76.55,297,329,297
MC,1.75,1.0,SHORT,fiz_long_yur_short,12,60m,626,50.2,1.02,0.003,17.971,88.62,312,314,312
MC,1.75,1.0,SHORT,fiz_long_yur_short,24,120m,626,51.3,1.03,0.006,24.882,120.45,305,321,305
MC,1.75,1.0,SHORT,fiz_long_yur_short,48,240m,626,48.9,1.03,0.009,25.747,173.39,320,306,320
MC,1.75,1.25,LONG,fiz_short_yur_long,3,15m,527,50.5,1.28,0.021,9.157,49.36,261,266,261
MC,1.75,1.25,LONG,fiz_short_yur_long,6,30m,527,47.6,1.24,0.022,10.224,60.87,276,251,276
MC,1.75,1.25,LONG,fiz_short_yur_long,12,60m,527,50.1,1.45,0.055,12.052,92.35,263,264,263
