symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
ME,1.5,0.5,LONG,fiz_short_yur_long,3,15m,3130,48.0,1.0,0.001,42.924,551.07,1629,1501,1629
ME,1.5,0.5,LONG,fiz_short_yur_long,6,30m,3130,49.0,1.02,0.005,65.945,781.48,1597,1533,1597
ME,1.5,0.5,LONG,fiz_short_yur_long,12,60m,3130,49.2,1.03,0.008,82.628,1066.36,1591,1539,1591
ME,1.5,0.5,LONG,fiz_short_yur_long,24,120m,3130,48.7,1.02,0.01,149.745,1553.3,1606,1524,1606
ME,1.5,0.5,LONG,fiz_short_yur_long,48,240m,3130,48.2,0.96,-0.025,212.804,2152.85,1621,1509,1621
ME,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,3538,48.4,0.99,-0.001,42.195,625.73,1825,1713,1825
ME,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,3538,48.6,0.93,-0.017,114.89,822.19,1819,1719,1819
ME,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,3538,49.5,0.92,-0.026,184.239,1133.36,1786,1752,1786
ME,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,3538,49.1,1.0,-0.002,194.989,1623.58,1801,1737,1801
ME,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,3538,49.7,1.03,0.018,370.482,2380.3,1780,1758,1780
ME,1.5,0.75,LONG,fiz_short_yur_long,3,15m,2754,47.3,0.98,-0.003,36.231,473.88,1450,1304,1450
ME,1.5,0.75,LONG,fiz_short_yur_long,6,30m,2754,48.7,0.99,-0.003,53.235,673.48,1413,1341,1413
ME,1.5,0.75,LONG,fiz_short_yur_long,12,60m,2754,48.8,1.01,0.003,86.719,930.21,1409,1345,1409
ME,1.5,0.75,LONG,fiz_short_yur_long,24,120m,2754,48.1,1.01,0.005,150.504,1365.86,1428,1326,1428
ME,1.5,0.75,LONG,fiz_short_yur_long,48,240m,2754,47.9,0.95,-0.036,180.974,1876.81,1435,1319,1435
ME,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,3128,48.6,0.98,-0.004,41.096,555.27,1609,1519,1609
ME,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,3128,48.9,0.92,-0.021,109.586,725.1,1597,1531,1597
ME,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,3128,49.8,0.93,-0.024,154.358,1004.5,1569,1559,1569
ME,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,3128,49.2,1.01,0.005,162.91,1440.36,1588,1540,1588
ME,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,3128,49.9,1.04,0.027,312.885,2140.61,1568,1560,1568
ME,1.5,1.0,LONG,fiz_short_yur_long,3,15m,2312,46.9,0.93,-0.013,56.592,368.56,1227,1085,1227
ME,1.5,1.0,LONG,fiz_short_yur_long,6,30m,2312,48.3,0.95,-0.012,57.822,536.64,1195,1117,1195
ME,1.5,1.0,LONG,fiz_short_yur_long,12,60m,2312,48.5,0.99,-0.002,84.454,760.59,1190,1122,1190
