symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
MG,1.5,0.5,LONG,fiz_short_yur_long,3,15m,2367,49.3,0.97,-0.005,28.756,404.05,1200,1167,1200
MG,1.5,0.5,LONG,fiz_short_yur_long,6,30m,2367,48.6,1.01,0.002,44.8,561.77,1216,1151,1216
MG,1.5,0.5,LONG,fiz_short_yur_long,12,60m,2367,48.9,0.98,-0.007,103.806,724.65,1209,1158,1209
MG,1.5,0.5,LONG,fiz_short_yur_long,24,120m,2367,49.9,0.95,-0.023,155.652,983.12,1187,1180,1187
MG,1.5,0.5,LONG,fiz_short_yur_long,48,240m,2367,49.1,0.99,-0.006,225.418,1400.89,1205,1162,1205
MG,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,2684,49.6,1.09,0.015,31.956,479.27,1353,1331,1353
MG,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,2684,49.7,1.04,0.009,46.036,626.04,1350,1334,1350
MG,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,2684,49.7,1.08,0.025,51.455,877.72,1351,1333,1351
MG,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,2684,49.5,1.04,0.015,112.064,1144.77,1356,1328,1356
MG,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,2684,48.9,1.08,0.045,111.221,1650.11,1371,1313,1371
MG,1.5,0.75,LONG,fiz_short_yur_long,3,15m,2051,49.3,0.99,-0.001,28.922,360.1,1040,1011,1040
MG,1.5,0.75,LONG,fiz_short_yur_long,6,30m,2051,48.5,1.05,0.012,33.168,506.28,1056,995,1056
MG,1.5,0.75,LONG,fiz_short_yur_long,12,60m,2051,48.5,1.0,-0.001,80.043,643.5,1056,995,1056
MG,1.5,0.75,LONG,fiz_short_yur_long,24,120m,2051,49.3,0.94,-0.028,138.541,850.06,1040,1011,1040
MG,1.5,0.75,LONG,fiz_short_yur_long,48,240m,2051,49.1,1.0,-0.0,186.567,1226.49,1043,1008,1043
MG,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,2336,49.1,1.09,0.014,28.157,408.9,1188,1148,1188
MG,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,2336,49.4,1.01,0.003,39.091,533.52,1183,1153,1183
MG,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,2336,49.4,1.08,0.023,42.207,750.6,1181,1155,1181
MG,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,2336,49.2,1.04,0.017,95.81,986.85,1187,1149,1187
MG,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,2336,48.5,1.08,0.045,98.447,1429.35,1202,1134,1202
MG,1.5,1.0,LONG,fiz_short_yur_long,3,15m,1657,49.5,1.0,0.0,28.801,293.34,837,820,837
MG,1.5,1.0,LONG,fiz_short_yur_long,6,30m,1657,48.8,1.06,0.014,32.8,421.07,848,809,848
MG,1.5,1.0,LONG,fiz_short_yur_long,12,60m,1657,48.0,0.99,-0.003,81.3,520.31,861,796,861
MG,1.5,1.0,LONG,fiz_short_yur_long,24,120m,1657,48.9,0.93,-0.03,121.142,695.91,846,811,846
MG,1.5,1.0,LONG,fiz_short_yur_long,48,240m,1657,47.6,0.96,-0.027,199.207,977.57,869,788,869
MG,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,1933,48.9,1.0,0.0,38.627,321.02,987,946,987
MG,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,1933,48.8,1.02,0.005,36.646,450.24,989,944,989
MG,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,1933,49.0,1.06,0.019,38.092,608.3,985,948,985
MG,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,1933,48.4,1.04,0.017,78.97,799.9,998,935,998
MG,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,1933,48.1,1.09,0.05,84.093,1167.39,1003,930,1003
MG,1.5,1.25,LONG,fiz_short_yur_long,3,15m,1284,50.2,0.95,-0.01,30.964,230.07,639,645,639
MG,1.5,1.25,LONG,fiz_short_yur_long,6,30m,1284,49.8,1.02,0.006,36.156,329.89,644,640,644
MG,1.5,1.25,LONG,fiz_short_yur_long,12,60m,1284,48.5,0.98,-0.007,58.512,416.18,661,623,661
MG,1.5,1.25,LONG,fiz_short_yur_long,24,120m,1284,48.1,0.87,-0.06,129.645,535.17,666,618,666
MG,1.5,1.25,LONG,fiz_short_yur_long,48,240m,1284,47.3,0.92,-0.052,191.126,762.79,677,607,677
MG,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,1490,50.7,1.03,0.004,36.898,253.35,734,756,734
MG,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,1490,49.2,1.01,0.001,34.888,347.39,757,733,757
MG,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,1490,48.3,1.07,0.021,38.313,471.67,771,719,771
MG,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,1490,48.5,1.02,0.009,64.277,612.53,768,722,768
MG,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,1490,48.4,1.1,0.056,64.368,899.63,769,721,769
