symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
MM,1.5,0.5,LONG,fiz_short_yur_long,3,15m,3699,49.4,1.14,0.017,30.225,515.85,1873,1826,1873
MM,1.5,0.5,LONG,fiz_short_yur_long,6,30m,3699,50.3,1.18,0.027,20.361,660.83,1838,1861,1838
MM,1.5,0.5,LONG,fiz_short_yur_long,12,60m,3699,51.8,1.16,0.033,30.613,880.03,1783,1916,1783
MM,1.5,0.5,LONG,fiz_short_yur_long,24,120m,3699,51.0,1.16,0.047,68.004,1232.5,1812,1887,1812
MM,1.5,0.5,LONG,fiz_short_yur_long,48,240m,3699,50.6,1.19,0.072,93.476,1684.48,1826,1873,1826
MM,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,3786,47.5,0.94,-0.008,41.271,491.95,1986,1800,1986
MM,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,3786,47.0,0.93,-0.012,81.042,626.78,2005,1781,2005
MM,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,3786,48.3,0.96,-0.01,66.488,876.03,1959,1827,1959
MM,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,3786,47.0,0.92,-0.027,158.074,1160.42,2006,1780,2006
MM,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,3786,48.5,0.95,-0.022,160.864,1664.64,1951,1835,1951
MM,1.5,0.75,LONG,fiz_short_yur_long,3,15m,3294,49.4,1.14,0.018,31.733,465.92,1667,1627,1667
MM,1.5,0.75,LONG,fiz_short_yur_long,6,30m,3294,50.3,1.2,0.03,21.128,598.29,1636,1658,1636
MM,1.5,0.75,LONG,fiz_short_yur_long,12,60m,3294,51.3,1.15,0.031,30.034,785.23,1603,1691,1603
MM,1.5,0.75,LONG,fiz_short_yur_long,24,120m,3294,50.2,1.14,0.04,66.867,1083.68,1641,1653,1641
MM,1.5,0.75,LONG,fiz_short_yur_long,48,240m,3294,50.0,1.15,0.059,94.171,1483.8,1647,1647,1647
MM,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,3363,47.7,0.96,-0.005,32.045,431.94,1758,1605,1758
MM,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,3363,47.1,0.98,-0.004,51.769,559.92,1779,1584,1779
MM,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,3363,47.9,0.96,-0.008,58.101,761.2,1752,1611,1752
MM,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,3363,46.8,0.92,-0.026,131.053,1008.81,1789,1574,1789
MM,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,3363,48.4,0.96,-0.02,131.853,1453.28,1734,1629,1734
MM,1.5,1.0,LONG,fiz_short_yur_long,3,15m,2814,49.0,1.15,0.018,32.897,398.07,1435,1379,1435
MM,1.5,1.0,LONG,fiz_short_yur_long,6,30m,2814,50.6,1.24,0.036,18.859,522.41,1390,1424,1390
MM,1.5,1.0,LONG,fiz_short_yur_long,12,60m,2814,50.4,1.13,0.026,32.078,663.26,1396,1418,1396
MM,1.5,1.0,LONG,fiz_short_yur_long,24,120m,2814,50.1,1.14,0.041,61.835,919.48,1403,1411,1403
MM,1.5,1.0,LONG,fiz_short_yur_long,48,240m,2814,49.5,1.13,0.049,92.589,1233.16,1422,1392,1422
MM,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,2883,47.9,0.98,-0.003,32.76,370.54,1502,1381,1502
MM,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,2883,47.5,1.01,0.001,35.967,491.94,1513,1370,1513
MM,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,2883,47.9,0.96,-0.009,54.386,651.33,1501,1382,1501
