symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
NG,1.5,0.5,LONG,fiz_short_yur_long,3,15m,4967,47.3,1.09,0.018,67.185,1076.02,2620,2347,2620
NG,1.5,0.5,LONG,fiz_short_yur_long,6,30m,4967,47.5,1.05,0.013,103.502,1401.54,2610,2357,2610
NG,1.5,0.5,LONG,fiz_short_yur_long,12,60m,4967,48.4,1.06,0.02,120.626,1873.42,2565,2402,2565
NG,1.5,0.5,LONG,fiz_short_yur_long,24,120m,4967,47.9,1.03,0.017,141.462,2544.15,2590,2377,2590
NG,1.5,0.5,LONG,fiz_short_yur_long,48,240m,4967,48.7,1.06,0.047,190.927,3840.75,2549,2418,2549
NG,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,5094,47.8,1.3,0.057,35.65,1256.07,2659,2435,2659
NG,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,5094,48.1,1.11,0.03,64.358,1519.81,2644,2450,2644
NG,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,5094,48.6,1.2,0.068,91.863,2127.61,2620,2474,2620
NG,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,5094,47.2,1.04,0.022,181.111,2735.35,2688,2406,2688
NG,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,5094,47.1,1.03,0.025,352.054,3953.33,2696,2398,2696
NG,1.5,0.75,LONG,fiz_short_yur_long,3,15m,4352,46.7,1.06,0.012,67.234,938.7,2319,2033,2319
NG,1.5,0.75,LONG,fiz_short_yur_long,6,30m,4352,47.3,1.04,0.01,110.077,1217.88,2292,2060,2292
NG,1.5,0.75,LONG,fiz_short_yur_long,12,60m,4352,48.2,1.05,0.019,99.489,1662.58,2255,2097,2255
NG,1.5,0.75,LONG,fiz_short_yur_long,24,120m,4352,47.7,1.03,0.014,150.612,2233.46,2277,2075,2277
NG,1.5,0.75,LONG,fiz_short_yur_long,48,240m,4352,48.5,1.06,0.046,178.642,3379.62,2241,2111,2241
NG,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,4504,48.0,1.32,0.06,39.58,1123.48,2344,2160,2344
NG,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,4504,48.4,1.15,0.04,64.052,1399.56,2326,2178,2326
NG,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,4504,48.9,1.23,0.078,86.906,1909.43,2301,2203,2301
NG,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,4504,47.3,1.05,0.029,173.218,2469.37,2373,2131,2373
NG,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,4504,46.7,1.02,0.015,306.252,3482.87,2400,2104,2400
NG,1.5,1.0,LONG,fiz_short_yur_long,3,15m,3667,46.6,1.13,0.027,59.084,834.84,1958,1709,1958
NG,1.5,1.0,LONG,fiz_short_yur_long,6,30m,3667,47.2,1.07,0.02,103.11,1060.62,1937,1730,1937
NG,1.5,1.0,LONG,fiz_short_yur_long,12,60m,3667,48.0,1.05,0.018,101.303,1387.4,1906,1761,1906
NG,1.5,1.0,LONG,fiz_short_yur_long,24,120m,3667,47.6,1.01,0.007,195.157,1864.08,1921,1746,1921
NG,1.5,1.0,LONG,fiz_short_yur_long,48,240m,3667,48.3,1.06,0.047,166.681,2878.71,1897,1770,1897
NG,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,3824,47.7,1.29,0.056,33.641,957.49,2000,1824,2000
NG,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,3824,48.2,1.12,0.033,67.401,1184.37,1982,1842,1982
NG,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,3824,49.0,1.19,0.068,79.301,1602.02,1951,1873,1951
NG,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,3824,47.4,1.05,0.026,149.078,2122.34,2010,1814,2010
NG,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,3824,46.6,1.02,0.018,279.973,2982.75,2042,1782,2042
