symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
NM,1.5,0.5,LONG,fiz_short_yur_long,3,15m,3377,49.3,1.01,0.001,33.646,463.69,1712,1665,1712
NM,1.5,0.5,LONG,fiz_short_yur_long,6,30m,3377,49.7,1.06,0.012,44.95,678.77,1699,1678,1699
NM,1.5,0.5,LONG,fiz_short_yur_long,12,60m,3377,50.9,1.09,0.023,55.544,964.35,1657,1720,1657
NM,1.5,0.5,LONG,fiz_short_yur_long,24,120m,3377,48.7,1.06,0.021,78.465,1288.77,1731,1646,1731
NM,1.5,0.5,LONG,fiz_short_yur_long,48,240m,3377,49.5,1.06,0.03,156.432,1806.73,1707,1670,1707
NM,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,3915,48.1,1.0,0.001,32.629,611.95,2032,1883,2032
NM,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,3915,48.3,0.95,-0.009,70.668,733.6,2026,1889,2026
NM,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,3915,48.8,1.01,0.003,93.724,1054.95,2003,1912,2003
NM,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,3915,48.7,0.97,-0.01,159.056,1390.02,2009,1906,2009
NM,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,3915,47.9,1.0,0.003,189.359,2026.22,2038,1877,2038
NM,1.5,0.75,LONG,fiz_short_yur_long,3,15m,2965,49.3,1.04,0.006,27.088,413.96,1502,1463,1502
NM,1.5,0.75,LONG,fiz_short_yur_long,6,30m,2965,50.0,1.09,0.016,32.622,591.29,1483,1482,1483
NM,1.5,0.75,LONG,fiz_short_yur_long,12,60m,2965,51.5,1.12,0.032,44.971,854.02,1437,1528,1437
NM,1.5,0.75,LONG,fiz_short_yur_long,24,120m,2965,49.2,1.14,0.049,66.829,1173.46,1505,1460,1505
NM,1.5,0.75,LONG,fiz_short_yur_long,48,240m,2965,49.8,1.12,0.057,131.407,1615.44,1487,1478,1487
NM,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,3476,48.4,0.97,-0.005,40.332,541.29,1792,1684,1792
NM,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,3476,48.0,0.93,-0.014,81.488,651.89,1809,1667,1809
NM,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,3476,48.8,1.0,0.001,85.561,945.22,1780,1696,1780
NM,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,3476,48.3,0.95,-0.019,156.746,1227.4,1796,1680,1796
NM,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,3476,47.9,0.99,-0.006,169.848,1793.82,1812,1664,1812
NM,1.5,1.0,LONG,fiz_short_yur_long,3,15m,2428,49.5,1.05,0.007,23.644,342.76,1226,1202,1226
NM,1.5,1.0,LONG,fiz_short_yur_long,6,30m,2428,50.4,1.12,0.021,29.438,497.17,1205,1223,1205
NM,1.5,1.0,LONG,fiz_short_yur_long,12,60m,2428,52.3,1.19,0.048,29.212,721.29,1157,1271,1157
NM,1.5,1.0,LONG,fiz_short_yur_long,24,120m,2428,50.2,1.18,0.062,49.995,971.7,1209,1219,1209
NM,1.5,1.0,LONG,fiz_short_yur_long,48,240m,2428,50.2,1.11,0.055,97.694,1314.6,1208,1220,1208
NM,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,2909,48.3,0.98,-0.004,37.443,448.72,1505,1404,1505
NM,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,2909,47.3,0.92,-0.017,65.227,530.64,1533,1376,1533
NM,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,2909,48.2,0.96,-0.01,91.412,767.39,1507,1402,1507
NM,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,2909,47.9,0.92,-0.031,133.581,999.73,1515,1394,1515
NM,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,2909,47.7,0.98,-0.011,137.368,1460.47,1520,1389,1520
NM,1.5,1.25,LONG,fiz_short_yur_long,3,15m,1899,49.9,1.03,0.005,20.6,266.25,952,947,952
NM,1.5,1.25,LONG,fiz_short_yur_long,6,30m,1899,50.2,1.03,0.006,34.093,365.34,946,953,946
NM,1.5,1.25,LONG,fiz_short_yur_long,12,60m,1899,51.7,1.16,0.039,38.486,551.4,918,981,918
NM,1.5,1.25,LONG,fiz_short_yur_long,24,120m,1899,50.1,1.21,0.072,38.58,778.64,948,951,948
NM,1.5,1.25,LONG,fiz_short_yur_long,48,240m,1899,49.6,1.11,0.056,75.131,1038.28,958,941,958
NM,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,2317,47.8,0.96,-0.005,44.769,348.53,1209,1108,1209
NM,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,2317,47.8,1.02,0.003,29.89,450.06,1209,1108,1209
NM,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,2317,48.6,1.01,0.002,64.595,615.88,1192,1125,1192
NM,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,2317,48.0,0.95,-0.019,96.241,800.5,1205,1112,1205
NM,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,2317,48.3,1.02,0.009,85.765,1169.31,1197,1120,1197
NM,1.5,1.5,LONG,fiz_short_yur_long,3,15m,1446,49.2,1.0,0.0,15.463,195.23,734,712,734
NM,1.5,1.5,LONG,fiz_short_yur_long,6,30m,1446,49.7,0.96,-0.008,37.376,266.03,727,719,727
NM,1.5,1.5,LONG,fiz_short_yur_long,12,60m,1446,51.1,1.12,0.031,40.974,409.83,707,739,707
NM,1.5,1.5,LONG,fiz_short_yur_long,24,120m,1446,49.9,1.22,0.076,41.674,598.92,725,721,725
NM,1.5,1.5,LONG,fiz_short_yur_long,48,240m,1446,50.2,1.14,0.07,54.952,818.52,720,726,720
NM,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,1823,48.3,1.01,0.002,36.128,287.32,943,880,943
NM,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,1823,47.3,1.01,0.003,38.014,347.7,960,863,960
NM,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,1823,48.4,1.03,0.008,41.079,478.05,940,883,940
NM,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,1823,48.7,0.99,-0.004,64.09,632.05,935,888,935
NM,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,1823,49.9,1.12,0.054,53.653,946.76,914,909,914
NM,1.75,0.5,LONG,fiz_short_yur_long,3,15m,2940,48.7,0.98,-0.003,31.614,405.44,1509,1431,1509
NM,1.75,0.5,LONG,fiz_short_yur_long,6,30m,2940,49.4,1.06,0.011,41.281,594.59,1489,1451,1489
NM,1.75,0.5,LONG,fiz_short_yur_long,12,60m,2940,50.9,1.09,0.024,51.876,845.69,1445,1495,1445
NM,1.75,0.5,LONG,fiz_short_yur_long,24,120m,2940,48.5,1.07,0.024,75.923,1134.61,1515,1425,1515
NM,1.75,0.5,LONG,fiz_short_yur_long,48,240m,2940,49.6,1.06,0.031,125.188,1578.04,1481,1459,1481
NM,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,3457,48.3,1.04,0.006,32.447,549.38,1786,1671,1786
NM,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,3457,48.1,0.98,-0.004,55.581,652.73,1795,1662,1795
NM,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,3457,48.5,1.02,0.006,73.047,932.21,1780,1677,1780
NM,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,3457,48.5,0.98,-0.009,141.227,1223.54,1780,1677,1780
NM,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,3457,47.6,1.0,-0.002,172.734,1779.89,1812,1645,1812
NM,1.75,0.75,LONG,fiz_short_yur_long,3,15m,2579,48.6,1.02,0.003,24.905,361.58,1326,1253,1326
NM,1.75,0.75,LONG,fiz_short_yur_long,6,30m,2579,49.6,1.1,0.018,29.117,519.26,1300,1279,1300
NM,1.75,0.75,LONG,fiz_short_yur_long,12,60m,2579,51.5,1.14,0.035,40.17,746.36,1252,1327,1252
NM,1.75,0.75,LONG,fiz_short_yur_long,24,120m,2579,49.2,1.17,0.057,65.11,1037.61,1311,1268,1311
NM,1.75,0.75,LONG,fiz_short_yur_long,48,240m,2579,50.1,1.12,0.06,99.647,1406.2,1287,1292,1287
NM,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,3082,48.7,1.01,0.001,36.472,490.89,1581,1501,1581
NM,1.75,0.75,SHORT,fiz_long_yur_short,6,30m,3082,47.9,0.96,-0.008,62.734,585.5,1606,1476,1606
NM,1.75,0.75,SHORT,fiz_long_yur_short,12,60m,3082,48.5,1.02,0.005,65.792,839.76,1588,1494,1588
NM,1.75,0.75,SHORT,fiz_long_yur_short,24,120m,3082,48.2,0.95,-0.017,137.906,1084.26,1598,1484,1598
NM,1.75,0.75,SHORT,fiz_long_yur_short,48,240m,3082,47.5,0.98,-0.01,151.976,1581.86,1619,1463,1619
NM,1.75,1.0,LONG,fiz_short_yur_long,3,15m,2117,48.7,1.01,0.002,22.3,298.3,1087,1030,1087
NM,1.75,1.0,LONG,fiz_short_yur_long,6,30m,2117,50.2,1.14,0.025,24.429,442.2,1055,1062,1055
NM,1.75,1.0,LONG,fiz_short_yur_long,12,60m,2117,52.3,1.21,0.052,22.116,630.6,1010,1107,1010
NM,1.75,1.0,LONG,fiz_short_yur_long,24,120m,2117,50.2,1.2,0.067,52.429,854.46,1055,1062,1055
NM,1.75,1.0,LONG,fiz_short_yur_long,48,240m,2117,50.5,1.13,0.063,74.882,1153.78,1048,1069,1048
NM,1.75,1.0,SHORT,fiz_long_yur_short,3,15m,2582,48.6,1.0,0.001,33.45,403.64,1328,1254,1328
NM,1.75,1.0,SHORT,fiz_long_yur_short,6,30m,2582,47.1,0.93,-0.013,56.835,473.06,1365,1217,1365
NM,1.75,1.0,SHORT,fiz_long_yur_short,12,60m,2582,47.6,0.97,-0.008,65.53,686.19,1352,1230,1352
NM,1.75,1.0,SHORT,fiz_long_yur_short,24,120m,2582,47.7,0.91,-0.033,124.728,880.96,1351,1231,1351
NM,1.75,1.0,SHORT,fiz_long_yur_short,48,240m,2582,47.3,0.97,-0.016,128.769,1283.6,1362,1220,1362
NM,1.75,1.25,LONG,fiz_short_yur_long,3,15m,1651,49.2,0.98,-0.003,21.203,229.82,839,812,839
NM,1.75,1.25,LONG,fiz_short_yur_long,6,30m,1651,50.2,1.06,0.01,22.865,324.21,823,828,823
NM,1.75,1.25,LONG,fiz_short_yur_long,12,60m,1651,51.9,1.19,0.048,29.7,482.47,794,857,794
NM,1.75,1.25,LONG,fiz_short_yur_long,24,120m,1651,50.0,1.24,0.08,38.987,681.79,825,826,825
NM,1.75,1.25,LONG,fiz_short_yur_long,48,240m,1651,49.8,1.13,0.065,52.715,910.14,828,823,828
