symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
NR,1.5,0.5,LONG,fiz_short_yur_long,3,15m,325,45.8,1.01,0.002,15.781,87.1,176,149,176
NR,1.5,0.5,LONG,fiz_short_yur_long,6,30m,325,49.2,1.04,0.013,16.359,106.41,165,160,165
NR,1.5,0.5,LONG,fiz_short_yur_long,12,60m,325,47.1,1.05,0.022,25.115,144.17,172,153,172
NR,1.5,0.5,LONG,fiz_short_yur_long,24,120m,325,55.7,1.71,0.308,11.946,242.02,144,181,144
NR,1.5,0.5,LONG,fiz_short_yur_long,48,240m,325,52.0,1.58,0.357,18.679,316.2,156,169,156
NR,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,344,43.3,1.02,0.004,15.151,86.07,195,149,195
NR,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,344,48.0,0.9,-0.035,27.698,105.87,179,165,179
NR,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,344,46.5,1.18,0.058,16.094,133.04,184,160,184
NR,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,344,47.4,1.07,0.036,42.707,190.73,181,163,181
NR,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,344,49.1,0.98,-0.019,78.671,278.26,175,169,175
NR,1.5,0.75,LONG,fiz_short_yur_long,3,15m,287,45.3,0.99,-0.003,14.359,77.6,157,130,157
NR,1.5,0.75,LONG,fiz_short_yur_long,6,30m,287,48.4,1.09,0.028,12.501,99.16,148,139,148
NR,1.5,0.75,LONG,fiz_short_yur_long,12,60m,287,47.7,1.14,0.056,19.242,130.56,150,137,150
NR,1.5,0.75,LONG,fiz_short_yur_long,24,120m,287,54.7,1.75,0.327,12.307,219.3,130,157,130
NR,1.5,0.75,LONG,fiz_short_yur_long,48,240m,287,52.6,1.65,0.39,20.283,285.43,136,151,136
NR,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,312,43.9,1.09,0.021,10.61,79.46,175,137,175
NR,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,312,48.4,0.94,-0.02,27.95,99.14,161,151,161
NR,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,312,46.8,1.25,0.082,12.858,126.97,166,146,166
NR,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,312,47.1,1.05,0.029,43.215,172.19,165,147,165
NR,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,312,49.7,0.98,-0.015,83.185,249.08,157,155,157
NR,1.5,1.0,LONG,fiz_short_yur_long,3,15m,244,43.9,0.96,-0.012,15.494,67.56,137,107,137
NR,1.5,1.0,LONG,fiz_short_yur_long,6,30m,244,48.8,1.06,0.021,13.049,84.8,125,119,125
NR,1.5,1.0,LONG,fiz_short_yur_long,12,60m,244,46.7,1.04,0.014,15.677,97.94,130,114,130
NR,1.5,1.0,LONG,fiz_short_yur_long,24,120m,244,55.7,1.76,0.321,11.725,181.15,108,136,108
