symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
OJ,1.5,0.5,LONG,fiz_short_yur_long,3,15m,386,45.6,0.79,-0.068,27.546,96.65,210,176,210
OJ,1.5,0.5,LONG,fiz_short_yur_long,6,30m,386,46.9,0.7,-0.14,54.407,123.88,205,181,205
OJ,1.5,0.5,LONG,fiz_short_yur_long,12,60m,386,50.5,0.94,-0.032,34.477,185.6,191,195,191
OJ,1.5,0.5,LONG,fiz_short_yur_long,24,120m,386,52.1,1.08,0.055,39.155,299.25,185,201,185
OJ,1.5,0.5,LONG,fiz_short_yur_long,48,240m,386,48.2,1.11,0.121,55.163,457.29,200,186,200
OJ,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,331,48.3,0.98,-0.006,19.488,84.35,171,160,171
OJ,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,331,51.1,1.04,0.013,29.182,124.79,162,169,162
OJ,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,331,46.2,0.84,-0.083,45.672,141.95,178,153,178
OJ,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,331,48.3,0.66,-0.346,129.224,220.42,171,160,171
OJ,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,331,44.4,0.67,-0.518,176.155,344.32,184,147,184
OJ,1.5,0.75,LONG,fiz_short_yur_long,3,15m,310,46.1,0.77,-0.074,24.535,78.15,167,143,167
OJ,1.5,0.75,LONG,fiz_short_yur_long,6,30m,310,45.8,0.65,-0.171,54.975,96.45,168,142,168
OJ,1.5,0.75,LONG,fiz_short_yur_long,12,60m,310,50.3,0.86,-0.074,33.085,138.06,154,156,154
OJ,1.5,0.75,LONG,fiz_short_yur_long,24,120m,310,53.5,1.03,0.024,36.773,228.87,144,166,144
OJ,1.5,0.75,LONG,fiz_short_yur_long,48,240m,310,49.4,1.09,0.093,50.192,361.94,157,153,157
OJ,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,261,51.3,1.11,0.027,12.506,71.0,127,134,127
OJ,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,261,51.0,0.99,-0.005,20.456,91.07,128,133,128
OJ,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,261,48.3,0.95,-0.025,27.351,115.54,135,126,135
OJ,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,261,51.3,0.8,-0.175,82.735,183.67,127,134,127
OJ,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,261,42.5,0.68,-0.494,129.878,270.48,150,111,150
OJ,1.5,1.0,LONG,fiz_short_yur_long,3,15m,240,46.2,0.66,-0.125,30.918,57.71,129,111,129
OJ,1.5,1.0,LONG,fiz_short_yur_long,6,30m,240,44.2,0.55,-0.245,59.319,71.38,134,106,134
OJ,1.5,1.0,LONG,fiz_short_yur_long,12,60m,240,48.3,0.73,-0.151,39.865,99.99,124,116,124
OJ,1.5,1.0,LONG,fiz_short_yur_long,24,120m,240,53.8,0.92,-0.066,34.487,170.9,111,129,111
OJ,1.5,1.0,LONG,fiz_short_yur_long,48,240m,240,49.2,0.99,-0.012,50.096,268.51,122,118,122
OJ,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,213,49.8,1.08,0.02,10.604,59.01,107,106,107
OJ,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,213,50.2,0.93,-0.027,17.452,72.55,106,107,106
OJ,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,213,46.5,0.86,-0.068,31.997,89.24,114,99,114
OJ,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,213,52.6,0.99,-0.008,43.671,155.77,101,112,101
OJ,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,213,42.7,0.74,-0.392,99.807,241.34,122,91,122
OJ,1.5,1.25,LONG,fiz_short_yur_long,3,15m,176,47.2,0.69,-0.112,21.557,44.27,93,83,93
OJ,1.5,1.25,LONG,fiz_short_yur_long,6,30m,176,44.3,0.54,-0.24,42.655,50.14,98,78,98
OJ,1.5,1.25,LONG,fiz_short_yur_long,12,60m,176,48.9,0.73,-0.153,31.816,73.5,90,86,90
OJ,1.5,1.25,LONG,fiz_short_yur_long,24,120m,176,51.7,0.78,-0.177,42.009,109.65,85,91,85
OJ,1.5,1.25,LONG,fiz_short_yur_long,48,240m,176,47.2,0.92,-0.086,39.821,178.27,93,83,93
OJ,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,164,50.0,1.11,0.03,9.422,47.18,82,82,82
OJ,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,164,50.6,0.9,-0.04,15.119,55.78,81,83,81
OJ,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,164,47.6,0.81,-0.09,23.309,64.73,86,78,86
OJ,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,164,54.9,1.24,0.137,16.508,116.97,74,90,74
OJ,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,164,45.1,0.94,-0.075,37.66,188.46,90,74,90
OJ,1.5,1.5,LONG,fiz_short_yur_long,3,15m,136,49.3,0.67,-0.117,17.681,32.84,69,67,69
OJ,1.5,1.5,LONG,fiz_short_yur_long,6,30m,136,45.6,0.57,-0.219,31.363,40.12,74,62,74
OJ,1.5,1.5,LONG,fiz_short_yur_long,12,60m,136,50.0,0.74,-0.141,25.485,54.15,68,68,68
OJ,1.5,1.5,LONG,fiz_short_yur_long,24,120m,136,49.3,0.69,-0.243,33.09,74.16,69,67,69
OJ,1.5,1.5,LONG,fiz_short_yur_long,48,240m,136,47.8,0.9,-0.107,39.821,130.83,71,65,71
OJ,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,136,47.8,1.13,0.033,5.769,38.79,71,65,71
OJ,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,136,52.2,0.87,-0.047,12.025,42.2,65,71,65
OJ,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,136,48.5,0.85,-0.066,17.626,52.23,70,66,70
OJ,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,136,52.9,1.19,0.112,13.228,94.65,64,72,64
OJ,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,136,44.9,0.93,-0.091,32.864,159.72,75,61,75
OJ,1.75,0.5,LONG,fiz_short_yur_long,3,15m,333,45.6,0.85,-0.048,21.048,88.11,181,152,181
OJ,1.75,0.5,LONG,fiz_short_yur_long,6,30m,333,47.1,0.77,-0.101,35.435,113.63,176,157,176
OJ,1.75,0.5,LONG,fiz_short_yur_long,12,60m,333,52.3,1.04,0.02,23.915,170.84,159,174,159
OJ,1.75,0.5,LONG,fiz_short_yur_long,24,120m,333,53.2,1.1,0.073,34.071,260.95,156,177,156
OJ,1.75,0.5,LONG,fiz_short_yur_long,48,240m,333,49.8,1.17,0.18,48.468,417.67,167,166,167
OJ,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,286,50.0,1.05,0.012,13.566,74.49,143,143,143
OJ,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,286,51.0,1.05,0.017,22.729,108.22,140,146,140
OJ,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,286,46.9,0.86,-0.073,37.975,123.94,152,134,152
OJ,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,286,48.6,0.66,-0.346,111.361,189.99,147,139,147
OJ,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,286,44.4,0.64,-0.586,174.882,294.18,159,127,159
OJ,1.75,0.75,LONG,fiz_short_yur_long,3,15m,270,45.9,0.83,-0.054,18.686,70.6,146,124,146
OJ,1.75,0.75,LONG,fiz_short_yur_long,6,30m,270,46.3,0.72,-0.128,37.717,89.64,145,125,145
OJ,1.75,0.75,LONG,fiz_short_yur_long,12,60m,270,52.6,0.98,-0.011,23.224,127.65,128,142,128
OJ,1.75,0.75,LONG,fiz_short_yur_long,24,120m,270,54.8,1.06,0.044,36.317,198.98,122,148,122
OJ,1.75,0.75,LONG,fiz_short_yur_long,48,240m,270,50.0,1.1,0.112,45.29,325.43,135,135,135
OJ,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,228,52.6,1.19,0.043,9.496,63.02,108,120,108
OJ,1.75,0.75,SHORT,fiz_long_yur_short,6,30m,228,50.4,0.98,-0.005,15.88,78.29,113,115,113
OJ,1.75,0.75,SHORT,fiz_long_yur_short,12,60m,228,49.6,0.97,-0.012,25.482,102.19,115,113,115
OJ,1.75,0.75,SHORT,fiz_long_yur_short,24,120m,228,51.3,0.81,-0.159,68.067,157.68,111,117,111
OJ,1.75,0.75,SHORT,fiz_long_yur_short,48,240m,228,42.5,0.65,-0.55,125.494,230.46,131,97,131
OJ,1.75,1.0,LONG,fiz_short_yur_long,3,15m,208,46.6,0.73,-0.094,20.829,53.76,111,97,111
OJ,1.75,1.0,LONG,fiz_short_yur_long,6,30m,208,44.2,0.6,-0.216,45.35,66.51,116,92,116
OJ,1.75,1.0,LONG,fiz_short_yur_long,12,60m,208,50.5,0.84,-0.089,25.819,94.44,103,105,103
OJ,1.75,1.0,LONG,fiz_short_yur_long,24,120m,208,55.8,0.94,-0.043,34.204,148.78,92,116,92
OJ,1.75,1.0,LONG,fiz_short_yur_long,48,240m,208,50.5,1.0,-0.003,44.493,239.72,103,105,103
OJ,1.75,1.0,SHORT,fiz_long_yur_short,3,15m,183,51.9,1.2,0.047,7.38,52.59,88,95,88
OJ,1.75,1.0,SHORT,fiz_long_yur_short,6,30m,183,49.7,0.96,-0.015,11.621,63.53,92,91,92
OJ,1.75,1.0,SHORT,fiz_long_yur_short,12,60m,183,47.5,0.86,-0.069,30.928,78.66,96,87,96
OJ,1.75,1.0,SHORT,fiz_long_yur_short,24,120m,183,52.5,1.01,0.009,38.058,132.3,87,96,87
OJ,1.75,1.0,SHORT,fiz_long_yur_short,48,240m,183,42.6,0.7,-0.476,91.216,201.98,105,78,105
OJ,1.75,1.25,LONG,fiz_short_yur_long,3,15m,152,48.7,0.78,-0.077,13.967,41.96,78,74,78
OJ,1.75,1.25,LONG,fiz_short_yur_long,6,30m,152,45.4,0.59,-0.21,32.29,46.31,83,69,83
OJ,1.75,1.25,LONG,fiz_short_yur_long,12,60m,152,52.0,0.84,-0.085,20.798,69.25,73,79,73
OJ,1.75,1.25,LONG,fiz_short_yur_long,24,120m,152,54.6,0.78,-0.171,42.833,92.88,69,83,69
OJ,1.75,1.25,LONG,fiz_short_yur_long,48,240m,152,48.7,0.92,-0.089,38.103,157.63,78,74,78
OJ,1.75,1.25,SHORT,fiz_long_yur_short,3,15m,144,50.0,1.18,0.043,7.437,41.51,72,72,72
OJ,1.75,1.25,SHORT,fiz_long_yur_short,6,30m,144,49.3,0.85,-0.058,12.222,47.78,73,71,73
OJ,1.75,1.25,SHORT,fiz_long_yur_short,12,60m,144,47.9,0.79,-0.103,22.904,57.06,75,69,75
OJ,1.75,1.25,SHORT,fiz_long_yur_short,24,120m,144,54.9,1.27,0.144,13.856,96.78,65,79,65
OJ,1.75,1.25,SHORT,fiz_long_yur_short,48,240m,144,45.1,0.89,-0.129,41.119,157.35,79,65,79
OJ,1.75,1.5,LONG,fiz_short_yur_long,3,15m,114,50.9,0.75,-0.089,14.906,30.54,56,58,56
OJ,1.75,1.5,LONG,fiz_short_yur_long,6,30m,114,47.4,0.63,-0.189,23.744,36.49,60,54,60
OJ,1.75,1.5,LONG,fiz_short_yur_long,12,60m,114,54.4,0.89,-0.055,19.071,50.26,52,62,52
OJ,1.75,1.5,LONG,fiz_short_yur_long,24,120m,114,52.6,0.69,-0.234,32.024,60.16,54,60,54
OJ,1.75,1.5,LONG,fiz_short_yur_long,48,240m,114,50.0,0.91,-0.096,32.062,113.03,57,57,57
OJ,1.75,1.5,SHORT,fiz_long_yur_short,3,15m,119,46.2,1.06,0.017,6.318,33.13,64,55,64
OJ,1.75,1.5,SHORT,fiz_long_yur_short,6,30m,119,49.6,0.77,-0.087,15.008,34.2,60,59,60
OJ,1.75,1.5,SHORT,fiz_long_yur_short,12,60m,119,47.9,0.8,-0.091,19.466,44.57,62,57,62
OJ,1.75,1.5,SHORT,fiz_long_yur_short,24,120m,119,52.1,1.16,0.087,11.0,76.46,57,62,57
OJ,1.75,1.5,SHORT,fiz_long_yur_short,48,240m,119,44.5,0.87,-0.173,40.018,133.71,66,53,66
OJ,2.0,0.5,LONG,fiz_short_yur_long,3,15m,290,45.2,0.8,-0.066,26.047,77.24,159,131,159
OJ,2.0,0.5,LONG,fiz_short_yur_long,6,30m,290,47.6,0.74,-0.12,38.947,101.45,152,138,152
