symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
PD,1.5,0.5,LONG,fiz_short_yur_long,3,15m,3865,51.3,1.17,0.025,26.279,648.74,1882,1983,1882
PD,1.5,0.5,LONG,fiz_short_yur_long,6,30m,3865,51.0,1.06,0.012,41.312,823.78,1895,1970,1895
PD,1.5,0.5,LONG,fiz_short_yur_long,12,60m,3865,51.2,1.04,0.012,68.603,1127.82,1886,1979,1886
PD,1.5,0.5,LONG,fiz_short_yur_long,24,120m,3865,51.1,1.11,0.04,82.085,1610.98,1891,1974,1891
PD,1.5,0.5,LONG,fiz_short_yur_long,48,240m,3865,49.5,1.11,0.061,93.119,2292.04,1951,1914,1951
PD,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,4074,51.4,1.08,0.014,29.646,729.84,1978,2096,1978
PD,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,4074,50.5,1.05,0.012,59.469,980.49,2015,2059,2015
PD,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,4074,50.1,1.06,0.017,93.133,1281.03,2034,2040,2034
PD,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,4074,51.0,1.02,0.009,110.728,1713.06,1998,2076,1998
PD,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,4074,49.2,1.07,0.04,118.641,2412.66,2071,2003,2071
PD,1.5,0.75,LONG,fiz_short_yur_long,3,15m,3294,51.5,1.21,0.029,21.499,550.5,1598,1696,1598
PD,1.5,0.75,LONG,fiz_short_yur_long,6,30m,3294,51.5,1.08,0.016,34.605,701.41,1598,1696,1598
PD,1.5,0.75,LONG,fiz_short_yur_long,12,60m,3294,51.8,1.07,0.02,63.451,966.01,1587,1707,1587
PD,1.5,0.75,LONG,fiz_short_yur_long,24,120m,3294,51.5,1.13,0.049,63.946,1370.58,1597,1697,1597
PD,1.5,0.75,LONG,fiz_short_yur_long,48,240m,3294,50.2,1.18,0.093,75.51,1992.08,1642,1652,1642
PD,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,3462,51.7,1.1,0.016,29.692,624.2,1673,1789,1673
PD,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,3462,50.5,1.05,0.011,63.739,821.5,1712,1750,1712
PD,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,3462,50.0,1.05,0.014,96.829,1088.26,1731,1731,1731
PD,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,3462,50.9,1.01,0.005,106.305,1442.97,1701,1761,1701
PD,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,3462,49.8,1.1,0.053,110.464,2055.42,1739,1723,1739
PD,1.5,1.0,LONG,fiz_short_yur_long,3,15m,2723,52.6,1.26,0.035,17.929,460.71,1290,1433,1290
PD,1.5,1.0,LONG,fiz_short_yur_long,6,30m,2723,52.8,1.11,0.022,28.182,591.28,1286,1437,1286
PD,1.5,1.0,LONG,fiz_short_yur_long,12,60m,2723,52.5,1.08,0.022,57.972,806.14,1294,1429,1294
PD,1.5,1.0,LONG,fiz_short_yur_long,24,120m,2723,51.5,1.12,0.045,58.905,1121.07,1321,1402,1321
PD,1.5,1.0,LONG,fiz_short_yur_long,48,240m,2723,50.5,1.21,0.105,60.613,1662.75,1349,1374,1349
PD,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,2864,51.9,1.11,0.017,22.991,523.07,1377,1487,1377
PD,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,2864,50.5,1.05,0.011,35.368,680.02,1417,1447,1417
PD,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,2864,49.6,1.03,0.009,72.921,878.45,1443,1421,1443
PD,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,2864,51.2,1.01,0.003,74.053,1186.29,1397,1467,1397
PD,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,2864,49.1,1.07,0.038,97.337,1673.75,1459,1405,1459
PD,1.5,1.25,LONG,fiz_short_yur_long,3,15m,2222,51.9,1.3,0.038,14.024,370.18,1068,1154,1068
PD,1.5,1.25,LONG,fiz_short_yur_long,6,30m,2222,52.2,1.12,0.023,25.143,472.02,1062,1160,1062
PD,1.5,1.25,LONG,fiz_short_yur_long,12,60m,2222,52.1,1.07,0.018,64.576,635.14,1064,1158,1064
PD,1.5,1.25,LONG,fiz_short_yur_long,24,120m,2222,50.9,1.08,0.031,74.025,887.02,1091,1131,1091
PD,1.5,1.25,LONG,fiz_short_yur_long,48,240m,2222,50.0,1.21,0.107,64.123,1370.02,1110,1112,1110
PD,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,2283,52.2,1.2,0.03,14.235,423.07,1092,1191,1092
PD,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,2283,50.9,1.14,0.03,31.124,571.64,1120,1163,1120
PD,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,2283,50.9,1.09,0.025,51.748,712.57,1122,1161,1122
PD,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,2283,52.1,1.06,0.022,62.272,958.32,1094,1189,1094
PD,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,2283,49.8,1.12,0.062,68.728,1371.08,1145,1138,1145
PD,1.5,1.5,LONG,fiz_short_yur_long,3,15m,1789,52.6,1.33,0.042,10.273,300.04,848,941,848
PD,1.5,1.5,LONG,fiz_short_yur_long,6,30m,1789,52.3,1.14,0.026,22.686,374.9,853,936,853
PD,1.5,1.5,LONG,fiz_short_yur_long,12,60m,1789,52.5,1.07,0.019,44.896,498.06,849,940,849
PD,1.5,1.5,LONG,fiz_short_yur_long,24,120m,1789,51.5,1.09,0.033,53.188,696.7,868,921,868
PD,1.5,1.5,LONG,fiz_short_yur_long,48,240m,1789,49.7,1.22,0.109,47.804,1093.28,900,889,900
PD,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,1804,51.7,1.11,0.017,14.989,322.51,872,932,872
PD,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,1804,49.6,1.03,0.007,37.15,433.0,910,894,910
PD,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,1804,50.3,1.01,0.002,61.135,540.78,896,908,896
PD,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,1804,51.7,1.02,0.009,63.92,736.46,872,932,872
PD,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,1804,50.0,1.12,0.066,61.46,1081.09,902,902,902
PD,1.75,0.5,LONG,fiz_short_yur_long,3,15m,3345,51.5,1.2,0.028,23.529,574.92,1622,1723,1622
PD,1.75,0.5,LONG,fiz_short_yur_long,6,30m,3345,50.8,1.05,0.01,41.505,712.87,1646,1699,1646
PD,1.75,0.5,LONG,fiz_short_yur_long,12,60m,3345,51.2,1.05,0.014,58.304,991.46,1634,1711,1634
PD,1.75,0.5,LONG,fiz_short_yur_long,24,120m,3345,51.3,1.13,0.048,75.65,1412.01,1630,1715,1630
PD,1.75,0.5,LONG,fiz_short_yur_long,48,240m,3345,49.9,1.13,0.069,73.142,1998.54,1676,1669,1676
PD,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,3500,51.9,1.11,0.019,30.914,649.06,1684,1816,1684
PD,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,3500,51.2,1.06,0.014,48.206,861.73,1708,1792,1708
PD,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,3500,50.7,1.08,0.023,78.124,1127.05,1727,1773,1727
PD,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,3500,51.5,1.03,0.013,93.068,1490.38,1699,1801,1699
PD,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,3500,49.5,1.11,0.062,102.296,2129.18,1769,1731,1769
PD,1.75,0.75,LONG,fiz_short_yur_long,3,15m,2844,51.6,1.24,0.033,19.255,486.82,1376,1468,1376
PD,1.75,0.75,LONG,fiz_short_yur_long,6,30m,2844,51.4,1.08,0.016,36.089,605.84,1383,1461,1383
PD,1.75,0.75,LONG,fiz_short_yur_long,12,60m,2844,51.7,1.07,0.018,52.879,839.21,1374,1470,1374
PD,1.75,0.75,LONG,fiz_short_yur_long,24,120m,2844,51.8,1.15,0.053,53.127,1187.55,1372,1472,1372
PD,1.75,0.75,LONG,fiz_short_yur_long,48,240m,2844,50.5,1.19,0.099,62.241,1728.48,1409,1435,1409
PD,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,2975,52.2,1.14,0.023,26.912,556.7,1423,1552,1423
