symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
PT,1.5,0.5,LONG,fiz_short_yur_long,3,15m,3495,49.6,0.92,-0.012,81.836,475.65,1762,1733,1762
PT,1.5,0.5,LONG,fiz_short_yur_long,6,30m,3495,50.0,0.89,-0.021,104.458,602.76,1749,1746,1749
PT,1.5,0.5,LONG,fiz_short_yur_long,12,60m,3495,49.5,0.91,-0.023,137.167,835.23,1766,1729,1766
PT,1.5,0.5,LONG,fiz_short_yur_long,24,120m,3495,49.6,0.91,-0.031,176.023,1163.18,1761,1734,1761
PT,1.5,0.5,LONG,fiz_short_yur_long,48,240m,3495,49.0,0.96,-0.017,147.799,1635.97,1782,1713,1782
PT,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,3698,49.5,1.09,0.011,19.589,489.15,1866,1832,1866
PT,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,3698,50.4,1.1,0.017,31.817,682.68,1834,1864,1834
PT,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,3698,49.9,1.02,0.005,73.907,887.62,1851,1847,1851
PT,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,3698,50.2,1.09,0.028,94.449,1285.52,1840,1858,1840
PT,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,3698,52.2,1.2,0.086,106.911,1928.6,1767,1931,1767
PT,1.5,0.75,LONG,fiz_short_yur_long,3,15m,2981,50.2,0.92,-0.012,83.0,407.91,1484,1497,1484
PT,1.5,0.75,LONG,fiz_short_yur_long,6,30m,2981,50.1,0.87,-0.027,102.368,521.07,1489,1492,1489
PT,1.5,0.75,LONG,fiz_short_yur_long,12,60m,2981,49.7,0.9,-0.027,124.887,725.85,1500,1481,1500
PT,1.5,0.75,LONG,fiz_short_yur_long,24,120m,2981,50.1,0.91,-0.034,168.433,1000.6,1489,1492,1489
PT,1.5,0.75,LONG,fiz_short_yur_long,48,240m,2981,49.6,0.98,-0.01,126.5,1432.15,1502,1479,1502
PT,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,3180,49.2,1.05,0.007,21.444,409.18,1615,1565,1615
PT,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,3180,50.2,1.09,0.015,33.12,581.04,1585,1595,1585
PT,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,3180,50.5,1.04,0.01,77.398,784.2,1575,1605,1575
PT,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,3180,50.8,1.12,0.038,64.742,1118.85,1564,1616,1564
PT,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,3180,52.5,1.22,0.097,100.31,1679.86,1511,1669,1511
PT,1.5,1.0,LONG,fiz_short_yur_long,3,15m,2537,50.4,0.96,-0.006,69.084,351.75,1259,1278,1259
PT,1.5,1.0,LONG,fiz_short_yur_long,6,30m,2537,49.9,0.84,-0.032,99.236,428.84,1272,1265,1272
PT,1.5,1.0,LONG,fiz_short_yur_long,12,60m,2537,49.5,0.89,-0.03,103.882,602.43,1282,1255,1282
PT,1.5,1.0,LONG,fiz_short_yur_long,24,120m,2537,49.7,0.87,-0.048,167.058,829.57,1275,1262,1275
PT,1.5,1.0,LONG,fiz_short_yur_long,48,240m,2537,48.8,0.93,-0.037,161.394,1170.66,1299,1238,1299
PT,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,2693,48.2,1.04,0.005,22.767,337.31,1396,1297,1396
PT,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,2693,49.6,1.05,0.009,32.794,481.25,1356,1337,1356
PT,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,2693,49.6,0.98,-0.005,90.409,641.64,1358,1335,1358
PT,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,2693,50.2,1.07,0.023,70.025,941.72,1340,1353,1340
PT,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,2693,51.5,1.16,0.074,111.455,1407.8,1305,1388,1305
PT,1.5,1.25,LONG,fiz_short_yur_long,3,15m,2052,50.5,1.04,0.006,50.894,296.26,1016,1036,1016
PT,1.5,1.25,LONG,fiz_short_yur_long,6,30m,2052,50.7,0.94,-0.011,70.366,367.7,1012,1040,1012
PT,1.5,1.25,LONG,fiz_short_yur_long,12,60m,2052,49.8,0.96,-0.011,83.317,509.18,1031,1021,1031
PT,1.5,1.25,LONG,fiz_short_yur_long,24,120m,2052,50.6,0.91,-0.033,142.468,695.14,1014,1038,1014
PT,1.5,1.25,LONG,fiz_short_yur_long,48,240m,2052,49.5,0.96,-0.019,106.947,974.88,1037,1015,1037
PT,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,2196,48.4,1.06,0.007,23.469,286.34,1133,1063,1133
PT,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,2196,49.7,1.02,0.003,34.139,385.79,1104,1092,1104
PT,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,2196,49.6,0.95,-0.013,91.722,517.95,1106,1090,1106
PT,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,2196,50.1,1.05,0.015,76.003,756.57,1096,1100,1096
PT,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,2196,51.4,1.15,0.069,87.98,1151.18,1067,1129,1067
PT,1.5,1.5,LONG,fiz_short_yur_long,3,15m,1667,49.9,1.06,0.008,41.728,236.93,836,831,836
PT,1.5,1.5,LONG,fiz_short_yur_long,6,30m,1667,50.9,0.96,-0.008,60.247,297.97,819,848,819
PT,1.5,1.5,LONG,fiz_short_yur_long,12,60m,1667,49.8,0.99,-0.004,65.349,413.88,837,830,837
PT,1.5,1.5,LONG,fiz_short_yur_long,24,120m,1667,50.9,0.92,-0.028,130.841,573.6,819,848,819
PT,1.5,1.5,LONG,fiz_short_yur_long,48,240m,1667,49.2,0.98,-0.011,96.448,797.91,847,820,847
PT,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,1769,48.4,1.07,0.008,17.232,232.88,913,856,913
PT,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,1769,50.0,0.98,-0.003,38.857,304.09,885,884,885
PT,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,1769,49.9,0.96,-0.009,78.281,424.5,887,882,887
PT,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,1769,50.3,1.05,0.018,54.015,615.36,880,889,880
PT,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,1769,50.8,1.15,0.071,90.485,937.06,871,898,871
PT,1.75,0.5,LONG,fiz_short_yur_long,3,15m,2991,49.2,0.94,-0.009,77.698,421.21,1519,1472,1519
PT,1.75,0.5,LONG,fiz_short_yur_long,6,30m,2991,49.4,0.87,-0.025,97.833,516.11,1514,1477,1514
PT,1.75,0.5,LONG,fiz_short_yur_long,12,60m,2991,48.9,0.91,-0.023,118.703,725.29,1527,1464,1527
PT,1.75,0.5,LONG,fiz_short_yur_long,24,120m,2991,48.9,0.9,-0.037,174.546,989.57,1529,1462,1529
PT,1.75,0.5,LONG,fiz_short_yur_long,48,240m,2991,48.8,0.95,-0.026,153.677,1391.38,1531,1460,1531
PT,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,3164,49.7,1.1,0.012,20.172,420.14,1590,1574,1590
PT,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,3164,50.4,1.11,0.018,27.68,584.79,1568,1596,1568
PT,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,3164,50.0,1.04,0.009,49.787,761.59,1582,1582,1582
PT,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,3164,50.5,1.11,0.033,84.077,1098.29,1566,1598,1566
PT,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,3164,52.6,1.22,0.094,81.442,1655.28,1501,1663,1501
PT,1.75,0.75,LONG,fiz_short_yur_long,3,15m,2555,49.8,0.94,-0.008,78.659,363.53,1282,1273,1282
PT,1.75,0.75,LONG,fiz_short_yur_long,6,30m,2555,49.6,0.85,-0.031,94.987,445.54,1288,1267,1288
PT,1.75,0.75,LONG,fiz_short_yur_long,12,60m,2555,49.3,0.9,-0.026,104.05,631.69,1296,1259,1296
PT,1.75,0.75,LONG,fiz_short_yur_long,24,120m,2555,49.2,0.89,-0.042,164.071,847.79,1297,1258,1297
PT,1.75,0.75,LONG,fiz_short_yur_long,48,240m,2555,49.2,0.96,-0.022,131.867,1211.64,1297,1258,1297
PT,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,2721,49.4,1.07,0.008,19.241,355.32,1377,1344,1377
PT,1.75,0.75,SHORT,fiz_long_yur_short,6,30m,2721,50.3,1.09,0.016,25.19,497.04,1353,1368,1353
PT,1.75,0.75,SHORT,fiz_long_yur_short,12,60m,2721,50.6,1.05,0.012,56.786,668.89,1345,1376,1345
PT,1.75,0.75,SHORT,fiz_long_yur_short,24,120m,2721,51.1,1.14,0.042,52.916,947.43,1330,1391,1330
PT,1.75,0.75,SHORT,fiz_long_yur_short,48,240m,2721,52.6,1.24,0.101,68.32,1432.78,1289,1432,1289
PT,1.75,1.0,LONG,fiz_short_yur_long,3,15m,2186,49.9,0.99,-0.001,64.58,315.9,1095,1091,1095
PT,1.75,1.0,LONG,fiz_short_yur_long,6,30m,2186,49.5,0.83,-0.034,90.136,368.52,1103,1083,1103
PT,1.75,1.0,LONG,fiz_short_yur_long,12,60m,2186,49.2,0.91,-0.023,85.648,529.04,1110,1076,1110
PT,1.75,1.0,LONG,fiz_short_yur_long,24,120m,2186,48.7,0.86,-0.053,155.244,704.51,1121,1065,1121
PT,1.75,1.0,LONG,fiz_short_yur_long,48,240m,2186,48.6,0.91,-0.044,153.039,992.5,1124,1062,1124
PT,1.75,1.0,SHORT,fiz_long_yur_short,3,15m,2295,48.2,1.05,0.006,20.609,290.48,1188,1107,1188
PT,1.75,1.0,SHORT,fiz_long_yur_short,6,30m,2295,49.8,1.06,0.01,28.093,409.88,1153,1142,1153
PT,1.75,1.0,SHORT,fiz_long_yur_short,12,60m,2295,49.7,1.0,0.0,70.282,551.84,1154,1141,1154
PT,1.75,1.0,SHORT,fiz_long_yur_short,24,120m,2295,50.4,1.09,0.03,57.386,797.25,1138,1157,1138
PT,1.75,1.0,SHORT,fiz_long_yur_short,48,240m,2295,51.4,1.17,0.076,76.016,1193.65,1116,1179,1116
PT,1.75,1.25,LONG,fiz_short_yur_long,3,15m,1768,50.2,1.09,0.012,45.999,267.24,881,887,881
PT,1.75,1.25,LONG,fiz_short_yur_long,6,30m,1768,50.5,0.95,-0.01,64.557,315.86,876,892,876
PT,1.75,1.25,LONG,fiz_short_yur_long,12,60m,1768,49.5,0.97,-0.007,76.901,446.52,893,875,893
PT,1.75,1.25,LONG,fiz_short_yur_long,24,120m,1768,49.5,0.89,-0.043,146.417,585.69,892,876,892
PT,1.75,1.25,LONG,fiz_short_yur_long,48,240m,1768,48.9,0.92,-0.038,118.507,812.68,904,864,904
PT,1.75,1.25,SHORT,fiz_long_yur_short,3,15m,1868,48.6,1.09,0.011,17.228,251.0,960,908,960
PT,1.75,1.25,SHORT,fiz_long_yur_short,6,30m,1868,49.9,1.03,0.005,27.327,332.68,936,932,936
PT,1.75,1.25,SHORT,fiz_long_yur_short,12,60m,1868,49.7,0.96,-0.009,73.576,445.88,940,928,940
PT,1.75,1.25,SHORT,fiz_long_yur_short,24,120m,1868,50.0,1.06,0.019,66.486,639.49,934,934,934
PT,1.75,1.25,SHORT,fiz_long_yur_short,48,240m,1868,51.5,1.16,0.073,66.279,979.17,906,962,906
PT,1.75,1.5,LONG,fiz_short_yur_long,3,15m,1432,49.5,1.12,0.015,38.744,211.69,723,709,723
PT,1.75,1.5,LONG,fiz_short_yur_long,6,30m,1432,50.3,0.97,-0.006,57.175,252.81,712,720,712
PT,1.75,1.5,LONG,fiz_short_yur_long,12,60m,1432,49.8,1.02,0.005,60.027,360.07,719,713,719
PT,1.75,1.5,LONG,fiz_short_yur_long,24,120m,1432,49.8,0.89,-0.04,141.535,478.41,719,713,719
PT,1.75,1.5,LONG,fiz_short_yur_long,48,240m,1432,48.7,0.94,-0.029,107.827,659.78,735,697,735
PT,1.75,1.5,SHORT,fiz_long_yur_short,3,15m,1506,48.6,1.08,0.01,16.705,203.75,774,732,774
PT,1.75,1.5,SHORT,fiz_long_yur_short,6,30m,1506,50.2,0.99,-0.002,34.233,260.37,750,756,750
PT,1.75,1.5,SHORT,fiz_long_yur_short,12,60m,1506,49.7,0.97,-0.007,65.154,363.09,758,748,758
PT,1.75,1.5,SHORT,fiz_long_yur_short,24,120m,1506,49.9,1.05,0.017,45.647,515.97,755,751,755
PT,1.75,1.5,SHORT,fiz_long_yur_short,48,240m,1506,50.5,1.16,0.071,70.699,794.63,745,761,745
PT,2.0,0.5,LONG,fiz_short_yur_long,3,15m,2639,49.0,0.92,-0.013,80.205,377.98,1346,1293,1346
PT,2.0,0.5,LONG,fiz_short_yur_long,6,30m,2639,49.0,0.85,-0.03,103.359,454.49,1345,1294,1345
PT,2.0,0.5,LONG,fiz_short_yur_long,12,60m,2639,48.7,0.9,-0.027,124.584,638.47,1353,1286,1353
PT,2.0,0.5,LONG,fiz_short_yur_long,24,120m,2639,49.1,0.89,-0.04,170.068,879.49,1344,1295,1344
PT,2.0,0.5,LONG,fiz_short_yur_long,48,240m,2639,48.7,0.95,-0.025,152.872,1220.58,1355,1284,1355
PT,2.0,0.5,SHORT,fiz_long_yur_short,3,15m,2731,49.5,1.08,0.01,19.4,360.61,1379,1352,1379
PT,2.0,0.5,SHORT,fiz_long_yur_short,6,30m,2731,50.3,1.1,0.017,29.31,502.14,1357,1374,1357
PT,2.0,0.5,SHORT,fiz_long_yur_short,12,60m,2731,49.5,1.02,0.005,44.769,657.37,1379,1352,1379
PT,2.0,0.5,SHORT,fiz_long_yur_short,24,120m,2731,50.5,1.07,0.022,89.954,921.58,1353,1378,1353
PT,2.0,0.5,SHORT,fiz_long_yur_short,48,240m,2731,52.9,1.22,0.093,83.561,1410.25,1285,1446,1285
PT,2.0,0.75,LONG,fiz_short_yur_long,3,15m,2243,49.9,0.93,-0.011,80.257,326.75,1123,1120,1123
PT,2.0,0.75,LONG,fiz_short_yur_long,6,30m,2243,49.4,0.83,-0.036,98.814,392.19,1135,1108,1135
PT,2.0,0.75,LONG,fiz_short_yur_long,12,60m,2243,49.2,0.9,-0.029,108.637,556.4,1140,1103,1140
PT,2.0,0.75,LONG,fiz_short_yur_long,24,120m,2243,49.6,0.89,-0.044,162.558,757.96,1131,1112,1131
PT,2.0,0.75,LONG,fiz_short_yur_long,48,240m,2243,49.2,0.96,-0.019,133.798,1061.42,1139,1104,1139
PT,2.0,0.75,SHORT,fiz_long_yur_short,3,15m,2346,49.2,1.05,0.007,17.04,307.9,1191,1155,1191
PT,2.0,0.75,SHORT,fiz_long_yur_short,6,30m,2346,50.2,1.09,0.015,28.453,426.83,1168,1178,1168
PT,2.0,0.75,SHORT,fiz_long_yur_short,12,60m,2346,50.0,1.03,0.008,50.327,578.66,1173,1173,1173
PT,2.0,0.75,SHORT,fiz_long_yur_short,24,120m,2346,51.2,1.1,0.03,69.196,795.6,1146,1200,1146
PT,2.0,0.75,SHORT,fiz_long_yur_short,48,240m,2346,52.9,1.22,0.092,77.146,1211.16,1105,1241,1105
PT,2.0,1.0,LONG,fiz_short_yur_long,3,15m,1922,50.2,0.97,-0.004,67.856,283.84,957,965,957
PT,2.0,1.0,LONG,fiz_short_yur_long,6,30m,1922,49.4,0.83,-0.036,91.77,327.56,973,949,973
PT,2.0,1.0,LONG,fiz_short_yur_long,12,60m,1922,49.2,0.91,-0.025,90.422,470.14,977,945,977
PT,2.0,1.0,LONG,fiz_short_yur_long,24,120m,1922,49.1,0.87,-0.05,144.786,634.41,978,944,978
PT,2.0,1.0,LONG,fiz_short_yur_long,48,240m,1922,48.8,0.93,-0.034,134.381,881.77,984,938,984
