symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
RN,1.5,0.5,LONG,fiz_short_yur_long,3,15m,4143,49.8,0.94,-0.006,53.879,428.93,2081,2062,2081
RN,1.5,0.5,LONG,fiz_short_yur_long,6,30m,4143,50.0,1.08,0.011,45.22,642.63,2073,2070,2073
RN,1.5,0.5,LONG,fiz_short_yur_long,12,60m,4143,50.6,1.04,0.007,72.084,865.09,2046,2097,2046
RN,1.5,0.5,LONG,fiz_short_yur_long,24,120m,4143,50.6,1.09,0.023,53.123,1178.03,2046,2097,2046
RN,1.5,0.5,LONG,fiz_short_yur_long,48,240m,4143,49.4,1.04,0.014,126.514,1628.88,2096,2047,2096
RN,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,4400,49.5,0.97,-0.003,49.881,449.75,2223,2177,2223
RN,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,4400,48.4,0.95,-0.008,70.078,621.98,2270,2130,2270
RN,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,4400,48.7,0.94,-0.011,78.627,826.48,2259,2141,2259
RN,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,4400,47.7,0.96,-0.011,105.828,1132.27,2302,2098,2302
RN,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,4400,48.4,0.97,-0.012,202.433,1639.69,2272,2128,2272
RN,1.5,0.75,LONG,fiz_short_yur_long,3,15m,3647,49.6,0.94,-0.006,49.657,376.9,1839,1808,1839
RN,1.5,0.75,LONG,fiz_short_yur_long,6,30m,3647,49.9,1.06,0.009,41.45,558.82,1827,1820,1827
RN,1.5,0.75,LONG,fiz_short_yur_long,12,60m,3647,50.6,1.03,0.006,67.527,748.03,1803,1844,1803
RN,1.5,0.75,LONG,fiz_short_yur_long,24,120m,3647,50.2,1.08,0.02,58.519,1015.16,1815,1832,1815
RN,1.5,0.75,LONG,fiz_short_yur_long,48,240m,3647,49.3,1.02,0.006,130.796,1406.09,1848,1799,1848
RN,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,3865,49.9,0.96,-0.005,48.407,397.47,1936,1929,1936
