symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
SE,1.5,0.5,LONG,fiz_short_yur_long,3,15m,448,44.9,1.27,0.046,15.89,96.62,247,201,247
SE,1.5,0.5,LONG,fiz_short_yur_long,6,30m,448,45.5,1.27,0.069,18.037,144.38,244,204,244
SE,1.5,0.5,LONG,fiz_short_yur_long,12,60m,448,46.0,0.9,-0.032,34.307,136.08,242,206,242
SE,1.5,0.5,LONG,fiz_short_yur_long,24,120m,448,43.8,0.91,-0.042,40.746,197.7,252,196,252
SE,1.5,0.5,LONG,fiz_short_yur_long,48,240m,448,42.0,0.76,-0.171,79.98,248.84,260,188,260
SE,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,471,41.6,0.83,-0.046,33.809,107.71,275,196,275
SE,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,471,40.8,0.7,-0.104,56.481,116.17,279,192,279
SE,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,471,37.8,0.66,-0.147,78.32,132.41,293,178,293
SE,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,471,45.9,0.91,-0.044,63.926,210.16,255,216,255
SE,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,471,42.9,0.83,-0.118,129.394,279.61,269,202,269
SE,1.5,0.75,LONG,fiz_short_yur_long,3,15m,389,45.0,1.5,0.076,15.533,89.08,214,175,214
SE,1.5,0.75,LONG,fiz_short_yur_long,6,30m,389,47.8,1.57,0.126,16.122,135.63,203,186,203
SE,1.5,0.75,LONG,fiz_short_yur_long,12,60m,389,47.6,1.12,0.035,20.688,125.53,204,185,204
SE,1.5,0.75,LONG,fiz_short_yur_long,24,120m,389,44.5,0.99,-0.003,38.345,177.52,216,173,216
SE,1.5,0.75,LONG,fiz_short_yur_long,48,240m,389,42.4,0.77,-0.165,66.154,217.15,224,165,224
SE,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,405,40.7,0.81,-0.055,32.441,95.7,240,165,240
SE,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,405,41.2,0.72,-0.103,49.537,105.93,238,167,238
