symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
SF,1.5,0.5,LONG,fiz_short_yur_long,3,15m,920,46.6,1.11,0.167,201.49,1555.39,491,429,491
SF,1.5,0.5,LONG,fiz_short_yur_long,6,30m,920,47.6,0.88,-0.183,469.62,1177.09,482,438,482
SF,1.5,0.5,LONG,fiz_short_yur_long,12,60m,920,45.5,0.82,-0.287,448.434,1209.49,501,419,501
SF,1.5,0.5,LONG,fiz_short_yur_long,24,120m,920,48.9,1.04,0.067,334.729,1768.88,470,450,470
SF,1.5,0.5,LONG,fiz_short_yur_long,48,240m,920,46.5,1.41,0.715,188.822,2274.95,492,428,492
SF,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,974,48.9,2.43,1.382,95.918,2288.82,498,476,498
SF,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,974,48.2,1.69,0.937,196.284,2230.29,505,469,505
SF,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,974,47.8,2.04,1.442,193.911,2752.65,508,466,508
SF,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,974,45.5,1.75,1.356,159.332,3075.34,531,443,531
SF,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,974,47.4,2.17,2.067,186.43,3735.76,512,462,512
SF,1.5,0.75,LONG,fiz_short_yur_long,3,15m,811,46.4,1.09,0.124,218.122,1259.48,435,376,435
SF,1.5,0.75,LONG,fiz_short_yur_long,6,30m,811,47.1,0.9,-0.14,418.025,1046.95,429,382,429
SF,1.5,0.75,LONG,fiz_short_yur_long,12,60m,811,44.1,0.7,-0.499,541.842,963.88,453,358,453
SF,1.5,0.75,LONG,fiz_short_yur_long,24,120m,811,47.8,1.0,-0.002,241.627,1417.67,423,388,423
SF,1.5,0.75,LONG,fiz_short_yur_long,48,240m,811,45.6,1.27,0.498,189.728,1883.97,441,370,441
SF,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,862,48.7,2.29,1.294,96.273,1981.34,442,420,442
SF,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,862,47.9,1.82,1.091,194.913,2092.22,449,413,449
SF,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,862,48.5,2.14,1.615,193.911,2616.6,444,418,444
SF,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,862,46.4,2.01,1.708,144.771,2928.4,462,400,462
