symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
SN,1.5,0.5,LONG,fiz_short_yur_long,3,15m,2774,48.1,1.03,0.005,29.008,473.6,1441,1333,1441
SN,1.5,0.5,LONG,fiz_short_yur_long,6,30m,2774,49.2,1.03,0.007,42.184,593.63,1409,1365,1409
SN,1.5,0.5,LONG,fiz_short_yur_long,12,60m,2774,49.0,1.08,0.021,47.487,832.89,1416,1358,1416
SN,1.5,0.5,LONG,fiz_short_yur_long,24,120m,2774,47.6,0.92,-0.031,100.97,1005.65,1454,1320,1454
SN,1.5,0.5,LONG,fiz_short_yur_long,48,240m,2774,45.9,0.87,-0.076,249.891,1350.49,1502,1272,1502
SN,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,3055,47.6,0.81,-0.03,101.036,396.12,1601,1454,1601
SN,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,3055,47.8,0.92,-0.018,94.977,598.1,1595,1460,1595
SN,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,3055,46.6,0.98,-0.005,73.868,855.82,1630,1425,1630
SN,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,3055,48.1,1.01,0.003,120.644,1132.85,1586,1469,1586
SN,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,3055,47.0,0.94,-0.031,216.59,1533.24,1620,1435,1620
SN,1.5,0.75,LONG,fiz_short_yur_long,3,15m,2362,48.3,1.03,0.004,30.081,413.24,1220,1142,1220
SN,1.5,0.75,LONG,fiz_short_yur_long,6,30m,2362,49.6,1.01,0.002,50.328,507.34,1190,1172,1190
SN,1.5,0.75,LONG,fiz_short_yur_long,12,60m,2362,48.9,1.05,0.016,48.785,714.71,1208,1154,1208
SN,1.5,0.75,LONG,fiz_short_yur_long,24,120m,2362,47.2,0.88,-0.049,128.893,841.64,1246,1116,1246
SN,1.5,0.75,LONG,fiz_short_yur_long,48,240m,2362,45.5,0.84,-0.094,258.872,1146.35,1287,1075,1287
SN,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,2635,47.4,0.84,-0.025,80.814,350.25,1387,1248,1387
SN,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,2635,48.4,0.95,-0.011,76.467,519.66,1360,1275,1360
SN,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,2635,46.2,0.98,-0.006,63.232,732.01,1418,1217,1418
SN,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,2635,48.3,1.01,0.004,115.449,963.4,1361,1274,1361
SN,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,2635,46.9,0.94,-0.032,203.894,1314.84,1400,1235,1400
SN,1.5,1.0,LONG,fiz_short_yur_long,3,15m,1936,47.6,0.97,-0.006,34.744,330.28,1015,921,1015
SN,1.5,1.0,LONG,fiz_short_yur_long,6,30m,1936,49.5,0.99,-0.003,46.808,416.71,977,959,977
SN,1.5,1.0,LONG,fiz_short_yur_long,12,60m,1936,48.9,1.06,0.016,35.314,589.54,990,946,990
SN,1.5,1.0,LONG,fiz_short_yur_long,24,120m,1936,47.3,0.85,-0.06,131.474,672.61,1020,916,1020
SN,1.5,1.0,LONG,fiz_short_yur_long,48,240m,1936,45.7,0.84,-0.096,224.034,949.52,1051,885,1051
SN,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,2159,46.7,0.78,-0.036,84.052,270.84,1151,1008,1151
SN,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,2159,48.1,0.87,-0.028,84.156,395.62,1121,1038,1121
SN,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,2159,45.6,0.91,-0.026,89.576,569.61,1174,985,1174
SN,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,2159,47.2,0.94,-0.02,130.926,746.35,1141,1018,1141
SN,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,2159,47.1,0.95,-0.025,162.088,1078.7,1143,1016,1143
SN,1.5,1.25,LONG,fiz_short_yur_long,3,15m,1497,47.2,0.96,-0.008,29.903,263.85,791,706,791
SN,1.5,1.25,LONG,fiz_short_yur_long,6,30m,1497,49.4,0.98,-0.005,37.724,324.37,758,739,758
SN,1.5,1.25,LONG,fiz_short_yur_long,12,60m,1497,49.6,1.04,0.013,32.691,449.7,755,742,755
SN,1.5,1.25,LONG,fiz_short_yur_long,24,120m,1497,47.8,0.87,-0.053,92.611,517.6,781,716,781
SN,1.5,1.25,LONG,fiz_short_yur_long,48,240m,1497,45.5,0.83,-0.101,182.41,730.76,816,681,816
SN,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,1654,46.5,0.77,-0.037,67.599,204.25,885,769,885
SN,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,1654,48.4,0.88,-0.025,67.605,303.94,854,800,854
SN,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,1654,45.5,0.9,-0.03,89.03,425.59,902,752,902
SN,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,1654,47.2,0.95,-0.019,118.228,564.97,873,781,873
SN,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,1654,47.0,0.96,-0.019,140.414,818.93,876,778,876
SN,1.5,1.5,LONG,fiz_short_yur_long,3,15m,1160,47.1,0.87,-0.025,41.347,197.33,614,546,614
SN,1.5,1.5,LONG,fiz_short_yur_long,6,30m,1160,50.1,0.98,-0.005,42.42,262.04,579,581,579
SN,1.5,1.5,LONG,fiz_short_yur_long,12,60m,1160,49.9,1.02,0.007,30.41,346.16,581,579,581
SN,1.5,1.5,LONG,fiz_short_yur_long,24,120m,1160,48.4,0.83,-0.068,89.912,396.03,599,561,599
SN,1.5,1.5,LONG,fiz_short_yur_long,48,240m,1160,45.9,0.81,-0.113,163.459,553.94,628,532,628
SN,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,1249,45.8,0.72,-0.043,59.349,139.71,677,572,677
SN,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,1249,48.5,0.94,-0.012,40.907,249.76,643,606,643
SN,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,1249,46.1,0.92,-0.024,69.14,339.39,673,576,673
SN,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,1249,47.0,0.98,-0.008,77.585,427.61,662,587,662
SN,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,1249,45.9,0.9,-0.051,138.129,605.16,676,573,676
SN,1.75,0.5,LONG,fiz_short_yur_long,3,15m,2433,47.9,1.06,0.011,23.666,428.35,1268,1165,1268
SN,1.75,0.5,LONG,fiz_short_yur_long,6,30m,2433,49.1,1.03,0.006,42.184,517.74,1238,1195,1238
SN,1.75,0.5,LONG,fiz_short_yur_long,12,60m,2433,49.8,1.12,0.032,34.464,745.4,1221,1212,1221
SN,1.75,0.5,LONG,fiz_short_yur_long,24,120m,2433,48.5,0.96,-0.015,67.191,903.85,1253,1180,1253
SN,1.75,0.5,LONG,fiz_short_yur_long,48,240m,2433,46.4,0.89,-0.062,201.318,1204.53,1303,1130,1303
SN,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,2682,47.7,0.8,-0.032,95.894,350.21,1402,1280,1402
SN,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,2682,47.8,0.88,-0.028,108.189,522.18,1401,1281,1401
SN,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,2682,46.4,0.95,-0.014,92.14,749.49,1438,1244,1438
SN,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,2682,47.9,0.97,-0.01,145.351,978.75,1397,1285,1397
SN,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,2682,47.2,0.94,-0.033,203.63,1348.02,1417,1265,1417
SN,1.75,0.75,LONG,fiz_short_yur_long,3,15m,2057,48.1,1.07,0.012,26.407,372.66,1067,990,1067
SN,1.75,0.75,LONG,fiz_short_yur_long,6,30m,2057,49.5,1.0,0.0,40.936,437.02,1038,1019,1038
SN,1.75,0.75,LONG,fiz_short_yur_long,12,60m,2057,49.6,1.1,0.028,40.944,635.27,1036,1021,1036
SN,1.75,0.75,LONG,fiz_short_yur_long,24,120m,2057,48.3,0.92,-0.032,96.062,750.7,1064,993,1064
SN,1.75,0.75,LONG,fiz_short_yur_long,48,240m,2057,46.1,0.86,-0.081,211.026,1011.82,1108,949,1108
SN,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,2311,47.6,0.85,-0.025,81.359,312.87,1211,1100,1211
SN,1.75,0.75,SHORT,fiz_long_yur_short,6,30m,2311,48.4,0.9,-0.022,90.497,453.39,1192,1119,1192
SN,1.75,0.75,SHORT,fiz_long_yur_short,12,60m,2311,45.9,0.94,-0.019,83.456,635.74,1251,1060,1251
SN,1.75,0.75,SHORT,fiz_long_yur_short,24,120m,2311,48.0,0.97,-0.01,138.199,830.44,1201,1110,1201
SN,1.75,0.75,SHORT,fiz_long_yur_short,48,240m,2311,46.9,0.92,-0.041,200.647,1146.87,1226,1085,1226
SN,1.75,1.0,LONG,fiz_short_yur_long,3,15m,1691,47.1,0.99,-0.001,31.212,298.52,894,797,894
SN,1.75,1.0,LONG,fiz_short_yur_long,6,30m,1691,49.4,0.98,-0.004,38.8,363.17,856,835,856
SN,1.75,1.0,LONG,fiz_short_yur_long,12,60m,1691,49.8,1.1,0.03,32.646,529.0,849,842,849
SN,1.75,1.0,LONG,fiz_short_yur_long,24,120m,1691,48.5,0.89,-0.045,98.518,601.66,871,820,871
SN,1.75,1.0,LONG,fiz_short_yur_long,48,240m,1691,46.6,0.86,-0.08,172.75,845.73,903,788,903
SN,1.75,1.0,SHORT,fiz_long_yur_short,3,15m,1902,46.7,0.78,-0.036,79.924,242.74,1013,889,1013
SN,1.75,1.0,SHORT,fiz_long_yur_short,6,30m,1902,48.1,0.81,-0.041,100.25,344.22,987,915,987
SN,1.75,1.0,SHORT,fiz_long_yur_short,12,60m,1902,45.3,0.89,-0.033,93.604,505.01,1041,861,1041
SN,1.75,1.0,SHORT,fiz_long_yur_short,24,120m,1902,46.8,0.92,-0.029,144.195,650.81,1011,891,1011
SN,1.75,1.0,SHORT,fiz_long_yur_short,48,240m,1902,47.1,0.95,-0.028,152.41,951.6,1006,896,1006
SN,1.75,1.25,LONG,fiz_short_yur_long,3,15m,1298,46.8,0.97,-0.006,27.438,240.04,691,607,691
SN,1.75,1.25,LONG,fiz_short_yur_long,6,30m,1298,49.2,0.94,-0.015,38.439,276.81,660,638,660
SN,1.75,1.25,LONG,fiz_short_yur_long,12,60m,1298,50.7,1.06,0.017,31.737,398.0,640,658,640
SN,1.75,1.25,LONG,fiz_short_yur_long,24,120m,1298,49.2,0.87,-0.052,84.673,455.12,660,638,660
SN,1.75,1.25,LONG,fiz_short_yur_long,48,240m,1298,46.1,0.83,-0.1,157.986,641.85,699,599,699
SN,1.75,1.25,SHORT,fiz_long_yur_short,3,15m,1461,46.5,0.75,-0.041,67.046,181.56,782,679,782
SN,1.75,1.25,SHORT,fiz_long_yur_short,6,30m,1461,48.3,0.82,-0.039,81.978,260.06,755,706,755
SN,1.75,1.25,SHORT,fiz_long_yur_short,12,60m,1461,45.1,0.88,-0.037,90.84,375.11,802,659,802
SN,1.75,1.25,SHORT,fiz_long_yur_short,24,120m,1461,47.1,0.93,-0.025,123.452,490.18,773,688,773
SN,1.75,1.25,SHORT,fiz_long_yur_short,48,240m,1461,47.6,0.98,-0.011,124.621,723.95,765,696,765
SN,1.75,1.5,LONG,fiz_short_yur_long,3,15m,1006,46.1,0.89,-0.023,36.361,179.84,542,464,542
SN,1.75,1.5,LONG,fiz_short_yur_long,6,30m,1006,49.5,0.93,-0.016,36.775,220.3,508,498,508
SN,1.75,1.5,LONG,fiz_short_yur_long,12,60m,1006,51.0,1.06,0.018,30.328,309.37,493,513,493
SN,1.75,1.5,LONG,fiz_short_yur_long,24,120m,1006,49.7,0.84,-0.066,80.778,344.19,506,500,506
SN,1.75,1.5,LONG,fiz_short_yur_long,48,240m,1006,46.7,0.81,-0.111,138.658,482.48,536,470,536
