symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
SP,1.5,0.5,LONG,fiz_short_yur_long,3,15m,1458,48.1,0.91,-0.034,108.35,498.48,757,701,757
SP,1.5,0.5,LONG,fiz_short_yur_long,6,30m,1458,49.3,0.92,-0.04,118.567,663.48,739,719,739
SP,1.5,0.5,LONG,fiz_short_yur_long,12,60m,1458,46.4,1.08,0.052,119.558,1016.55,781,677,781
SP,1.5,0.5,LONG,fiz_short_yur_long,24,120m,1458,48.4,1.02,0.018,167.8,1213.43,753,705,753
SP,1.5,0.5,LONG,fiz_short_yur_long,48,240m,1458,48.3,1.24,0.261,236.097,1964.02,754,704,754
SP,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,1579,48.5,1.09,0.031,62.353,593.64,813,766,813
SP,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,1579,48.3,1.2,0.088,37.343,839.68,817,762,817
SP,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,1579,47.4,1.12,0.071,116.37,1041.63,831,748,831
SP,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,1579,48.4,1.16,0.124,112.644,1390.72,814,765,814
SP,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,1579,48.5,1.11,0.124,233.426,1974.55,813,766,813
SP,1.5,0.75,LONG,fiz_short_yur_long,3,15m,1284,48.3,0.88,-0.048,115.834,439.93,664,620,664
SP,1.5,0.75,LONG,fiz_short_yur_long,6,30m,1284,49.1,0.9,-0.05,112.357,597.65,654,630,654
SP,1.5,0.75,LONG,fiz_short_yur_long,12,60m,1284,46.3,1.09,0.059,87.618,919.46,690,594,690
SP,1.5,0.75,LONG,fiz_short_yur_long,24,120m,1284,48.1,1.03,0.028,143.92,1097.55,667,617,667
SP,1.5,0.75,LONG,fiz_short_yur_long,48,240m,1284,47.7,1.23,0.259,217.691,1776.64,672,612,672
SP,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,1394,48.7,1.12,0.04,43.555,516.57,715,679,715
SP,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,1394,48.1,1.2,0.085,36.289,708.26,723,671,723
SP,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,1394,47.2,1.17,0.094,86.394,911.19,736,658,736
SP,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,1394,48.5,1.19,0.138,117.437,1223.28,718,676,718
SP,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,1394,48.1,1.12,0.129,229.5,1733.19,723,671,723
SP,1.5,1.0,LONG,fiz_short_yur_long,3,15m,1063,47.9,0.78,-0.087,128.038,326.59,554,509,554
SP,1.5,1.0,LONG,fiz_short_yur_long,6,30m,1063,48.4,0.84,-0.081,122.97,464.33,549,514,549
SP,1.5,1.0,LONG,fiz_short_yur_long,12,60m,1063,45.7,0.99,-0.009,110.167,678.46,577,486,577
SP,1.5,1.0,LONG,fiz_short_yur_long,24,120m,1063,47.5,1.01,0.005,136.898,886.58,558,505,558
SP,1.5,1.0,LONG,fiz_short_yur_long,48,240m,1063,47.8,1.18,0.206,205.058,1429.86,555,508,555
SP,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,1150,48.1,1.05,0.018,42.724,408.7,597,553,597
SP,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,1150,47.6,1.2,0.085,52.783,584.95,603,547,603
SP,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,1150,47.0,1.14,0.08,90.767,744.05,610,540,610
SP,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,1150,49.1,1.18,0.132,108.641,1013.58,585,565,585
SP,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,1150,47.7,1.0,-0.004,229.646,1334.99,602,548,602
SP,1.5,1.25,LONG,fiz_short_yur_long,3,15m,863,46.7,0.82,-0.066,87.212,253.12,460,403,460
SP,1.5,1.25,LONG,fiz_short_yur_long,6,30m,863,46.6,0.79,-0.107,111.153,341.72,461,402,461
SP,1.5,1.25,LONG,fiz_short_yur_long,12,60m,863,44.5,1.01,0.008,77.57,518.67,479,384,479
SP,1.5,1.25,LONG,fiz_short_yur_long,24,120m,863,47.0,1.05,0.035,125.937,690.61,457,406,457
SP,1.5,1.25,LONG,fiz_short_yur_long,48,240m,863,46.6,1.17,0.191,197.691,1118.85,461,402,461
SP,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,911,47.2,0.97,-0.011,36.053,300.56,481,430,481
SP,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,911,47.2,1.13,0.055,36.789,426.13,481,430,481
SP,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,911,46.3,1.08,0.043,82.528,545.69,489,422,489
SP,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,911,49.3,1.13,0.096,75.457,759.02,462,449,462
SP,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,911,47.4,0.94,-0.071,249.438,1012.2,479,432,479
SP,1.5,1.5,LONG,fiz_short_yur_long,3,15m,667,47.8,0.83,-0.061,69.419,197.1,348,319,348
SP,1.5,1.5,LONG,fiz_short_yur_long,6,30m,667,46.9,0.83,-0.079,86.395,263.7,354,313,354
SP,1.5,1.5,LONG,fiz_short_yur_long,12,60m,667,45.0,1.0,0.002,63.16,397.1,367,300,367
SP,1.5,1.5,LONG,fiz_short_yur_long,24,120m,667,47.1,1.0,0.001,97.18,506.58,353,314,353
SP,1.5,1.5,LONG,fiz_short_yur_long,48,240m,667,45.6,1.19,0.203,164.018,852.63,363,304,363
SP,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,699,48.6,0.98,-0.007,33.634,223.9,359,340,359
SP,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,699,47.9,1.24,0.096,39.333,345.61,364,335,364
SP,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,699,47.6,1.21,0.105,57.847,432.17,366,333,366
