symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
SS,1.5,0.5,LONG,fiz_short_yur_long,3,15m,705,38.3,0.72,-0.075,56.519,136.16,435,270,435
SS,1.5,0.5,LONG,fiz_short_yur_long,6,30m,705,39.1,0.84,-0.049,47.364,174.44,429,276,429
SS,1.5,0.5,LONG,fiz_short_yur_long,12,60m,705,40.7,0.67,-0.137,98.843,200.36,418,287,418
SS,1.5,0.5,LONG,fiz_short_yur_long,24,120m,705,39.0,0.6,-0.224,158.06,241.34,430,275,430
SS,1.5,0.5,LONG,fiz_short_yur_long,48,240m,705,39.9,0.73,-0.203,143.305,394.8,424,281,424
SS,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,920,39.5,0.85,-0.044,48.13,222.68,557,363,557
SS,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,920,42.4,0.95,-0.017,54.383,298.31,530,390,530
SS,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,920,44.1,0.94,-0.026,82.774,364.88,514,406,514
SS,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,920,42.7,0.82,-0.109,136.702,440.86,527,393,527
SS,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,920,42.1,0.79,-0.162,204.071,551.85,533,387,533
SS,1.5,0.75,LONG,fiz_short_yur_long,3,15m,579,39.2,0.77,-0.059,46.879,114.94,352,227,352
SS,1.5,0.75,LONG,fiz_short_yur_long,6,30m,579,40.9,0.96,-0.01,29.858,156.18,342,237,342
SS,1.5,0.75,LONG,fiz_short_yur_long,12,60m,579,41.5,0.72,-0.116,70.977,169.69,339,240,339
SS,1.5,0.75,LONG,fiz_short_yur_long,24,120m,579,41.1,0.65,-0.194,112.154,208.4,341,238,341
SS,1.5,0.75,LONG,fiz_short_yur_long,48,240m,579,40.2,0.76,-0.183,110.397,337.95,346,233,346
SS,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,839,39.6,0.82,-0.053,48.483,196.95,507,332,507
SS,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,839,42.2,0.9,-0.037,54.789,263.49,485,354,485
SS,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,839,43.1,0.9,-0.045,83.844,326.53,477,362,477
SS,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,839,42.2,0.8,-0.122,127.018,404.85,485,354,485
SS,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,839,41.4,0.77,-0.172,175.449,493.03,492,347,492
SS,1.5,1.0,LONG,fiz_short_yur_long,3,15m,476,39.9,0.86,-0.037,36.723,104.48,286,190,286
SS,1.5,1.0,LONG,fiz_short_yur_long,6,30m,476,41.6,1.01,0.004,23.374,128.99,278,198,278
SS,1.5,1.0,LONG,fiz_short_yur_long,12,60m,476,40.8,0.76,-0.1,51.066,147.27,282,194,282
SS,1.5,1.0,LONG,fiz_short_yur_long,24,120m,476,40.3,0.63,-0.211,100.635,172.3,284,192,284
SS,1.5,1.0,LONG,fiz_short_yur_long,48,240m,476,40.5,0.76,-0.195,105.314,287.03,283,193,283
SS,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,706,39.4,0.79,-0.058,49.818,155.54,428,278,428
SS,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,706,42.5,0.89,-0.039,59.355,221.19,406,300,406
SS,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,706,43.6,0.92,-0.035,72.412,280.89,398,308,398
SS,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,706,42.4,0.82,-0.11,104.873,346.16,407,299,407
SS,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,706,40.9,0.78,-0.165,141.88,414.26,417,289,417
SS,1.5,1.25,LONG,fiz_short_yur_long,3,15m,371,41.2,0.96,-0.009,25.601,83.37,218,153,218
SS,1.5,1.25,LONG,fiz_short_yur_long,6,30m,371,40.7,1.06,0.014,13.323,94.01,220,151,220
SS,1.5,1.25,LONG,fiz_short_yur_long,12,60m,371,41.0,0.75,-0.107,44.173,116.32,219,152,219
SS,1.5,1.25,LONG,fiz_short_yur_long,24,120m,371,41.0,0.58,-0.24,89.558,124.52,219,152,219
SS,1.5,1.25,LONG,fiz_short_yur_long,48,240m,371,41.5,0.73,-0.22,101.922,219.49,217,154,217
SS,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,561,39.2,0.75,-0.078,48.503,130.77,341,220,341
SS,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,561,42.2,0.9,-0.039,40.426,189.37,324,237,324
SS,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,561,44.9,0.95,-0.021,58.02,244.91,309,252,309
SS,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,561,40.8,0.8,-0.126,105.133,282.5,332,229,332
SS,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,561,41.5,0.81,-0.143,121.22,352.52,328,233,328
SS,1.5,1.5,LONG,fiz_short_yur_long,3,15m,288,40.6,0.86,-0.035,25.727,60.76,171,117,171
