symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
SV,1.5,0.5,LONG,fiz_short_yur_long,3,15m,5356,47.0,1.1,0.009,13.32,574.18,2840,2516,2840
SV,1.5,0.5,LONG,fiz_short_yur_long,6,30m,5356,49.6,1.05,0.007,26.733,782.02,2698,2658,2698
SV,1.5,0.5,LONG,fiz_short_yur_long,12,60m,5356,51.3,1.06,0.011,57.051,1122.41,2608,2748,2608
SV,1.5,0.5,LONG,fiz_short_yur_long,24,120m,5356,51.9,1.1,0.028,87.897,1723.27,2578,2778,2578
SV,1.5,0.5,LONG,fiz_short_yur_long,48,240m,5356,52.2,1.17,0.071,115.012,2600.33,2558,2798,2558
SV,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,5272,47.3,1.04,0.004,24.25,576.81,2776,2496,2776
SV,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,5272,48.1,1.05,0.007,48.917,788.32,2734,2538,2734
SV,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,5272,50.1,1.09,0.017,63.018,1070.49,2632,2640,2632
SV,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,5272,49.7,1.15,0.041,53.445,1667.98,2653,2619,2653
SV,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,5272,49.7,1.12,0.05,115.16,2380.61,2652,2620,2652
SV,1.5,0.75,LONG,fiz_short_yur_long,3,15m,4731,46.8,1.09,0.009,14.363,495.89,2518,2213,2518
SV,1.5,0.75,LONG,fiz_short_yur_long,6,30m,4731,49.6,1.04,0.006,27.162,680.76,2386,2345,2386
SV,1.5,0.75,LONG,fiz_short_yur_long,12,60m,4731,51.3,1.04,0.009,45.442,962.96,2304,2427,2304
SV,1.5,0.75,LONG,fiz_short_yur_long,24,120m,4731,51.8,1.07,0.02,74.321,1483.14,2278,2453,2278
SV,1.5,0.75,LONG,fiz_short_yur_long,48,240m,4731,52.2,1.15,0.063,97.411,2266.35,2262,2469,2262
SV,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,4643,47.6,1.07,0.007,18.511,514.8,2434,2209,2434
SV,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,4643,48.6,1.09,0.012,50.711,697.78,2388,2255,2388
SV,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,4643,50.2,1.11,0.02,57.112,944.87,2310,2333,2310
SV,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,4643,49.6,1.17,0.045,57.122,1462.4,2338,2305,2338
SV,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,4643,49.9,1.14,0.054,130.299,2108.55,2328,2315,2328
SV,1.5,1.0,LONG,fiz_short_yur_long,3,15m,4014,46.9,1.12,0.011,14.662,415.76,2132,1882,2132
SV,1.5,1.0,LONG,fiz_short_yur_long,6,30m,4014,49.7,1.04,0.005,22.138,559.58,2018,1996,2018
SV,1.5,1.0,LONG,fiz_short_yur_long,12,60m,4014,51.2,1.05,0.01,39.256,785.82,1959,2055,1959
SV,1.5,1.0,LONG,fiz_short_yur_long,24,120m,4014,52.4,1.07,0.02,70.17,1217.07,1910,2104,1910
