symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
TN,1.5,0.5,LONG,fiz_short_yur_long,3,15m,795,43.5,0.96,-0.007,24.385,119.02,449,346,449
TN,1.5,0.5,LONG,fiz_short_yur_long,6,30m,795,43.5,1.02,0.003,28.592,148.26,449,346,449
TN,1.5,0.5,LONG,fiz_short_yur_long,12,60m,795,43.8,0.9,-0.022,36.313,162.42,447,348,447
TN,1.5,0.5,LONG,fiz_short_yur_long,24,120m,795,43.6,1.21,0.051,23.817,233.87,448,347,448
TN,1.5,0.5,LONG,fiz_short_yur_long,48,240m,795,43.1,0.85,-0.059,70.098,271.64,452,343,452
TN,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,850,43.6,0.9,-0.016,38.485,122.71,479,371,479
TN,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,850,44.1,0.91,-0.016,27.623,134.26,475,375,475
TN,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,850,44.9,1.11,0.023,24.004,200.02,468,382,468
TN,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,850,40.5,0.81,-0.058,51.747,205.19,506,344,506
TN,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,850,44.8,0.9,-0.036,82.065,270.29,469,381,469
TN,1.5,0.75,LONG,fiz_short_yur_long,3,15m,687,44.5,0.96,-0.006,22.983,98.25,381,306,381
TN,1.5,0.75,LONG,fiz_short_yur_long,6,30m,687,43.8,1.0,-0.001,25.495,126.82,386,301,386
TN,1.5,0.75,LONG,fiz_short_yur_long,12,60m,687,44.1,0.91,-0.021,32.556,139.73,384,303,384
TN,1.5,0.75,LONG,fiz_short_yur_long,24,120m,687,44.4,1.29,0.069,22.228,209.85,382,305,382
TN,1.5,0.75,LONG,fiz_short_yur_long,48,240m,687,43.5,0.88,-0.049,64.171,244.15,388,299,388
TN,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,748,43.6,0.94,-0.01,33.657,108.54,422,326,422
TN,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,748,44.3,0.99,-0.002,16.877,123.38,417,331,417
TN,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,748,45.2,1.09,0.019,18.918,170.42,410,338,410
TN,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,748,39.8,0.81,-0.057,45.25,179.23,450,298,450
TN,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,748,44.7,0.88,-0.043,77.564,234.9,414,334,414
TN,1.5,1.0,LONG,fiz_short_yur_long,3,15m,550,45.6,0.96,-0.007,27.615,81.54,299,251,299
TN,1.5,1.0,LONG,fiz_short_yur_long,6,30m,550,45.3,0.97,-0.006,31.194,101.53,301,249,301
TN,1.5,1.0,LONG,fiz_short_yur_long,12,60m,550,44.2,0.76,-0.055,43.632,97.42,307,243,307
TN,1.5,1.0,LONG,fiz_short_yur_long,24,120m,550,43.1,1.18,0.043,20.502,158.15,313,237,313
TN,1.5,1.0,LONG,fiz_short_yur_long,48,240m,550,43.3,0.78,-0.092,68.073,175.73,312,238,312
TN,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,599,44.6,0.94,-0.01,30.206,92.23,332,267,332
TN,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,599,44.1,0.97,-0.005,23.721,102.1,335,264,335
TN,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,599,44.4,1.08,0.017,13.264,137.26,333,266,333
TN,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,599,39.6,0.8,-0.061,36.599,143.06,362,237,362
TN,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,599,44.4,0.88,-0.04,55.65,186.66,333,266,333
TN,1.5,1.25,LONG,fiz_short_yur_long,3,15m,413,45.8,1.26,0.032,12.275,64.73,224,189,224
TN,1.5,1.25,LONG,fiz_short_yur_long,6,30m,413,45.0,0.94,-0.011,20.88,70.61,227,186,227
TN,1.5,1.25,LONG,fiz_short_yur_long,12,60m,413,45.3,0.74,-0.062,33.461,73.45,226,187,226
TN,1.5,1.25,LONG,fiz_short_yur_long,24,120m,413,43.3,1.33,0.077,12.974,129.76,234,179,234
TN,1.5,1.25,LONG,fiz_short_yur_long,48,240m,413,43.8,0.79,-0.09,58.97,138.04,232,181,232
TN,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,478,43.9,0.75,-0.045,33.25,66.35,268,210,268
TN,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,478,44.4,0.89,-0.02,23.991,77.12,266,212,266
TN,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,478,44.8,1.14,0.029,13.149,115.2,264,214,264
TN,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,478,40.6,0.83,-0.051,31.338,115.99,284,194,284
TN,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,478,45.4,0.89,-0.036,38.186,146.47,261,217,261
TN,1.5,1.5,LONG,fiz_short_yur_long,3,15m,331,45.0,1.26,0.031,9.25,49.67,182,149,182
TN,1.5,1.5,LONG,fiz_short_yur_long,6,30m,331,43.8,0.84,-0.028,18.165,49.03,186,145,186
TN,1.5,1.5,LONG,fiz_short_yur_long,12,60m,331,45.3,0.75,-0.061,31.19,59.74,181,150,181
TN,1.5,1.5,LONG,fiz_short_yur_long,24,120m,331,43.5,1.5,0.106,10.104,104.94,187,144,187
