symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
TT,1.5,0.5,LONG,fiz_short_yur_long,3,15m,1654,45.1,0.94,-0.009,43.715,239.45,908,746,908
TT,1.5,0.5,LONG,fiz_short_yur_long,6,30m,1654,44.1,0.93,-0.012,41.81,273.89,925,729,925
TT,1.5,0.5,LONG,fiz_short_yur_long,12,60m,1654,46.3,1.13,0.029,29.218,410.75,889,765,889
TT,1.5,0.5,LONG,fiz_short_yur_long,24,120m,1654,44.7,1.06,0.017,38.688,476.86,914,740,914
TT,1.5,0.5,LONG,fiz_short_yur_long,48,240m,1654,45.0,0.95,-0.02,108.076,608.04,910,744,910
TT,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,1686,43.4,0.98,-0.003,27.507,216.29,954,732,954
TT,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,1686,43.4,1.01,0.001,29.138,276.32,955,731,955
TT,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,1686,43.2,0.97,-0.008,51.33,358.49,957,729,957
TT,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,1686,45.2,0.98,-0.006,68.922,455.44,924,762,924
TT,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,1686,45.6,0.9,-0.038,86.187,593.95,918,768,918
TT,1.5,0.75,LONG,fiz_short_yur_long,3,15m,1461,45.3,0.94,-0.009,29.539,211.07,799,662,799
TT,1.5,0.75,LONG,fiz_short_yur_long,6,30m,1461,43.8,0.91,-0.017,37.553,241.59,821,640,821
TT,1.5,0.75,LONG,fiz_short_yur_long,12,60m,1461,45.8,1.13,0.028,28.937,366.65,792,669,792
TT,1.5,0.75,LONG,fiz_short_yur_long,24,120m,1461,44.3,1.06,0.017,35.104,429.11,814,647,814
TT,1.5,0.75,LONG,fiz_short_yur_long,48,240m,1461,44.5,0.92,-0.031,89.437,532.99,811,650,811
TT,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,1478,43.3,0.97,-0.004,29.037,188.63,838,640,838
TT,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,1478,43.5,1.04,0.007,24.911,245.12,835,643,835
TT,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,1478,42.8,0.94,-0.014,53.349,308.58,846,632,846
TT,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,1478,44.7,0.96,-0.011,69.524,396.93,818,660,818
TT,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,1478,44.8,0.91,-0.037,80.915,521.25,816,662,816
TT,1.5,1.0,LONG,fiz_short_yur_long,3,15m,1225,46.0,1.03,0.004,19.911,184.81,661,564,661
TT,1.5,1.0,LONG,fiz_short_yur_long,6,30m,1225,44.0,0.98,-0.004,30.19,207.67,686,539,686
TT,1.5,1.0,LONG,fiz_short_yur_long,12,60m,1225,46.3,1.18,0.041,26.601,324.25,658,567,658
TT,1.5,1.0,LONG,fiz_short_yur_long,24,120m,1225,44.2,1.13,0.035,24.682,373.34,683,542,683
TT,1.5,1.0,LONG,fiz_short_yur_long,48,240m,1225,45.6,0.97,-0.013,62.639,462.27,666,559,666
TT,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,1248,43.8,0.97,-0.003,22.478,158.78,701,547,701
TT,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,1248,44.2,1.0,-0.001,27.384,190.33,696,552,696
TT,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,1248,43.2,0.94,-0.013,38.638,259.02,709,539,709
TT,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,1248,45.0,1.0,-0.001,58.449,336.18,687,561,687
TT,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,1248,45.1,0.92,-0.031,65.573,438.69,685,563,685
TT,1.5,1.25,LONG,fiz_short_yur_long,3,15m,975,46.4,1.08,0.012,16.478,157.65,523,452,523
TT,1.5,1.25,LONG,fiz_short_yur_long,6,30m,975,43.8,1.06,0.01,25.128,180.3,548,427,548
TT,1.5,1.25,LONG,fiz_short_yur_long,12,60m,975,45.3,1.13,0.03,21.854,257.89,533,442,533
TT,1.5,1.25,LONG,fiz_short_yur_long,24,120m,975,44.9,1.16,0.044,33.386,305.17,537,438,537
TT,1.5,1.25,LONG,fiz_short_yur_long,48,240m,975,45.7,0.97,-0.013,50.778,375.58,529,446,529
TT,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,1015,44.9,0.97,-0.004,21.238,136.86,559,456,559
TT,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,1015,44.6,0.97,-0.005,23.032,155.47,562,453,562
TT,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,1015,42.9,0.93,-0.017,34.837,212.71,580,435,580
TT,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,1015,44.5,1.0,0.0,49.029,277.09,563,452,563
TT,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,1015,45.8,0.97,-0.013,52.945,372.99,550,465,550
TT,1.5,1.5,LONG,fiz_short_yur_long,3,15m,764,45.9,1.06,0.009,16.416,117.22,413,351,413
TT,1.5,1.5,LONG,fiz_short_yur_long,6,30m,764,43.8,1.12,0.02,22.061,141.21,429,335,429
TT,1.5,1.5,LONG,fiz_short_yur_long,12,60m,764,44.9,1.14,0.032,16.409,200.43,421,343,421
TT,1.5,1.5,LONG,fiz_short_yur_long,24,120m,764,45.5,1.19,0.049,24.708,238.53,416,348,416
TT,1.5,1.5,LONG,fiz_short_yur_long,48,240m,764,46.7,1.03,0.013,37.718,303.92,407,357,407
TT,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,796,47.0,1.15,0.02,18.139,116.45,422,374,422
TT,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,796,45.5,1.08,0.011,20.43,127.19,434,362,434
TT,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,796,43.7,0.94,-0.015,31.099,172.07,448,348,448
TT,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,796,45.1,1.04,0.011,44.74,227.63,437,359,437
TT,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,796,46.5,0.98,-0.008,46.788,288.56,426,370,426
TT,1.75,0.5,LONG,fiz_short_yur_long,3,15m,1428,45.4,0.92,-0.013,42.236,213.33,779,649,779
TT,1.75,0.5,LONG,fiz_short_yur_long,6,30m,1428,44.2,0.94,-0.01,37.996,246.69,797,631,797
TT,1.75,0.5,LONG,fiz_short_yur_long,12,60m,1428,46.8,1.11,0.024,35.628,354.5,760,668,760
TT,1.75,0.5,LONG,fiz_short_yur_long,24,120m,1428,45.0,1.06,0.017,38.774,408.86,785,643,785
TT,1.75,0.5,LONG,fiz_short_yur_long,48,240m,1428,45.2,0.94,-0.024,88.884,521.31,783,645,783
TT,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,1480,43.6,1.02,0.002,21.782,195.42,834,646,834
TT,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,1480,43.9,1.11,0.017,21.541,252.82,831,649,831
TT,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,1480,43.9,0.98,-0.005,35.737,316.19,831,649,831
TT,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,1480,45.5,1.0,-0.0,44.203,397.59,806,674,806
TT,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,1480,46.0,0.94,-0.025,64.071,530.92,799,681,799
TT,1.75,0.75,LONG,fiz_short_yur_long,3,15m,1255,45.7,0.91,-0.014,29.445,186.19,681,574,681
TT,1.75,0.75,LONG,fiz_short_yur_long,6,30m,1255,44.0,0.92,-0.015,31.69,215.87,703,552,703
TT,1.75,0.75,LONG,fiz_short_yur_long,12,60m,1255,46.3,1.08,0.019,31.106,312.97,674,581,674
TT,1.75,0.75,LONG,fiz_short_yur_long,24,120m,1255,44.5,1.05,0.014,32.721,364.48,697,558,697
TT,1.75,0.75,LONG,fiz_short_yur_long,48,240m,1255,44.5,0.9,-0.041,78.553,451.01,697,558,697
TT,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,1300,43.4,1.01,0.001,24.242,172.18,736,564,736
TT,1.75,0.75,SHORT,fiz_long_yur_short,6,30m,1300,43.8,1.15,0.023,18.65,224.52,730,570,730
TT,1.75,0.75,SHORT,fiz_long_yur_short,12,60m,1300,43.4,0.94,-0.013,38.417,273.1,736,564,736
TT,1.75,0.75,SHORT,fiz_long_yur_short,24,120m,1300,45.2,0.98,-0.006,48.645,344.12,713,587,713
TT,1.75,0.75,SHORT,fiz_long_yur_short,48,240m,1300,45.4,0.94,-0.024,59.57,464.54,710,590,710
TT,1.75,1.0,LONG,fiz_short_yur_long,3,15m,1057,46.5,0.99,-0.001,19.883,161.61,565,492,565
TT,1.75,1.0,LONG,fiz_short_yur_long,6,30m,1057,44.8,1.0,0.0,22.809,185.42,583,474,583
TT,1.75,1.0,LONG,fiz_short_yur_long,12,60m,1057,47.1,1.13,0.03,27.499,275.49,559,498,559
TT,1.75,1.0,LONG,fiz_short_yur_long,24,120m,1057,44.0,1.11,0.029,29.453,313.4,592,465,592
TT,1.75,1.0,LONG,fiz_short_yur_long,48,240m,1057,45.5,0.94,-0.022,59.763,391.31,576,481,576
TT,1.75,1.0,SHORT,fiz_long_yur_short,3,15m,1096,43.7,1.0,0.0,21.965,143.77,617,479,617
TT,1.75,1.0,SHORT,fiz_long_yur_short,6,30m,1096,44.5,1.12,0.018,18.538,176.02,608,488,608
TT,1.75,1.0,SHORT,fiz_long_yur_short,12,60m,1096,43.5,0.92,-0.017,30.821,227.04,619,477,619
TT,1.75,1.0,SHORT,fiz_long_yur_short,24,120m,1096,45.3,0.99,-0.002,46.588,287.5,599,497,599
TT,1.75,1.0,SHORT,fiz_long_yur_short,48,240m,1096,45.7,0.93,-0.026,52.419,387.53,595,501,595
TT,1.75,1.25,LONG,fiz_short_yur_long,3,15m,848,47.2,1.03,0.004,19.215,137.42,448,400,448
TT,1.75,1.25,LONG,fiz_short_yur_long,6,30m,848,44.5,1.05,0.009,19.257,161.31,471,377,471
TT,1.75,1.25,LONG,fiz_short_yur_long,12,60m,848,46.2,1.11,0.026,24.17,226.39,456,392,456
TT,1.75,1.25,LONG,fiz_short_yur_long,24,120m,848,44.5,1.1,0.028,30.676,254.22,471,377,471
TT,1.75,1.25,LONG,fiz_short_yur_long,48,240m,848,45.4,0.94,-0.025,42.463,319.24,463,385,463
TT,1.75,1.25,SHORT,fiz_long_yur_short,3,15m,887,44.8,0.99,-0.002,21.422,122.81,490,397,490
TT,1.75,1.25,SHORT,fiz_long_yur_short,6,30m,887,44.8,1.07,0.01,17.461,142.29,490,397,490
TT,1.75,1.25,SHORT,fiz_long_yur_short,12,60m,887,43.4,0.9,-0.024,31.95,183.84,502,385,502
TT,1.75,1.25,SHORT,fiz_long_yur_short,24,120m,887,45.1,0.99,-0.003,37.936,236.35,487,400,487
TT,1.75,1.25,SHORT,fiz_long_yur_short,48,240m,887,46.3,0.98,-0.007,42.725,330.51,476,411,476
TT,1.75,1.5,LONG,fiz_short_yur_long,3,15m,658,46.5,1.02,0.003,15.555,102.89,352,306,352
TT,1.75,1.5,LONG,fiz_short_yur_long,6,30m,658,44.2,1.12,0.02,17.202,124.94,367,291,367
TT,1.75,1.5,LONG,fiz_short_yur_long,12,60m,658,45.7,1.14,0.033,16.034,175.48,357,301,357
TT,1.75,1.5,LONG,fiz_short_yur_long,24,120m,658,45.0,1.13,0.035,23.443,196.62,362,296,362
