symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
VB,1.5,0.5,LONG,fiz_short_yur_long,3,15m,4645,45.9,1.8,0.103,33.077,1080.65,2512,2133,2512
VB,1.5,0.5,LONG,fiz_short_yur_long,6,30m,4645,47.3,1.58,0.107,58.045,1362.02,2449,2196,2449
VB,1.5,0.5,LONG,fiz_short_yur_long,12,60m,4645,47.8,1.4,0.1,82.886,1639.36,2426,2219,2426
VB,1.5,0.5,LONG,fiz_short_yur_long,24,120m,4645,46.8,1.2,0.07,132.57,1940.34,2472,2173,2472
VB,1.5,0.5,LONG,fiz_short_yur_long,48,240m,4645,47.2,2.87,0.773,131.226,5517.37,2453,2192,2453
VB,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,5282,46.6,1.17,0.019,27.695,676.99,2818,2464,2818
VB,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,5282,47.7,1.07,0.01,79.775,873.59,2765,2517,2765
VB,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,5282,47.0,0.99,-0.002,138.023,1082.36,2800,2482,2800
VB,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,5282,47.5,1.01,0.003,140.244,1528.55,2775,2507,2775
VB,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,5282,46.4,1.12,0.044,199.273,2220.93,2831,2451,2831
VB,1.5,0.75,LONG,fiz_short_yur_long,3,15m,4201,45.9,1.88,0.114,29.672,1023.19,2271,1930,2271
VB,1.5,0.75,LONG,fiz_short_yur_long,6,30m,4201,47.0,1.61,0.114,61.474,1268.34,2225,1976,2225
VB,1.5,0.75,LONG,fiz_short_yur_long,12,60m,4201,48.2,1.45,0.113,75.827,1541.31,2178,2023,2178
VB,1.5,0.75,LONG,fiz_short_yur_long,24,120m,4201,47.1,1.24,0.082,126.629,1811.38,2224,1977,2224
