symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
W4,1.5,0.5,LONG,fiz_short_yur_long,3,15m,76,55.3,0.98,-0.007,6.93,23.38,34,42,34
W4,1.5,0.5,LONG,fiz_short_yur_long,6,30m,76,57.9,1.34,0.119,7.117,35.95,32,44,32
W4,1.5,0.5,LONG,fiz_short_yur_long,12,60m,76,53.9,0.97,-0.015,7.481,33.72,35,41,35
W4,1.5,0.5,LONG,fiz_short_yur_long,24,120m,76,51.3,1.23,0.104,6.823,41.54,37,39,37
W4,1.5,0.5,LONG,fiz_short_yur_long,48,240m,76,52.6,1.26,0.162,15.756,59.26,36,40,36
W4,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,194,45.4,1.2,0.075,13.026,85.35,106,88,106
W4,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,194,46.9,1.17,0.065,22.387,88.86,103,91,103
W4,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,194,46.4,0.91,-0.044,25.943,90.81,104,90,104
W4,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,194,47.9,1.22,0.103,20.091,111.73,101,93,101
W4,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,194,49.0,0.99,-0.007,46.345,140.85,99,95,99
W4,1.5,0.75,LONG,fiz_short_yur_long,3,15m,67,59.7,1.02,0.006,5.995,22.67,27,40,27
W4,1.5,0.75,LONG,fiz_short_yur_long,6,30m,67,59.7,1.42,0.154,7.117,34.65,27,40,27
W4,1.5,0.75,LONG,fiz_short_yur_long,12,60m,67,55.2,1.05,0.021,6.768,32.35,30,37,30
W4,1.5,0.75,LONG,fiz_short_yur_long,24,120m,67,53.7,1.33,0.15,6.823,40.26,31,36,31
W4,1.5,0.75,LONG,fiz_short_yur_long,48,240m,67,55.2,1.33,0.194,12.309,52.15,30,37,30
W4,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,169,46.2,1.38,0.123,14.161,76.03,91,78,91
W4,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,169,48.5,1.19,0.077,19.192,80.12,87,82,87
W4,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,169,45.0,0.82,-0.101,27.21,76.4,93,76,93
W4,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,169,47.3,1.12,0.062,20.237,97.77,89,80,89
W4,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,169,47.9,0.94,-0.045,53.479,122.52,88,81,88
W4,1.5,1.0,LONG,fiz_short_yur_long,3,15m,56,66.1,1.03,0.009,6.94,20.56,19,37,19
W4,1.5,1.0,LONG,fiz_short_yur_long,6,30m,56,62.5,1.39,0.164,7.997,32.67,21,35,21
W4,1.5,1.0,LONG,fiz_short_yur_long,12,60m,56,57.1,1.15,0.068,6.768,29.56,24,32,24
W4,1.5,1.0,LONG,fiz_short_yur_long,24,120m,56,58.9,1.47,0.215,8.219,37.85,23,33,23
W4,1.5,1.0,LONG,fiz_short_yur_long,48,240m,56,58.9,1.52,0.267,6.934,43.49,23,33,23
W4,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,142,45.1,1.48,0.136,16.114,59.17,78,64,78
W4,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,142,47.9,1.19,0.075,17.398,66.98,74,68,74
W4,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,142,46.5,0.71,-0.172,30.371,61.3,76,66,76
W4,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,142,45.1,1.04,0.022,20.429,81.2,78,64,78
W4,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,142,47.9,0.88,-0.097,44.683,101.81,74,68,74
W4,1.5,1.25,LONG,fiz_short_yur_long,3,15m,41,68.3,0.91,-0.027,4.483,10.96,13,28,13
W4,1.5,1.25,LONG,fiz_short_yur_long,6,30m,41,68.3,1.85,0.261,4.58,23.36,13,28,13
