symbol,vol_z_thr,div_z_thr,direction,dir_label,horizon,horizon_label,n_signals,win_rate,profit_factor,avg_return,max_drawdown,gains,losses,wins,losses
YD,1.5,0.5,LONG,fiz_short_yur_long,3,15m,2457,46.9,0.96,-0.006,28.817,333.95,1305,1152,1305
YD,1.5,0.5,LONG,fiz_short_yur_long,6,30m,2457,47.5,0.91,-0.016,59.337,419.39,1291,1166,1291
YD,1.5,0.5,LONG,fiz_short_yur_long,12,60m,2457,47.1,1.01,0.002,45.841,584.65,1299,1158,1299
YD,1.5,0.5,LONG,fiz_short_yur_long,24,120m,2457,46.7,1.07,0.022,59.891,859.19,1309,1148,1309
YD,1.5,0.5,LONG,fiz_short_yur_long,48,240m,2457,47.7,1.14,0.06,65.009,1201.85,1285,1172,1285
YD,1.5,0.5,SHORT,fiz_long_yur_short,3,15m,2935,45.1,0.92,-0.012,65.842,385.45,1610,1325,1610
YD,1.5,0.5,SHORT,fiz_long_yur_short,6,30m,2935,46.6,1.02,0.004,65.91,541.36,1566,1369,1566
YD,1.5,0.5,SHORT,fiz_long_yur_short,12,60m,2935,47.0,1.01,0.003,86.428,716.27,1555,1380,1555
YD,1.5,0.5,SHORT,fiz_long_yur_short,24,120m,2935,48.4,1.01,0.002,95.706,939.69,1513,1422,1513
YD,1.5,0.5,SHORT,fiz_long_yur_short,48,240m,2935,48.9,1.03,0.012,143.061,1311.74,1500,1435,1500
YD,1.5,0.75,LONG,fiz_short_yur_long,3,15m,2184,47.1,0.95,-0.007,31.775,297.57,1156,1028,1156
YD,1.5,0.75,LONG,fiz_short_yur_long,6,30m,2184,47.0,0.87,-0.024,66.014,360.33,1157,1027,1157
YD,1.5,0.75,LONG,fiz_short_yur_long,12,60m,2184,46.9,0.99,-0.002,43.195,517.09,1160,1024,1160
YD,1.5,0.75,LONG,fiz_short_yur_long,24,120m,2184,47.0,1.11,0.036,54.756,784.28,1157,1027,1157
YD,1.5,0.75,LONG,fiz_short_yur_long,48,240m,2184,47.5,1.18,0.074,69.219,1079.66,1147,1037,1147
YD,1.5,0.75,SHORT,fiz_long_yur_short,3,15m,2637,45.1,0.91,-0.013,64.793,341.69,1448,1189,1448
YD,1.5,0.75,SHORT,fiz_long_yur_short,6,30m,2637,46.6,1.04,0.008,53.912,491.68,1408,1229,1408
YD,1.5,0.75,SHORT,fiz_long_yur_short,12,60m,2637,46.9,1.03,0.008,73.047,651.74,1400,1237,1400
YD,1.5,0.75,SHORT,fiz_long_yur_short,24,120m,2637,48.9,1.02,0.006,82.797,850.28,1348,1289,1348
YD,1.5,0.75,SHORT,fiz_long_yur_short,48,240m,2637,48.7,1.04,0.017,124.951,1186.03,1353,1284,1353
YD,1.5,1.0,LONG,fiz_short_yur_long,3,15m,1849,47.2,0.98,-0.003,25.139,253.31,977,872,977
YD,1.5,1.0,LONG,fiz_short_yur_long,6,30m,1849,47.3,0.89,-0.02,50.597,305.81,975,874,975
YD,1.5,1.0,LONG,fiz_short_yur_long,12,60m,1849,46.7,0.94,-0.015,50.197,416.23,985,864,985
YD,1.5,1.0,LONG,fiz_short_yur_long,24,120m,1849,46.7,1.12,0.039,49.517,665.35,985,864,985
YD,1.5,1.0,LONG,fiz_short_yur_long,48,240m,1849,47.4,1.18,0.075,53.758,918.84,972,877,972
YD,1.5,1.0,SHORT,fiz_long_yur_short,3,15m,2293,45.6,0.95,-0.007,49.031,301.59,1247,1046,1247
YD,1.5,1.0,SHORT,fiz_long_yur_short,6,30m,2293,47.3,1.09,0.016,36.749,431.27,1209,1084,1209
YD,1.5,1.0,SHORT,fiz_long_yur_short,12,60m,2293,47.0,1.05,0.011,59.569,569.31,1215,1078,1215
YD,1.5,1.0,SHORT,fiz_long_yur_short,24,120m,2293,49.5,1.06,0.017,64.597,754.79,1157,1136,1157
YD,1.5,1.0,SHORT,fiz_long_yur_short,48,240m,2293,48.6,1.04,0.019,97.275,1029.4,1178,1115,1178
YD,1.5,1.25,LONG,fiz_short_yur_long,3,15m,1486,47.5,0.98,-0.002,32.383,207.5,780,706,780
YD,1.5,1.25,LONG,fiz_short_yur_long,6,30m,1486,47.6,0.91,-0.017,40.215,246.16,779,707,779
YD,1.5,1.25,LONG,fiz_short_yur_long,12,60m,1486,47.8,1.0,-0.001,41.795,351.25,775,711,775
YD,1.5,1.25,LONG,fiz_short_yur_long,24,120m,1486,48.0,1.17,0.056,42.922,560.27,772,714,772
YD,1.5,1.25,LONG,fiz_short_yur_long,48,240m,1486,48.5,1.19,0.082,50.79,761.69,766,720,766
YD,1.5,1.25,SHORT,fiz_long_yur_short,3,15m,1898,45.0,0.96,-0.005,36.241,250.99,1043,855,1043
YD,1.5,1.25,SHORT,fiz_long_yur_short,6,30m,1898,46.5,1.1,0.018,27.711,360.44,1015,883,1015
YD,1.5,1.25,SHORT,fiz_long_yur_short,12,60m,1898,46.6,1.07,0.017,49.087,483.73,1013,885,1013
YD,1.5,1.25,SHORT,fiz_long_yur_short,24,120m,1898,50.1,1.06,0.019,52.144,627.55,948,950,948
YD,1.5,1.25,SHORT,fiz_long_yur_short,48,240m,1898,49.2,1.03,0.015,82.608,829.59,964,934,964
YD,1.5,1.5,LONG,fiz_short_yur_long,3,15m,1167,46.3,1.05,0.006,15.841,163.31,627,540,627
YD,1.5,1.5,LONG,fiz_short_yur_long,6,30m,1167,48.5,0.98,-0.004,24.161,204.46,601,566,601
YD,1.5,1.5,LONG,fiz_short_yur_long,12,60m,1167,48.0,1.07,0.015,35.003,285.37,607,560,607
YD,1.5,1.5,LONG,fiz_short_yur_long,24,120m,1167,48.8,1.23,0.072,39.795,448.28,598,569,598
YD,1.5,1.5,LONG,fiz_short_yur_long,48,240m,1167,48.6,1.21,0.089,40.513,606.1,600,567,600
YD,1.5,1.5,SHORT,fiz_long_yur_short,3,15m,1489,45.4,0.99,-0.001,29.798,205.21,813,676,813
YD,1.5,1.5,SHORT,fiz_long_yur_short,6,30m,1489,46.2,1.03,0.005,33.079,272.16,801,688,801
YD,1.5,1.5,SHORT,fiz_long_yur_short,12,60m,1489,46.5,1.04,0.009,39.264,379.41,797,692,797
YD,1.5,1.5,SHORT,fiz_long_yur_short,24,120m,1489,49.4,1.01,0.003,56.228,476.31,754,735,754
YD,1.5,1.5,SHORT,fiz_long_yur_short,48,240m,1489,49.0,1.02,0.009,56.885,650.76,759,730,759
YD,1.75,0.5,LONG,fiz_short_yur_long,3,15m,2177,46.9,0.9,-0.014,42.777,284.07,1157,1020,1157
YD,1.75,0.5,LONG,fiz_short_yur_long,6,30m,2177,46.9,0.87,-0.025,63.314,363.76,1156,1021,1156
YD,1.75,0.5,LONG,fiz_short_yur_long,12,60m,2177,46.9,0.95,-0.012,44.048,497.4,1155,1022,1155
YD,1.75,0.5,LONG,fiz_short_yur_long,24,120m,2177,46.4,1.0,0.001,59.897,729.65,1166,1011,1166
YD,1.75,0.5,LONG,fiz_short_yur_long,48,240m,2177,47.2,1.09,0.038,69.412,1029.51,1149,1028,1149
YD,1.75,0.5,SHORT,fiz_long_yur_short,3,15m,2535,44.7,0.85,-0.023,70.737,322.26,1403,1132,1403
YD,1.75,0.5,SHORT,fiz_long_yur_short,6,30m,2535,46.1,1.01,0.001,62.473,461.54,1366,1169,1366
YD,1.75,0.5,SHORT,fiz_long_yur_short,12,60m,2535,47.1,1.01,0.004,77.914,620.42,1342,1193,1342
YD,1.75,0.5,SHORT,fiz_long_yur_short,24,120m,2535,48.1,0.97,-0.008,92.661,790.6,1315,1220,1315
YD,1.75,0.5,SHORT,fiz_long_yur_short,48,240m,2535,48.4,1.0,-0.002,139.755,1101.58,1308,1227,1308
YD,1.75,0.75,LONG,fiz_short_yur_long,3,15m,1941,47.1,0.88,-0.017,46.489,250.96,1026,915,1026
YD,1.75,0.75,LONG,fiz_short_yur_long,6,30m,1941,46.4,0.82,-0.035,77.502,309.91,1040,901,1040
YD,1.75,0.75,LONG,fiz_short_yur_long,12,60m,1941,46.6,0.93,-0.017,44.287,438.06,1037,904,1037
YD,1.75,0.75,LONG,fiz_short_yur_long,24,120m,1941,46.5,1.03,0.01,53.344,663.08,1039,902,1039
YD,1.75,0.75,LONG,fiz_short_yur_long,48,240m,1941,46.8,1.12,0.049,68.98,927.46,1033,908,1033
YD,1.75,0.75,SHORT,fiz_long_yur_short,3,15m,2271,44.9,0.85,-0.022,65.354,285.49,1252,1019,1252
YD,1.75,0.75,SHORT,fiz_long_yur_short,6,30m,2271,46.1,1.04,0.007,46.104,418.99,1225,1046,1225
YD,1.75,0.75,SHORT,fiz_long_yur_short,12,60m,2271,47.0,1.04,0.01,63.251,563.78,1204,1067,1204
YD,1.75,0.75,SHORT,fiz_long_yur_short,24,120m,2271,48.6,0.99,-0.003,80.271,713.35,1167,1104,1167
YD,1.75,0.75,SHORT,fiz_long_yur_short,48,240m,2271,48.2,1.0,0.002,118.115,992.26,1177,1094,1177
YD,1.75,1.0,LONG,fiz_short_yur_long,3,15m,1651,47.1,0.9,-0.014,32.015,211.03,874,777,874
YD,1.75,1.0,LONG,fiz_short_yur_long,6,30m,1651,46.3,0.84,-0.03,56.951,265.2,886,765,886
YD,1.75,1.0,LONG,fiz_short_yur_long,12,60m,1651,46.2,0.88,-0.03,49.515,354.7,888,763,888
YD,1.75,1.0,LONG,fiz_short_yur_long,24,120m,1651,45.9,1.04,0.012,50.717,566.93,894,757,894
YD,1.75,1.0,LONG,fiz_short_yur_long,48,240m,1651,46.6,1.12,0.052,55.41,797.37,882,769,882
YD,1.75,1.0,SHORT,fiz_long_yur_short,3,15m,1975,45.6,0.89,-0.016,49.747,251.74,1075,900,1075
YD,1.75,1.0,SHORT,fiz_long_yur_short,6,30m,1975,46.7,1.08,0.014,29.863,365.83,1052,923,1052
YD,1.75,1.0,SHORT,fiz_long_yur_short,12,60m,1975,47.1,1.06,0.013,51.326,489.52,1044,931,1044
YD,1.75,1.0,SHORT,fiz_long_yur_short,24,120m,1975,49.5,1.03,0.008,57.365,633.3,998,977,998
YD,1.75,1.0,SHORT,fiz_long_yur_short,48,240m,1975,48.0,1.0,-0.001,91.447,855.47,1027,948,1027
YD,1.75,1.25,LONG,fiz_short_yur_long,3,15m,1327,47.5,0.92,-0.011,26.615,175.38,697,630,697
YD,1.75,1.25,LONG,fiz_short_yur_long,6,30m,1327,46.6,0.87,-0.024,40.868,215.26,708,619,708
YD,1.75,1.25,LONG,fiz_short_yur_long,12,60m,1327,47.4,0.95,-0.011,41.957,302.8,698,629,698
YD,1.75,1.25,LONG,fiz_short_yur_long,24,120m,1327,47.1,1.09,0.03,42.646,477.21,702,625,702
YD,1.75,1.25,LONG,fiz_short_yur_long,48,240m,1327,47.8,1.14,0.063,51.51,665.1,693,634,693
YD,1.75,1.25,SHORT,fiz_long_yur_short,3,15m,1631,44.8,0.89,-0.015,39.115,206.67,901,730,901
YD,1.75,1.25,SHORT,fiz_long_yur_short,6,30m,1631,45.7,1.08,0.013,25.078,303.24,886,745,886
