entry_time,session,dow,hour,month,adx,atr_pct,atr_percentile,di_spread,close,divergence,dir,ret_pct,pnl_net,bars_held,reason,entry_px,exit_px
2026-04-01 12:50:00+08:00,mid,2,12.83,4,33.87,0.5528,50.0,-8.8,94.84,-2.2126,LONG,-0.9384226064951503,-471.2113032475752,10,time_stop,94.84,93.95
2026-04-01 13:40:00+08:00,mid,2,13.67,4,37.59,0.6561,50.0,-12.84,93.95,-2.9311,LONG,0.3725385843533734,183.3915702174709,10,time_stop,93.95,94.3
2026-04-01 14:50:00+08:00,mid,2,14.83,4,21.51,0.4812,50.0,0.09,93.67,2.9551,SHORT,-0.7900074730436585,-395.8668378219132,10,time_stop,93.67,94.41
2026-04-01 15:50:00+08:00,mid,2,15.83,4,36.2,0.3647,50.0,20.27,94.41,4.0857,SHORT,0.4342760300815556,213.65347159172936,10,time_stop,94.41,94.0
2026-04-01 16:40:00+08:00,mid,2,16.67,4,30.68,0.2781,50.0,-13.34,94.0,2.8327,SHORT,0.28723404255318724,140.94197374042193,10,time_stop,94.0,93.73
2026-04-01 17:30:00+08:00,close,2,17.5,4,47.73,0.2835,50.0,-26.07,93.73,2.9887,SHORT,-0.5654539635122171,-283.796552349699,10,time_stop,93.73,94.26
2026-04-01 18:20:00+08:00,close,2,18.33,4,34.39,0.3289,50.0,13.52,94.26,2.3838,SHORT,0.05304476978571119,24.359832463970143,10,time_stop,94.26,94.21
2026-04-01 19:10:00+08:00,close,2,19.17,4,15.98,0.2828,9.0,-4.65,94.21,5.2513,SHORT,0.04245833775606841,19.104229307838793,10,time_stop,94.21,94.17
2026-04-01 20:00:00+08:00,close,2,20.0,4,25.59,0.2465,6.0,5.42,94.17,2.8983,SHORT,-5.000000000000001,-2487.7644095975566,10,stop_loss,94.17,98.8785
2026-04-02 09:05:00+08:00,open,3,9.08,4,36.14,0.6265,98.0,77.52,99.3,2.4103,SHORT,0.45317220543806935,217.65893951881867,10,time_stop,99.3,98.85
2026-04-02 09:55:00+08:00,open,3,9.92,4,59.12,0.5817,90.0,33.21,98.85,-3.3042,LONG,0.34395548811330645,165.0943859924144,10,time_stop,98.85,99.19
2026-04-02 10:45:00+08:00,open,3,10.75,4,37.46,0.1908,7.0,14.52,99.19,-3.4659,LONG,-5.000000000000006,-2435.1391324954006,6,stop_loss,99.19,94.23049999999999
2026-04-02 11:15:00+08:00,open,3,11.25,4,42.75,0.6792,100.0,-79.25,92.97,-3.2349,LONG,7.152845003764662,3391.6825535800904,10,time_stop,92.97,99.62
2026-04-02 12:05:00+08:00,mid,3,12.08,4,16.03,1.153,100.0,3.01,99.62,-2.4949,LONG,-0.2609917687211455,-130.25410694355884,10,time_stop,99.62,99.36
2026-04-02 12:55:00+08:00,mid,3,12.92,4,8.57,0.2847,42.0,2.64,99.36,-2.4092,LONG,0.06038647342995398,27.635221803732115,10,time_stop,99.36,99.42
2026-04-02 13:50:00+08:00,mid,3,13.83,4,17.33,0.3393,68.0,-17.88,99.16,-2.0891,LONG,-2.601855586930212,-1279.2442707556609,10,time_stop,99.16,96.58
2026-04-02 14:40:00+08:00,mid,3,14.67,4,62.44,0.6301,85.0,-38.9,96.58,-4.2592,LONG,1.1803686063367163,569.8900390562534,10,time_stop,96.58,97.72
2026-04-02 17:00:00+08:00,close,3,17.0,4,20.06,0.3373,35.0,-1.1,98.06,2.3536,SHORT,-0.8260248827248646,-404.5637866576073,10,time_stop,98.06,98.87
2026-04-02 18:10:00+08:00,close,3,18.17,4,26.59,1.2328,98.0,8.27,98.73,4.0879,SHORT,-0.07090043553123992,-36.409956584713875,10,time_stop,98.73,98.8
2026-04-02 19:05:00+08:00,close,3,19.08,4,11.79,0.739,72.0,-2.05,98.78,2.1761,SHORT,-0.2834581899169884,-139.5185529511513,10,time_stop,98.78,99.06
2026-04-02 20:40:00+08:00,close,3,20.67,4,7.64,0.1563,1.0,-1.17,99.2,-2.1312,LONG,0.5141129032257973,247.06107906759956,10,time_stop,99.2,99.71
2026-04-03 12:50:00+08:00,mid,4,12.83,4,14.14,1.4499,94.0,7.87,100.25,-2.2914,LONG,-5.000000000000003,-2430.417609673389,1,stop_loss,100.25,95.2375
2026-04-03 12:55:00+08:00,mid,4,12.92,4,18.2,1.5738,95.0,-43.17,93.63,-2.4615,LONG,7.059703086617537,3340.9913254176154,10,time_stop,93.63,100.24
2026-04-03 13:45:00+08:00,mid,4,13.75,4,9.3,1.0211,70.0,7.07,100.24,-2.1571,LONG,-5.000000000000001,-2453.181952566994,9,stop_loss,100.24,95.228
2026-04-03 14:30:00+08:00,mid,4,14.5,4,17.97,0.5319,56.0,-76.92,94.01,-5.4715,LONG,6.850335070737152,3272.257947062684,10,time_stop,94.01,100.45
2026-04-03 15:20:00+08:00,mid,4,15.33,4,9.97,0.9479,66.0,8.16,100.45,-3.0623,LONG,1.2742658038825299,627.9100709028604,10,time_stop,100.45,101.73
2026-04-03 16:10:00+08:00,mid,4,16.17,4,29.19,0.2078,48.0,35.32,101.73,-2.2666,LONG,0.5701366361938447,281.62662546684965,10,time_stop,101.73,102.31
