sym,dir,entry_time,entry_price,exit_time,exit_price,pnl_rub,reason,contracts,go,stop,pattern
RN,L,2025-01-03 07:05:00+08:00,59105.0,2025-01-03 07:10:00+08:00,59072.0,-2.791641993063193,fade,1,5000.0,58551.07142857143,vou
NM,L,2025-01-03 07:00:00+08:00,15290.0,2025-01-03 07:25:00+08:00,15200.214285714286,-198.01009062879453,stop,24,1405.0,15200.214285714286,vod
AL,L,2025-01-03 07:25:00+08:00,5979.0,2025-01-03 07:35:00+08:00,5987.0,6.69008195350393,fade,1,5000.0,5939.0,vou
SR,L,2025-01-03 07:05:00+08:00,28977.0,2025-01-03 07:45:00+08:00,28768.785714285714,-41.09388480519043,stop,1,5719.0,28768.785714285714,sm
AL,L,2025-01-03 07:45:00+08:00,5971.0,2025-01-03 07:55:00+08:00,5949.0,-18.422374811589346,fade,1,5000.0,5931.571428571428,vou
NG,S,2025-01-03 07:45:00+08:00,3.028,2025-01-03 08:00:00+08:00,3.021,11.558784676354223,fade,1,5000.0,3.1183571428571426,vyf
AL,L,2025-01-03 08:00:00+08:00,5941.0,2025-01-03 08:05:00+08:00,5933.0,-6.732873253661,fade,1,5000.0,5899.142857142857,vou
SN,L,2025-01-03 08:05:00+08:00,25731.0,2025-01-03 08:10:00+08:00,25711.0,-3.886362753099374,fade,1,5000.0,25079.571428571428,vou
RN,L,2025-01-03 08:10:00+08:00,58212.0,2025-01-03 08:20:00+08:00,58391.0,15.374836803408233,fade,1,5000.0,57350.57142857143,vou
GL,L,2025-01-03 07:00:00+08:00,9108.6,2025-01-03 08:25:00+08:00,9175.1,255.52774301209843,fade,7,5000.0,9067.414285714285,vod
AF,L,2025-01-03 07:05:00+08:00,6096.0,2025-01-03 08:25:00+08:00,6127.0,50.85301837270341,fade,2,5000.0,6063.285714285715,sm
SV,S,2025-01-03 07:10:00+08:00,30.64,2025-01-03 08:25:00+08:00,30.66,-3.2637075718014965,fade,1,5000.0,31.04357142857143,vod
SR,L,2025-01-03 07:45:00+08:00,28732.0,2025-01-03 08:25:00+08:00,28606.0,-25.0798412919393,fade,1,5719.0,28340.928571428572,sm
YD,L,2025-01-03 07:05:00+08:00,4181.0,2025-01-03 08:35:00+08:00,4202.0,50.227218368811286,fade,2,5000.0,4133.5,vod
NM,L,2025-01-03 07:25:00+08:00,15213.0,2025-01-03 08:35:00+08:00,15290.0,56.89081706435286,fade,8,1405.0,15072.42857142857,vod
NG,S,2025-01-03 08:50:00+08:00,3.022,2025-01-03 08:55:00+08:00,3.023,-3.309066843151337,fade,2,5000.0,3.0594999999999994,vyf
GL,L,2025-01-03 09:00:00+08:00,9167.2,2025-01-03 09:05:00+08:00,9153.4,-37.63417401169684,fade,5,5000.0,9136.428571428572,vod
SV,S,2025-01-03 09:05:00+08:00,30.79,2025-01-03 09:10:00+08:00,30.83,-12.991230919129311,fade,2,5000.0,31.029285714285713,vod
NM,L,2025-01-03 09:25:00+08:00,15205.0,2025-01-03 09:30:00+08:00,15192.0,-8.408747122657022,fade,7,1405.0,15086.285714285714,vod
NM,L,2025-01-03 09:35:00+08:00,15218.0,2025-01-03 09:40:00+08:00,15147.0,-91.77092916283348,fade,14,1405.0,15088.357142857143,vod
SF,S,2025-01-03 07:25:00+08:00,1444.8,2025-01-03 09:50:00+08:00,1436.0,30.454042081948906,fade,1,5000.0,1463.7857142857142,vod
YD,L,2025-01-03 09:40:00+08:00,4116.0,2025-01-03 09:55:00+08:00,4095.0,-76.53061224489795,fade,3,5000.0,4033.5,vod
GL,L,2025-01-03 09:50:00+08:00,9131.8,2025-01-03 09:55:00+08:00,9125.2,-10.841236119930153,fade,3,5000.0,9105.528571428571,vod
BR,S,2025-01-03 09:55:00+08:00,74.39,2025-01-03 10:00:00+08:00,74.38,2.8229600752803794,fade,7,3000.0,74.44000000000003,vyf
SV,S,2025-01-03 09:55:00+08:00,30.77,2025-01-03 10:00:00+08:00,30.79,-6.49983750406226,fade,2,5000.0,30.980714285714285,vod
AL,L,2025-01-03 09:55:00+08:00,5881.0,2025-01-03 11:05:00+08:00,5855.285714285715,-65.58651346952557,stop,3,5000.0,5855.285714285715,vou
NG,S,2025-01-03 11:05:00+08:00,2.9859999999999998,2025-01-03 11:10:00+08:00,2.987,-1.6744809109181749,fade,1,5000.0,3.0113571428571424,vyf
YD,L,2025-01-03 11:10:00+08:00,4053.0,2025-01-03 11:15:00+08:00,4065.0,14.803849000740191,fade,1,5000.0,3976.9285714285716,vod
RN,L,2025-01-03 09:50:00+08:00,57492.0,2025-01-03 11:20:00+08:00,57847.0,154.36930355527727,fade,5,5000.0,56664.5,vou
SR,L,2025-01-03 10:00:00+08:00,28448.0,2025-01-03 11:25:00+08:00,28321.0,-76.59375,fade,3,5719.0,28121.571428571428,sm
SN,L,2025-01-03 10:00:00+08:00,25717.0,2025-01-03 11:25:00+08:00,25672.0,-8.749076486370884,fade,1,5000.0,25453.428571428572,vou
AL,L,2025-01-03 11:05:00+08:00,5857.0,2025-01-03 11:30:00+08:00,5845.0,-10.244152296397473,fade,1,5000.0,5825.285714285715,vou
AF,L,2025-01-03 10:00:00+08:00,6132.0,2025-01-03 11:35:00+08:00,6132.0,0.0,fade,4,5000.0,6086.714285714285,sm
NM,L,2025-01-03 11:30:00+08:00,14947.0,2025-01-03 11:35:00+08:00,14937.0,-10.33986753194621,fade,11,1405.0,14832.57142857143,vod
RN,L,2025-01-03 11:35:00+08:00,57867.0,2025-01-03 11:40:00+08:00,58030.0,70.42010126669777,fade,5,5000.0,57165.21428571428,vou
SF,S,2025-01-03 11:30:00+08:00,1424.6,2025-01-03 11:45:00+08:00,1432.0,-25.97220272357185,fade,1,5000.0,1433.4285714285713,vod
AL,L,2025-01-03 11:40:00+08:00,5868.0,2025-01-03 11:45:00+08:00,5860.0,-13.6332651670075,fade,2,5000.0,5840.428571428572,vou
SV,S,2025-01-03 11:40:00+08:00,30.84,2025-01-03 11:50:00+08:00,30.87,-29.18287937743301,fade,6,5000.0,30.975714285714286,vod
RN,L,2025-01-03 11:45:00+08:00,58087.0,2025-01-03 11:50:00+08:00,58015.0,-6.197600151496893,fade,1,5000.0,57451.28571428572,vou
GL,L,2025-01-03 12:05:00+08:00,9124.5,2025-01-03 12:10:00+08:00,9125.6,1.8083182640150648,fade,3,5000.0,9111.685714285715,vod
AF,L,2025-01-03 12:05:00+08:00,6119.0,2025-01-03 12:35:00+08:00,6100.142857142857,-77.04340111596306,stop,5,5000.0,6100.142857142857,sm
