ticker,structural_break_month,yur_pct_at_break,recovery_month,yur_pct_at_recovery
Si,NONE DETECTED,N/A,N/A,N/A
BR,2022-07,27.3%,2026-04,48.3%
Eu,2022-06,68.6%,2022-10,87.9%
GD,2022-08,64.6%,NOT YET,N/A
SR,2024-11,54.0%,2025-07,73.7%
GZ,2022-05,37.7%,2023-05,55.1%
LK,2022-06,45.3%,2022-11,62.7%
VB,2022-06,35.8%,2024-06,59.0%
RN,2021-07,35.0%,2021-11,52.3%
NM,2022-04,28.1%,2023-05,51.5%
AF,2022-05,35.5%,2025-08,50.9%
AL,2021-08,28.5%,2021-11,51.9%
SN,2021-05,59.1%,2021-10,81.5%
SV,2022-04,35.4%,2024-02,51.4%
NG,2022-03,9.3%,2023-01,25.9%
PD,2022-07,17.1%,2022-10,40.4%
PT,2022-05,69.8%,NOT YET,N/A
RI,2022-04,37.9%,2023-04,57.5%
MX,2023-08,46.2%,2024-02,67.4%
ED,2022-04,33.0%,2022-05,50.3%
CR,NONE DETECTED,N/A,N/A,N/A
IMOEXF,2024-04,22.5%,2024-07,40.9%
CNYRUBF,NONE DETECTED,N/A,N/A,N/A
USDRUBF,NONE DETECTED,N/A,N/A,N/A
GLDRUBF,NONE DETECTED,N/A,N/A,N/A
