BR: 102870 M1 bars
CR: 101943 M1 bars
GD: 102880 M1 bars
RN: 66364 M1 bars
Si: 101950 M1 bars
MM: 89294 M1 bars
GZ: 101269 M1 bars
NG: 102970 M1 bars

=== BR 3мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +55.9%    5.10%   1.80   51.0%   516 ✅
  2%     +55.9%    5.10%   1.80   51.0%   516 ✅
  3%     +55.9%    5.10%   1.80   51.0%   516 ✅
  4%     +55.9%    5.10%   1.80   51.0%   516 ✅
  5%     +55.9%    5.10%   1.80   51.0%   516 ✅
  7%     +82.6%    7.23%   1.67   51.0%   516 ✅
 10%    +167.7%   13.27%   1.57   51.0%   516 ✅
 15%    +416.8%   20.32%   1.53   51.0%   516

=== BR 5мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +47.1%    7.29%   1.78   49.5%   503 ✅
  2%     +47.1%    7.29%   1.78   49.5%   503 ✅
  3%     +47.1%    7.29%   1.78   49.5%   503 ✅
  4%     +47.1%    7.29%   1.78   49.5%   503 ✅
  5%     +47.1%    7.29%   1.78   49.5%   503 ✅
  7%     +63.1%   12.52%   1.61   49.5%   503 ✅
 10%    +136.1%   20.90%   1.57   49.5%   503
 15%    +291.6%   30.88%   1.49   49.5%   503

=== BR 10мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +35.2%    6.96%   1.81   51.6%   479 ✅
  2%     +35.2%    6.96%   1.81   51.6%   479 ✅
  3%     +35.2%    6.96%   1.81   51.6%   479 ✅
  4%     +35.2%    6.96%   1.81   51.6%   479 ✅
  5%     +35.2%    6.96%   1.81   51.6%   479 ✅
  7%     +41.2%    6.96%   1.71   51.6%   479 ✅
 10%     +87.6%   12.59%   1.74   51.6%   479 ✅
 15%    +176.1%   20.39%   1.71   51.6%   479

=== BR 15мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +36.3%    3.91%   1.99   53.6%   420 ✅
  2%     +36.3%    3.91%   1.99   53.6%   420 ✅
  3%     +36.3%    3.91%   1.99   53.6%   420 ✅
  4%     +36.3%    3.91%   1.99   53.6%   420 ✅
  5%     +36.3%    3.91%   1.99   53.6%   420 ✅
  7%     +42.2%    7.45%   1.90   53.6%   420 ✅
 10%     +91.7%   10.43%   1.89   53.6%   420 ✅
 15%    +189.2%   15.46%   1.91   53.6%   420 ✅

=== CR 3мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      -0.4%    1.32%   0.78   49.1%    55 ✅
  2%      -0.8%    2.62%   0.78   49.1%    55 ✅
  3%      -1.4%    4.33%   0.78   49.1%    55 ✅
  4%      -1.9%    5.71%   0.78   49.1%    55 ✅
  5%      -2.3%    7.11%   0.78   49.1%    55 ✅
  7%      -3.4%    9.97%   0.78   49.1%    55 ✅
 10%      -4.8%   14.03%   0.78   49.1%    55 ✅
 15%      -7.4%   20.43%   0.78   49.1%    55

=== CR 5мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      -1.2%    3.20%   0.80   42.1%   126 ✅
  2%      -2.5%    6.62%   0.80   42.1%   126 ✅
  3%      -3.8%   10.10%   0.80   42.1%   126 ✅
  4%      -5.2%   13.50%   0.80   42.1%   126 ✅
  5%      -6.8%   16.74%   0.80   42.1%   126 ✅
  7%      -9.5%   22.98%   0.80   42.1%   126
 10%     -13.4%   31.12%   0.81   42.1%   126
 15%     -20.5%   43.32%   0.81   42.1%   126

=== CR 10мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      -1.8%    3.90%   0.77   39.9%   168 ✅
  2%      -3.6%    7.98%   0.77   39.9%   168 ✅
  3%      -5.6%   12.17%   0.77   39.9%   168 ✅
  4%      -7.7%   16.22%   0.77   39.9%   168 ✅
  5%      -9.8%   19.94%   0.77   39.9%   168 ✅
  7%     -13.9%   27.15%   0.77   39.9%   168
 10%     -19.4%   36.62%   0.78   39.9%   168
 15%     -28.8%   49.95%   0.79   39.9%   168

=== CR 15мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      -2.1%    3.11%   0.69   42.1%   183 ✅
  2%      -4.3%    6.18%   0.69   42.1%   183 ✅
  3%      -6.7%    9.70%   0.69   42.1%   183 ✅
  4%      -9.0%   12.87%   0.69   42.1%   183 ✅
  5%     -11.4%   16.07%   0.69   42.1%   183 ✅
  7%     -15.7%   22.02%   0.69   42.1%   183
 10%     -21.8%   30.01%   0.69   42.1%   183
 15%     -31.7%   42.03%   0.69   42.1%   183

=== GD 3мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +66.3%   17.58%   1.74   47.1%   119 ✅
  2%     +66.3%   17.58%   1.74   47.1%   119 ✅
  3%     +66.3%   17.58%   1.74   47.1%   119 ✅
  4%     +66.3%   17.58%   1.74   47.1%   119 ✅
  5%     +66.3%   17.58%   1.74   47.1%   119 ✅
  7%     +66.3%   17.58%   1.74   47.1%   119 ✅
 10%     +67.4%   30.73%   1.40   47.1%   119
 15%    +138.8%   47.66%   1.30   47.1%   119

=== GD 5мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      -9.4%   21.49%   0.86   41.3%   121
  2%      -9.4%   21.49%   0.86   41.3%   121
  3%      -9.4%   21.49%   0.86   41.3%   121
  4%      -9.4%   21.49%   0.86   41.3%   121
  5%      -9.4%   21.49%   0.86   41.3%   121
  7%      -9.4%   21.49%   0.86   41.3%   121
 10%      -9.4%   21.49%   0.86   41.3%   121
 15%     -12.2%   27.57%   0.85   41.3%   121

=== GD 10мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +91.3%    5.62%   3.12   54.9%   144 ✅
  2%     +91.3%    5.62%   3.12   54.9%   144 ✅
  3%     +91.3%    5.62%   3.12   54.9%   144 ✅
  4%     +91.3%    5.62%   3.12   54.9%   144 ✅
  5%     +91.3%    5.62%   3.12   54.9%   144 ✅
  7%     +91.3%    5.62%   3.12   54.9%   144 ✅
 10%    +120.1%   10.00%   3.03   54.9%   144 ✅
