ticker,entry_time,exit_time,entry,exit,contracts,pnl,commission,net_pnl
CC,2025-06-02 13:45:00,2025-06-02 14:00:00,793.2,804.3,5,5550,10,5540
CC,2025-06-25 15:40:00,2025-06-25 16:10:00,736.5,740.5,5,2000,10,1990
CC,2025-06-26 16:05:00,2025-06-26 16:20:00,756.7,756.1,5,-300,10,-310
CC,2025-06-26 20:00:00,2025-06-26 20:45:00,754.7,756.8,5,1050,10,1040
CC,2025-07-07 09:10:00,2025-07-07 09:25:00,696.0,693.0,5,-1500,10,-1510
CC,2025-07-09 15:20:00,2025-07-09 15:35:00,708.7,704.0,5,-2350,10,-2360
CC,2025-07-11 15:40:00,2025-07-11 16:10:00,698.2,697.6,5,-300,10,-310
CC,2025-07-14 12:05:00,2025-07-14 12:20:00,689.0,691.7,5,1350,10,1340
CC,2025-07-24 11:35:00,2025-07-24 11:50:00,695.7,698.4,5,1350,10,1340
CC,2025-07-29 12:10:00,2025-07-29 12:30:00,725.0,720.2,5,-2400,10,-2410
IB,2025-07-31 13:40:00,2025-07-31 14:40:00,69.1,68.91,5,-95,10,-105
NR,2025-08-01 10:45:00,2025-08-01 12:20:00,14885.0,14850.0,5,-17500,10,-17510
IB,2025-08-04 16:10:00,2025-08-04 17:10:00,67.3,67.65,5,175,10,165
CC,2025-08-04 19:40:00,2025-08-04 19:55:00,675.6,675.9,5,150,10,140
CC,2025-08-05 15:40:00,2025-08-05 16:10:00,688.2,688.0,5,-100,10,-110
NR,2025-08-07 15:15:00,2025-08-08 13:55:00,15190.0,15180.0,5,-5000,10,-5010
IB,2025-08-11 09:20:00,2025-08-11 10:20:00,70.49,70.42,5,-35,10,-45
IB,2025-08-11 13:25:00,2025-08-11 14:25:00,69.53,69.69,5,80,10,70
CC,2025-08-13 11:40:00,2025-08-13 11:55:00,709.0,709.0,5,0,10,-10
IB,2025-08-18 09:15:00,2025-08-18 10:15:00,66.61,66.74,5,65,10,55
IB,2025-08-19 16:30:00,2025-08-19 17:30:00,65.69,65.62,5,-35,10,-45
NR,2025-08-21 09:10:00,2025-08-21 13:35:00,14960.0,14945.0,5,-7500,10,-7510
CC,2025-08-21 12:00:00,2025-08-21 12:15:00,648.7,652.6,5,1950,10,1940
CC,2025-08-21 12:05:00,2025-08-21 12:20:00,652.6,650.8,5,-900,10,-910
IB,2025-09-01 09:15:00,2025-09-01 10:15:00,62.85,62.49,5,-180,10,-190
CC,2025-09-03 11:45:00,2025-09-03 12:00:00,629.1,628.6,5,-250,10,-260
IB,2025-09-04 13:50:00,2025-09-04 14:50:00,63.05,62.79,5,-130,10,-140
CC,2025-09-09 11:05:00,2025-09-09 11:20:00,615.3,615.2,5,-50,10,-60
CC,2025-09-09 14:25:00,2025-09-09 14:40:00,628.0,624.7,5,-1650,10,-1660
CC,2025-09-10 15:45:00,2025-09-10 16:15:00,635.2,632.2,5,-1500,10,-1510
CC,2025-09-11 12:00:00,2025-09-11 12:15:00,639.1,637.9,5,-600,10,-610
CC,2025-09-11 16:10:00,2025-09-11 16:25:00,642.6,643.3,5,350,10,340
IB,2025-09-12 11:15:00,2025-09-12 12:15:00,65.77,65.79,5,10,10,0
NR,2025-09-15 16:45:00,2025-09-15 18:30:00,15455.0,15220.0,5,-117500,10,-117510
NR,2025-09-16 15:05:00,2025-09-16 15:40:00,15500.0,15470.0,1,-3000,2,-3002
